,Musicas,Palavras
0,anunciacao,Tu
1,anunciacao,vens
2,anunciacao,chegando
3,anunciacao,pra
4,anunciacao,brincar
5,anunciacao,no
6,anunciacao,meu
7,anunciacao,quintal
8,anunciacao,No
9,anunciacao,teu
10,anunciacao,"cavalo,"
11,anunciacao,peito
12,anunciacao,"nu,"
13,anunciacao,cabelo
14,anunciacao,ao
15,anunciacao,vento
16,anunciacao,E
17,anunciacao,o
18,anunciacao,Sol
19,anunciacao,quarando
20,anunciacao,nossas
21,anunciacao,roupas
22,anunciacao,no
23,anunciacao,varal
24,anunciacao,Tu
25,anunciacao,vens
26,anunciacao,chegando
27,anunciacao,pra
28,anunciacao,brincar
29,anunciacao,no
30,anunciacao,meu
31,anunciacao,quintal
32,anunciacao,No
33,anunciacao,teu
34,anunciacao,"cavalo,"
35,anunciacao,peito
36,anunciacao,"nu,"
37,anunciacao,cabelo
38,anunciacao,ao
39,anunciacao,vento
40,anunciacao,E
41,anunciacao,o
42,anunciacao,Sol
43,anunciacao,quarando
44,anunciacao,nossas
45,anunciacao,roupas
46,anunciacao,no
47,anunciacao,varal
48,anunciacao,Eu
49,anunciacao,já
50,anunciacao,escuto
51,anunciacao,os
52,anunciacao,teus
53,anunciacao,sinais
54,anunciacao,Tu
55,anunciacao,"vens,"
56,anunciacao,tu
57,anunciacao,vens
58,anunciacao,Eu
59,anunciacao,já
60,anunciacao,escuto
61,anunciacao,os
62,anunciacao,teus
63,anunciacao,sinais
64,anunciacao,Eu
65,anunciacao,não
66,anunciacao,"duvido,"
67,anunciacao,já
68,anunciacao,escuto
69,anunciacao,os
70,anunciacao,teus
71,anunciacao,sinais
72,anunciacao,Que
73,anunciacao,tu
74,anunciacao,virias
75,anunciacao,numa
76,anunciacao,manhã
77,anunciacao,de
78,anunciacao,domingo
79,anunciacao,Eu
80,anunciacao,te
81,anunciacao,anuncio
82,anunciacao,nos
83,anunciacao,sinos
84,anunciacao,das
85,anunciacao,catedrais
86,anunciacao,Eu
87,anunciacao,já
88,anunciacao,escuto
89,anunciacao,os
90,anunciacao,teus
91,anunciacao,sinais
92,anunciacao,Tu
93,anunciacao,"vens,"
94,anunciacao,tu
95,anunciacao,vens
96,anunciacao,Eu
97,anunciacao,já
98,anunciacao,escuto
99,anunciacao,os
100,anunciacao,teus
101,anunciacao,sinais
102,anunciacao,Tu
103,anunciacao,vens
104,anunciacao,chegando
105,anunciacao,pra
106,anunciacao,brincar
107,anunciacao,no
108,anunciacao,meu
109,anunciacao,quintal
110,anunciacao,No
111,anunciacao,teu
112,anunciacao,"cavalo,"
113,anunciacao,peito
114,anunciacao,"nu,"
115,anunciacao,cabelo
116,anunciacao,ao
117,anunciacao,vento
118,anunciacao,E
119,anunciacao,o
120,anunciacao,Sol
121,anunciacao,quarando
122,anunciacao,nossas
123,anunciacao,roupas
124,anunciacao,no
125,anunciacao,varal
126,anunciacao,Eu
127,anunciacao,já
128,anunciacao,escuto
129,anunciacao,os
130,anunciacao,teus
131,anunciacao,sinais
132,anunciacao,Tu
133,anunciacao,"vens,"
134,anunciacao,tu
135,anunciacao,vens
136,anunciacao,Eu
137,anunciacao,já
138,anunciacao,escuto
139,anunciacao,os
140,anunciacao,teus
141,anunciacao,sinais
142,anunciacao,Eu
143,anunciacao,não
144,anunciacao,"duvido,"
145,anunciacao,já
146,anunciacao,escuto
147,anunciacao,os
148,anunciacao,teus
149,anunciacao,sinais
150,anunciacao,Que
151,anunciacao,tu
152,anunciacao,virias
153,anunciacao,numa
154,anunciacao,manhã
155,anunciacao,de
156,anunciacao,domingo
157,anunciacao,Eu
158,anunciacao,te
159,anunciacao,anuncio
160,anunciacao,nos
161,anunciacao,sinos
162,anunciacao,das
163,anunciacao,catedrais
164,anunciacao,Eu
165,anunciacao,já
166,anunciacao,escuto
167,anunciacao,os
168,anunciacao,teus
169,anunciacao,sinais
170,anunciacao,Tu
171,anunciacao,"vens,"
172,anunciacao,tu
173,anunciacao,vens
174,anunciacao,Eu
175,anunciacao,já
176,anunciacao,escuto
177,anunciacao,os
178,anunciacao,teus
179,anunciacao,sinais
180,anunciacao,None
327,la-belle-du-jour,Ah!
328,la-belle-du-jour,La
329,la-belle-du-jour,Belle
330,la-belle-du-jour,de
331,la-belle-du-jour,Jour!
332,la-belle-du-jour,"Ah,"
333,la-belle-du-jour,hei!
334,la-belle-du-jour,"Ah,"
335,la-belle-du-jour,hei!
336,la-belle-du-jour,Da
337,la-belle-du-jour,praia
338,la-belle-du-jour,de
339,la-belle-du-jour,Boa
340,la-belle-du-jour,Viagem
341,la-belle-du-jour,E
342,la-belle-du-jour,a
343,la-belle-du-jour,moça
344,la-belle-du-jour,no
345,la-belle-du-jour,meio
346,la-belle-du-jour,da
347,la-belle-du-jour,tarde
348,la-belle-du-jour,De
349,la-belle-du-jour,um
350,la-belle-du-jour,domingo
351,la-belle-du-jour,azul
352,la-belle-du-jour,"Azul,"
353,la-belle-du-jour,era
354,la-belle-du-jour,Belle
355,la-belle-du-jour,de
356,la-belle-du-jour,Jour
357,la-belle-du-jour,Era
358,la-belle-du-jour,a
359,la-belle-du-jour,bela
360,la-belle-du-jour,da
361,la-belle-du-jour,tarde
362,la-belle-du-jour,Seus
363,la-belle-du-jour,olhos
364,la-belle-du-jour,"azuis,"
365,la-belle-du-jour,como
366,la-belle-du-jour,a
367,la-belle-du-jour,tarde
368,la-belle-du-jour,Na
369,la-belle-du-jour,tarde
370,la-belle-du-jour,de
371,la-belle-du-jour,um
372,la-belle-du-jour,domingo
373,la-belle-du-jour,azul
374,la-belle-du-jour,La
375,la-belle-du-jour,Belle
376,la-belle-du-jour,de
377,la-belle-du-jour,Jour
378,la-belle-du-jour,Da
379,la-belle-du-jour,praia
380,la-belle-du-jour,de
381,la-belle-du-jour,Boa
382,la-belle-du-jour,Viagem
383,la-belle-du-jour,E
384,la-belle-du-jour,a
385,la-belle-du-jour,moça
386,la-belle-du-jour,no
387,la-belle-du-jour,meio
388,la-belle-du-jour,da
389,la-belle-du-jour,tarde
390,la-belle-du-jour,De
391,la-belle-du-jour,um
392,la-belle-du-jour,domingo
393,la-belle-du-jour,azul
394,la-belle-du-jour,"Azul,"
395,la-belle-du-jour,era
396,la-belle-du-jour,Belle
397,la-belle-du-jour,de
398,la-belle-du-jour,Jour
399,la-belle-du-jour,Era
400,la-belle-du-jour,a
401,la-belle-du-jour,bela
402,la-belle-du-jour,da
403,la-belle-du-jour,tarde
404,la-belle-du-jour,Seus
405,la-belle-du-jour,olhos
406,la-belle-du-jour,"azuis,"
407,la-belle-du-jour,como
408,la-belle-du-jour,a
409,la-belle-du-jour,tarde
410,la-belle-du-jour,Na
411,la-belle-du-jour,tarde
412,la-belle-du-jour,de
413,la-belle-du-jour,um
414,la-belle-du-jour,domingo
415,la-belle-du-jour,azul
416,la-belle-du-jour,La
417,la-belle-du-jour,Belle
418,la-belle-du-jour,de
419,la-belle-du-jour,Jour
420,la-belle-du-jour,"Oh,"
421,la-belle-du-jour,oh
422,la-belle-du-jour,Belle
423,la-belle-du-jour,de
424,la-belle-du-jour,Jour
425,la-belle-du-jour,Era
426,la-belle-du-jour,a
427,la-belle-du-jour,moça
428,la-belle-du-jour,mais
429,la-belle-du-jour,linda
430,la-belle-du-jour,de
431,la-belle-du-jour,toda
432,la-belle-du-jour,a
433,la-belle-du-jour,cidade
434,la-belle-du-jour,E
435,la-belle-du-jour,foi
436,la-belle-du-jour,justamente
437,la-belle-du-jour,pra
438,la-belle-du-jour,ela
439,la-belle-du-jour,Que
440,la-belle-du-jour,eu
441,la-belle-du-jour,escrevi
442,la-belle-du-jour,o
443,la-belle-du-jour,meu
444,la-belle-du-jour,primeiro
445,la-belle-du-jour,blues
446,la-belle-du-jour,"Mas,"
447,la-belle-du-jour,Belle
448,la-belle-du-jour,de
449,la-belle-du-jour,"Jour,"
450,la-belle-du-jour,no
451,la-belle-du-jour,"azul,"
452,la-belle-du-jour,viajava
453,la-belle-du-jour,Seus
454,la-belle-du-jour,olhos
455,la-belle-du-jour,"azuis,"
456,la-belle-du-jour,como
457,la-belle-du-jour,a
458,la-belle-du-jour,tarde
459,la-belle-du-jour,Na
460,la-belle-du-jour,tarde
461,la-belle-du-jour,de
462,la-belle-du-jour,um
463,la-belle-du-jour,domingo
464,la-belle-du-jour,azul
465,la-belle-du-jour,La
466,la-belle-du-jour,Belle
467,la-belle-du-jour,de
468,la-belle-du-jour,Jour
469,la-belle-du-jour,Da
470,la-belle-du-jour,praia
471,la-belle-du-jour,de
472,la-belle-du-jour,Boa
473,la-belle-du-jour,Viagem
474,la-belle-du-jour,E
475,la-belle-du-jour,a
476,la-belle-du-jour,moça
477,la-belle-du-jour,no
478,la-belle-du-jour,meio
479,la-belle-du-jour,da
480,la-belle-du-jour,tarde
481,la-belle-du-jour,De
482,la-belle-du-jour,um
483,la-belle-du-jour,domingo
484,la-belle-du-jour,azul
485,la-belle-du-jour,"Azul,"
486,la-belle-du-jour,era
487,la-belle-du-jour,Belle
488,la-belle-du-jour,de
489,la-belle-du-jour,Jour
490,la-belle-du-jour,Era
491,la-belle-du-jour,a
492,la-belle-du-jour,bela
493,la-belle-du-jour,da
