,Musicas,Palavras
0,um-sonho,Roendo
1,um-sonho,"tudo,"
2,um-sonho,quase
3,um-sonho,não
4,um-sonho,sobra
5,um-sonho,nada
6,um-sonho,Respirei
7,um-sonho,"fundo,"
8,um-sonho,achando
9,um-sonho,que
10,um-sonho,ainda
11,um-sonho,começava
12,um-sonho,Um
13,um-sonho,grito
14,um-sonho,no
15,um-sonho,"escuro,"
16,um-sonho,um
17,um-sonho,encontro
18,um-sonho,sem
19,um-sonho,hora
20,um-sonho,marcada
21,um-sonho,Nele
22,um-sonho,encontrava
23,um-sonho,com
24,um-sonho,você
25,um-sonho,Não
26,um-sonho,sei
27,um-sonho,se
28,um-sonho,sonhava
29,um-sonho,o
30,um-sonho,meu
31,um-sonho,sonho
32,um-sonho,Ou
33,um-sonho,se
34,um-sonho,o
35,um-sonho,sonho
36,um-sonho,que
37,um-sonho,eu
38,um-sonho,sonhava
39,um-sonho,era
40,um-sonho,seu
41,um-sonho,Eu
42,um-sonho,ainda
43,um-sonho,nem
44,um-sonho,sei
45,um-sonho,se
46,um-sonho,acordei
47,um-sonho,Desse
48,um-sonho,"sonho,"
49,um-sonho,quero
50,um-sonho,imagem
51,um-sonho,e
52,um-sonho,som
53,um-sonho,Pra
54,um-sonho,saber
55,um-sonho,o
56,um-sonho,que
57,um-sonho,foi
58,um-sonho,que
59,um-sonho,aconteceu
60,um-sonho,Sem
61,um-sonho,imagem
62,um-sonho,e
63,um-sonho,sem
64,um-sonho,som
65,um-sonho,Roendo
66,um-sonho,"tudo,"
67,um-sonho,quase
68,um-sonho,não
69,um-sonho,sobra
70,um-sonho,nada
71,um-sonho,Respirei
72,um-sonho,"fundo,"
73,um-sonho,achando
74,um-sonho,que
75,um-sonho,ainda
76,um-sonho,começava
77,um-sonho,Um
78,um-sonho,grito
79,um-sonho,no
80,um-sonho,"escuro,"
81,um-sonho,um
82,um-sonho,encontro
83,um-sonho,sem
84,um-sonho,hora
85,um-sonho,marcada
86,um-sonho,Nele
87,um-sonho,encontrava
88,um-sonho,com
89,um-sonho,você
90,um-sonho,Não
91,um-sonho,sei
92,um-sonho,se
93,um-sonho,sonhava
94,um-sonho,o
95,um-sonho,meu
96,um-sonho,sonho
97,um-sonho,Ou
98,um-sonho,se
99,um-sonho,o
100,um-sonho,sonho
101,um-sonho,que
102,um-sonho,eu
103,um-sonho,sonhava
104,um-sonho,era
105,um-sonho,seu
106,um-sonho,Eu
107,um-sonho,ainda
108,um-sonho,nem
109,um-sonho,sei
110,um-sonho,se
111,um-sonho,acordei
112,um-sonho,Desse
113,um-sonho,sonho
114,um-sonho,quero
115,um-sonho,imagem
116,um-sonho,e
117,um-sonho,som
118,um-sonho,Pra
119,um-sonho,saber
120,um-sonho,o
121,um-sonho,que
122,um-sonho,foi
123,um-sonho,que
124,um-sonho,aconteceu
125,um-sonho,Sem
126,um-sonho,imagem
127,um-sonho,e
128,um-sonho,sem
129,um-sonho,som
130,um-sonho,Eu
131,um-sonho,ainda
132,um-sonho,nem
133,um-sonho,sei
134,um-sonho,se
135,um-sonho,acordei
136,um-sonho,Desse
137,um-sonho,sonho
138,um-sonho,quero
139,um-sonho,imagem
140,um-sonho,e
141,um-sonho,som
142,um-sonho,Pra
143,um-sonho,saber
144,um-sonho,o
145,um-sonho,que
146,um-sonho,foi
147,um-sonho,que
148,um-sonho,aconteceu
149,um-sonho,Nele
150,um-sonho,encontrava
151,um-sonho,com
152,um-sonho,você
153,um-sonho,Não
154,um-sonho,sei
155,um-sonho,se
156,um-sonho,sonhava
157,um-sonho,o
158,um-sonho,meu
159,um-sonho,sonho
160,um-sonho,Ou
161,um-sonho,se
162,um-sonho,o
163,um-sonho,sonho
164,um-sonho,que
165,um-sonho,eu
166,um-sonho,sonhava
167,um-sonho,era
168,um-sonho,seu
169,um-sonho,None
280,a-praieira,A
281,a-praieira,praia
282,a-praieira,melhor
283,a-praieira,pra
284,a-praieira,ficar
285,a-praieira,Tenho
286,a-praieira,a
287,a-praieira,hora
288,a-praieira,certa
289,a-praieira,pra
290,a-praieira,beber
291,a-praieira,Você
292,a-praieira,está
293,a-praieira,girando
294,a-praieira,"melhor,"
295,a-praieira,garota
296,a-praieira,Na
297,a-praieira,areia
298,a-praieira,onde
299,a-praieira,o
300,a-praieira,mar
301,a-praieira,chegou
302,a-praieira,A
303,a-praieira,ciranda
304,a-praieira,acabou
305,a-praieira,de
306,a-praieira,"começar,"
307,a-praieira,e
308,a-praieira,ela
309,a-praieira,é!
310,a-praieira,E
311,a-praieira,é
312,a-praieira,praieira!!!
313,a-praieira,Segura
314,a-praieira,bem
315,a-praieira,forte
316,a-praieira,a
317,a-praieira,mão
318,a-praieira,E
319,a-praieira,é
320,a-praieira,praieira
321,a-praieira,!!!
322,a-praieira,Vou
323,a-praieira,lembrando
324,a-praieira,a
325,a-praieira,Revolução
326,a-praieira,Vou
327,a-praieira,lembrando
328,a-praieira,a
329,a-praieira,Revolução
330,a-praieira,Mas
331,a-praieira,há
332,a-praieira,fronteiras
333,a-praieira,nos
334,a-praieira,jardins
335,a-praieira,da
336,a-praieira,razão
337,a-praieira,A
338,a-praieira,areia
339,a-praieira,melhor
340,a-praieira,pra
341,a-praieira,deitar
342,a-praieira,Vou
343,a-praieira,dançar
344,a-praieira,uma
345,a-praieira,ciranda
346,a-praieira,pra
347,a-praieira,beber
348,a-praieira,Que
349,a-praieira,você
350,a-praieira,se
351,a-praieira,sente
352,a-praieira,melhor
353,a-praieira,Na
354,a-praieira,areia
355,a-praieira,onde
356,a-praieira,o
357,a-praieira,mar
358,a-praieira,chegou
359,a-praieira,A
360,a-praieira,ciranda
361,a-praieira,acabou
362,a-praieira,de
363,a-praieira,"começar,"
364,a-praieira,e
365,a-praieira,ela
366,a-praieira,é!
367,a-praieira,E
368,a-praieira,é
369,a-praieira,praieira!!!
370,a-praieira,Segura
371,a-praieira,bem
372,a-praieira,forte
373,a-praieira,a
374,a-praieira,mão
375,a-praieira,E
376,a-praieira,é
377,a-praieira,praieira
378,a-praieira,!!!
379,a-praieira,Vou
380,a-praieira,lembrando
381,a-praieira,a
382,a-praieira,Revolução
383,a-praieira,Vou
384,a-praieira,lembrando
385,a-praieira,a
386,a-praieira,Revolução
387,a-praieira,Mas
388,a-praieira,há
389,a-praieira,fronteiras
390,a-praieira,nos
391,a-praieira,jardins
392,a-praieira,da
393,a-praieira,razão
394,a-praieira,"Segurando,"
395,a-praieira,ê!
396,a-praieira,"Arrastanto,"
397,a-praieira,ê!
398,a-praieira,É
399,a-praieira,praieira!
400,a-praieira,É
401,a-praieira,praieira!
402,a-praieira,É
403,a-praieira,praieira!
404,a-praieira,A
405,a-praieira,areia
406,a-praieira,melhor
407,a-praieira,pra
408,a-praieira,deitar
409,a-praieira,Vou
410,a-praieira,dançar
411,a-praieira,uma
412,a-praieira,ciranda
413,a-praieira,pra
414,a-praieira,beber
415,a-praieira,Você
416,a-praieira,pode
417,a-praieira,pisar
418,a-praieira,onde
419,a-praieira,quer
420,a-praieira,Que
421,a-praieira,você
422,a-praieira,se
423,a-praieira,sente
424,a-praieira,melhor
425,a-praieira,Na
426,a-praieira,areia
427,a-praieira,onde
428,a-praieira,o
429,a-praieira,mar
430,a-praieira,chegou
431,a-praieira,A
432,a-praieira,ciranda
433,a-praieira,acabou
434,a-praieira,de
435,a-praieira,"começar,"
436,a-praieira,e
437,a-praieira,ela
438,a-praieira,é!
439,a-praieira,E
440,a-praieira,é
441,a-praieira,praieira!!!
442,a-praieira,Segura
443,a-praieira,bem
444,a-praieira,forte
445,a-praieira,a
446,a-praieira,mão
447,a-praieira,E
448,a-praieira,é
449,a-praieira,praieira
450,a-praieira,!!!
451,a-praieira,Vou
452,a-praieira,lembrando
453,a-praieira,a
454,a-praieira,Revolução
455,a-praieira,Vou
456,a-praieira,lembrando
457,a-praieira,a
458,a-praieira,Revolução
459,a-praieira,Mas
460,a-praieira,há
461,a-praieira,fronteiras
462,a-praieira,nos
463,a-praieira,jardins
464,a-praieira,da
465,a-praieira,razão
466,a-praieira,Vai
467,a-praieira,"girando,"
468,a-praieira,ê!
469,a-praieira,"Segurando,"
470,a-praieira,ê!
471,a-praieira,"Arrastando,"
472,a-praieira,ê!
473,a-praieira,Arrastando
474,a-praieira,Arrastando
475,a-praieira,Arrastando
476,a-praieira,É
477,a-praieira,praieira!
478,a-praieira,É
479,a-praieira,praieira!
480,a-praieira,É
481,a-praieira,praieira!
482,a-praieira,É
483,a-praieira,praieira!
484,a-praieira,A
485,a-praieira,praia
486,a-praieira,melhor
487,a-praieira,pra
488,a-praieira,ficar
489,a-praieira,Tenho
490,a-praieira,a
491,a-praieira,hora
492,a-praieira,certa
493,a-praieira,pra
494,a-praieira,beber
495,a-praieira,None
560,a-melhor-hora-da-praia,Pra
561,a-melhor-hora-da-praia,grande
562,a-melhor-hora-da-praia,festa
563,a-melhor-hora-da-praia,que
564,a-melhor-hora-da-praia,quando
565,a-melhor-hora-da-praia,começa
566,a-melhor-hora-da-praia,Não
567,a-melhor-hora-da-praia,quer
568,a-melhor-hora-da-praia,mais
569,a-melhor-hora-da-praia,acabar
570,a-melhor-hora-da-praia,Ciranda
571,a-melhor-hora-da-praia,que
572,a-melhor-hora-da-praia,não
573,a-melhor-hora-da-praia,para
574,a-melhor-hora-da-praia,A
575,a-melhor-hora-da-praia,melhor
576,a-melhor-hora-da-praia,hora
577,a-melhor-hora-da-praia,da
578,a-melhor-hora-da-praia,praia
579,a-melhor-hora-da-praia,Começo
580,a-melhor-hora-da-praia,sem
581,a-melhor-hora-da-praia,fim
582,a-melhor-hora-da-praia,A
583,a-melhor-hora-da-praia,melhor
584,a-melhor-hora-da-praia,hora
585,a-melhor-hora-da-praia,da
586,a-melhor-hora-da-praia,praia
587,a-melhor-hora-da-praia,Começo
588,a-melhor-hora-da-praia,sem
589,a-melhor-hora-da-praia,fim
590,a-melhor-hora-da-praia,Sem
591,a-melhor-hora-da-praia,fim
592,a-melhor-hora-da-praia,Faça
593,a-melhor-hora-da-praia,chuva
594,a-melhor-hora-da-praia,ou
595,a-melhor-hora-da-praia,sol
596,a-melhor-hora-da-praia,Acorda
597,a-melhor-hora-da-praia,cedo
598,a-melhor-hora-da-praia,e
599,a-melhor-hora-da-praia,vai
600,a-melhor-hora-da-praia,até
601,a-melhor-hora-da-praia,tarde
602,a-melhor-hora-da-praia,Sem
603,a-melhor-hora-da-praia,pensar
604,a-melhor-hora-da-praia,em
605,a-melhor-hora-da-praia,parar
606,a-melhor-hora-da-praia,Fica
607,a-melhor-hora-da-praia,nessas
608,a-melhor-hora-da-praia,idas
609,a-melhor-hora-da-praia,e
610,a-melhor-hora-da-praia,vindas
611,a-melhor-hora-da-praia,Empurrado
612,a-melhor-hora-da-praia,pelas
613,a-melhor-hora-da-praia,ondas
614,a-melhor-hora-da-praia,Só
615,a-melhor-hora-da-praia,pra
616,a-melhor-hora-da-praia,poder
617,a-melhor-hora-da-praia,lhe
618,a-melhor-hora-da-praia,encontrar
619,a-melhor-hora-da-praia,A
620,a-melhor-hora-da-praia,melhor
621,a-melhor-hora-da-praia,hora
