,Musicas,Palavras
0,wave,Os
1,wave,olhos
2,wave,já
3,wave,não
4,wave,podem
5,wave,ver
6,wave,Coisas
7,wave,que
8,wave,só
9,wave,o
10,wave,coração
11,wave,pode
12,wave,entender
13,wave,Fundamental
14,wave,é
15,wave,mesmo
16,wave,o
17,wave,amor
18,wave,É
19,wave,impossível
20,wave,ser
21,wave,feliz
22,wave,sozinho
23,wave,É
24,wave,tudo
25,wave,que
26,wave,não
27,wave,sei
28,wave,contar
29,wave,São
30,wave,coisas
31,wave,lindas
32,wave,que
33,wave,eu
34,wave,tenho
35,wave,pra
36,wave,te
37,wave,dar
38,wave,Vem
39,wave,de
40,wave,mansinho
41,wave,à
42,wave,brisa
43,wave,e
44,wave,me
45,wave,diz
46,wave,É
47,wave,impossível
48,wave,ser
49,wave,feliz
50,wave,sozinho
51,wave,Da
52,wave,"segunda,"
53,wave,o
54,wave,cais
55,wave,e
56,wave,a
57,wave,eternidade
58,wave,Da
59,wave,onda
60,wave,que
61,wave,se
62,wave,ergueu
63,wave,no
64,wave,mar
65,wave,E
66,wave,das
67,wave,estrelas
68,wave,que
69,wave,esquecemos
70,wave,de
71,wave,contar
72,wave,O
73,wave,amor
74,wave,se
75,wave,deixa
76,wave,surpreender
77,wave,Enquanto
78,wave,a
79,wave,noite
80,wave,vem
81,wave,nos
82,wave,envolver
83,wave,Da
84,wave,"segunda,"
85,wave,o
86,wave,cais
87,wave,e
88,wave,a
89,wave,eternidade
90,wave,Da
91,wave,onda
92,wave,que
93,wave,se
94,wave,ergueu
95,wave,no
96,wave,mar
97,wave,E
98,wave,das
99,wave,estrelas
100,wave,que
101,wave,esquecemos
102,wave,de
103,wave,contar
104,wave,O
105,wave,amor
106,wave,se
107,wave,deixa
108,wave,surpreender
109,wave,Enquanto
110,wave,a
111,wave,noite
112,wave,vem
113,wave,nos
114,wave,envolver
115,wave,None
716,chega-de-saudade,E
717,chega-de-saudade,diz
718,chega-de-saudade,a
719,chega-de-saudade,ela
720,chega-de-saudade,que
721,chega-de-saudade,sem
722,chega-de-saudade,ela
723,chega-de-saudade,não
724,chega-de-saudade,pode
725,chega-de-saudade,ser
726,chega-de-saudade,Diz-lhe
727,chega-de-saudade,numa
728,chega-de-saudade,prece
729,chega-de-saudade,Que
730,chega-de-saudade,ela
731,chega-de-saudade,regresse
732,chega-de-saudade,Porque
733,chega-de-saudade,eu
734,chega-de-saudade,não
735,chega-de-saudade,posso
736,chega-de-saudade,mais
737,chega-de-saudade,sofrer
738,chega-de-saudade,A
739,chega-de-saudade,realidade
740,chega-de-saudade,é
741,chega-de-saudade,que
742,chega-de-saudade,sem
743,chega-de-saudade,ela
744,chega-de-saudade,não
745,chega-de-saudade,há
746,chega-de-saudade,paz
747,chega-de-saudade,Não
748,chega-de-saudade,há
749,chega-de-saudade,beleza
750,chega-de-saudade,É
751,chega-de-saudade,só
752,chega-de-saudade,tristeza
753,chega-de-saudade,e
754,chega-de-saudade,a
755,chega-de-saudade,melancolia
756,chega-de-saudade,Que
757,chega-de-saudade,não
758,chega-de-saudade,sai
759,chega-de-saudade,de
760,chega-de-saudade,"mim,"
761,chega-de-saudade,não
762,chega-de-saudade,sai
763,chega-de-saudade,de
764,chega-de-saudade,"mim,"
765,chega-de-saudade,não
766,chega-de-saudade,sai
767,chega-de-saudade,Que
768,chega-de-saudade,coisa
769,chega-de-saudade,"linda,"
770,chega-de-saudade,que
771,chega-de-saudade,coisa
772,chega-de-saudade,louca
773,chega-de-saudade,Pois
774,chega-de-saudade,há
775,chega-de-saudade,menos
776,chega-de-saudade,peixinhos
777,chega-de-saudade,a
778,chega-de-saudade,nadar
779,chega-de-saudade,no
780,chega-de-saudade,mar
781,chega-de-saudade,Do
782,chega-de-saudade,que
783,chega-de-saudade,os
784,chega-de-saudade,beijinhos
785,chega-de-saudade,que
786,chega-de-saudade,eu
787,chega-de-saudade,darei
788,chega-de-saudade,na
789,chega-de-saudade,sua
790,chega-de-saudade,boca
791,chega-de-saudade,Os
792,chega-de-saudade,abraços
793,chega-de-saudade,hão
794,chega-de-saudade,de
795,chega-de-saudade,ser
796,chega-de-saudade,milhões
797,chega-de-saudade,de
798,chega-de-saudade,abraços
799,chega-de-saudade,Apertado
800,chega-de-saudade,"assim,"
801,chega-de-saudade,colado
802,chega-de-saudade,"assim,"
803,chega-de-saudade,calado
804,chega-de-saudade,assim
805,chega-de-saudade,Abraços
806,chega-de-saudade,e
807,chega-de-saudade,"beijinhos,"
808,chega-de-saudade,e
809,chega-de-saudade,carinhos
810,chega-de-saudade,sem
811,chega-de-saudade,ter
812,chega-de-saudade,fim
813,chega-de-saudade,Que
814,chega-de-saudade,é
815,chega-de-saudade,pra
816,chega-de-saudade,acabar
817,chega-de-saudade,com
818,chega-de-saudade,esse
819,chega-de-saudade,negócio
820,chega-de-saudade,de
821,chega-de-saudade,você
822,chega-de-saudade,viver
823,chega-de-saudade,sem
824,chega-de-saudade,mim
825,chega-de-saudade,Não
826,chega-de-saudade,há
827,chega-de-saudade,beleza
828,chega-de-saudade,É
829,chega-de-saudade,só
830,chega-de-saudade,tristeza
831,chega-de-saudade,e
832,chega-de-saudade,a
833,chega-de-saudade,melancolia
834,chega-de-saudade,Que
835,chega-de-saudade,não
836,chega-de-saudade,sai
837,chega-de-saudade,de
838,chega-de-saudade,"mim,"
839,chega-de-saudade,não
840,chega-de-saudade,sai
841,chega-de-saudade,de
842,chega-de-saudade,"mim,"
843,chega-de-saudade,não
844,chega-de-saudade,sai
845,chega-de-saudade,Os
846,chega-de-saudade,abraços
847,chega-de-saudade,hão
848,chega-de-saudade,de
849,chega-de-saudade,ser
850,chega-de-saudade,milhões
851,chega-de-saudade,de
852,chega-de-saudade,abraços
853,chega-de-saudade,Apertado
854,chega-de-saudade,"assim,"
855,chega-de-saudade,colado
856,chega-de-saudade,"assim,"
857,chega-de-saudade,calado
858,chega-de-saudade,assim
859,chega-de-saudade,Abraços
860,chega-de-saudade,e
861,chega-de-saudade,"beijinhos,"
862,chega-de-saudade,e
863,chega-de-saudade,carinhos
864,chega-de-saudade,sem
865,chega-de-saudade,ter
866,chega-de-saudade,fim
867,chega-de-saudade,Que
868,chega-de-saudade,é
869,chega-de-saudade,pra
870,chega-de-saudade,acabar
871,chega-de-saudade,com
872,chega-de-saudade,esse
873,chega-de-saudade,negócio
874,chega-de-saudade,de
875,chega-de-saudade,você
876,chega-de-saudade,viver
877,chega-de-saudade,sem
878,chega-de-saudade,mim
879,chega-de-saudade,Vamos
880,chega-de-saudade,deixar
881,chega-de-saudade,desse
882,chega-de-saudade,negócio
883,chega-de-saudade,de
884,chega-de-saudade,você
885,chega-de-saudade,viver
886,chega-de-saudade,sem
887,chega-de-saudade,mim
888,chega-de-saudade,None
1432,garota-de-ipanema,"Ah,"
1433,garota-de-ipanema,por
1434,garota-de-ipanema,que
1435,garota-de-ipanema,tudo
1436,garota-de-ipanema,é
1437,garota-de-ipanema,tão
1438,garota-de-ipanema,triste?
1439,garota-de-ipanema,"Ah,"
1440,garota-de-ipanema,a
1441,garota-de-ipanema,beleza
