,Musicas,Palavras
0,aquarela,Eu
1,aquarela,desenho
2,aquarela,um
3,aquarela,Sol
4,aquarela,amarelo
5,aquarela,E
6,aquarela,com
7,aquarela,cinco
8,aquarela,ou
9,aquarela,seis
10,aquarela,retas
11,aquarela,É
12,aquarela,fácil
13,aquarela,fazer
14,aquarela,um
15,aquarela,castelo
16,aquarela,E
17,aquarela,me
18,aquarela,dou
19,aquarela,uma
20,aquarela,luva
21,aquarela,E
22,aquarela,se
23,aquarela,faço
24,aquarela,"chover,"
25,aquarela,com
26,aquarela,dois
27,aquarela,riscos
28,aquarela,Tenho
29,aquarela,um
30,aquarela,guarda
31,aquarela,chuva
32,aquarela,Cai
33,aquarela,num
34,aquarela,pedacinho
35,aquarela,azul
36,aquarela,do
37,aquarela,papel
38,aquarela,Num
39,aquarela,instante
40,aquarela,imagino
41,aquarela,Uma
42,aquarela,linda
43,aquarela,gaivota
44,aquarela,a
45,aquarela,voar
46,aquarela,no
47,aquarela,céu
48,aquarela,A
49,aquarela,imensa
50,aquarela,curva
51,aquarela,norte-sul
52,aquarela,Vou
53,aquarela,com
54,aquarela,ela
55,aquarela,viajando
56,aquarela,"Havaí,"
57,aquarela,pequim
58,aquarela,ou
59,aquarela,istambul
60,aquarela,Branco
61,aquarela,navegando
62,aquarela,É
63,aquarela,tanto
64,aquarela,céu
65,aquarela,e
66,aquarela,mar
67,aquarela,Num
68,aquarela,beijo
69,aquarela,azul
70,aquarela,Um
71,aquarela,lindo
72,aquarela,avião
73,aquarela,rosa
74,aquarela,e
75,aquarela,grená
76,aquarela,Tudo
77,aquarela,em
78,aquarela,volta
79,aquarela,colorindo
80,aquarela,Com
81,aquarela,suas
82,aquarela,luzes
83,aquarela,a
84,aquarela,piscar
85,aquarela,Sereno
86,aquarela,e
87,aquarela,lindo
88,aquarela,E
89,aquarela,se
90,aquarela,a
91,aquarela,gente
92,aquarela,quiser
93,aquarela,Ele
94,aquarela,vai
95,aquarela,pousar
96,aquarela,Eu
97,aquarela,desenho
98,aquarela,um
99,aquarela,navio
100,aquarela,de
101,aquarela,partida
102,aquarela,Com
103,aquarela,alguns
104,aquarela,bons
105,aquarela,amigos
106,aquarela,Bebendo
107,aquarela,de
108,aquarela,bem
109,aquarela,com
110,aquarela,a
111,aquarela,vida
112,aquarela,Eu
113,aquarela,consigo
114,aquarela,passar
115,aquarela,num
116,aquarela,segundo
117,aquarela,Giro
118,aquarela,um
119,aquarela,simples
120,aquarela,compasso
121,aquarela,E
122,aquarela,num
123,aquarela,círculo
124,aquarela,eu
125,aquarela,faço
126,aquarela,o
127,aquarela,mundo
128,aquarela,E
129,aquarela,caminhando
130,aquarela,chega
131,aquarela,no
132,aquarela,muro
133,aquarela,E
134,aquarela,ali
135,aquarela,logo
136,aquarela,em
137,aquarela,frente
138,aquarela,a
139,aquarela,esperar
140,aquarela,Pela
141,aquarela,gente
142,aquarela,o
143,aquarela,futuro
144,aquarela,está
145,aquarela,Que
146,aquarela,tentamos
147,aquarela,pilotar
148,aquarela,Não
149,aquarela,tem
150,aquarela,tempo
151,aquarela,nem
152,aquarela,piedade
153,aquarela,Nem
154,aquarela,tem
155,aquarela,hora
156,aquarela,de
157,aquarela,chegar
158,aquarela,Muda
159,aquarela,nossa
160,aquarela,vida
161,aquarela,E
162,aquarela,depois
163,aquarela,convida
164,aquarela,A
165,aquarela,rir
166,aquarela,ou
167,aquarela,chorar
168,aquarela,Conhecer
169,aquarela,ou
170,aquarela,ver
171,aquarela,o
172,aquarela,que
173,aquarela,virá
174,aquarela,O
175,aquarela,fim
176,aquarela,dela
177,aquarela,ninguém
178,aquarela,sabe
179,aquarela,Bem
180,aquarela,ao
181,aquarela,certo
182,aquarela,onde
183,aquarela,vai
184,aquarela,dar
185,aquarela,Numa
186,aquarela,linda
187,aquarela,passarela
188,aquarela,De
189,aquarela,uma
190,aquarela,aquarela
191,aquarela,que
192,aquarela,um
193,aquarela,dia
194,aquarela,enfim
195,aquarela,Descolorirá
196,aquarela,Eu
197,aquarela,desenho
198,aquarela,um
199,aquarela,Sol
200,aquarela,amarelo
201,aquarela,Que
202,aquarela,descolorirá
203,aquarela,É
204,aquarela,fácil
205,aquarela,fazer
206,aquarela,um
207,aquarela,castelo
208,aquarela,Que
209,aquarela,descolorirá
210,aquarela,E
211,aquarela,num
212,aquarela,círculo
213,aquarela,eu
214,aquarela,faço
215,aquarela,o
216,aquarela,mundo
217,aquarela,Que
218,aquarela,descolorirá
219,aquarela,Que
220,aquarela,descolorirá
221,aquarela,None
612,caderno,Do
613,caderno,primeiro
614,caderno,rabisco
615,caderno,Até
616,caderno,o
617,caderno,bê-a-bá
618,caderno,Em
619,caderno,todos
620,caderno,os
621,caderno,desenhos
622,caderno,Coloridos
623,caderno,vou
624,caderno,estar
625,caderno,A
626,caderno,"casa,"
627,caderno,a
628,caderno,montanha
629,caderno,Duas
630,caderno,nuvens
631,caderno,no
632,caderno,céu
633,caderno,E
634,caderno,um
635,caderno,Sol
636,caderno,a
637,caderno,sorrir
638,caderno,no
639,caderno,papel
640,caderno,Seus
641,caderno,problemas
642,caderno,ajudar
643,caderno,a
644,caderno,resolver
645,caderno,Te
646,caderno,acompanhar
647,caderno,nas
648,caderno,provas
649,caderno,"Bimestrais,"
650,caderno,você
651,caderno,vai
652,caderno,ver
653,caderno,"Serei,"
654,caderno,de
655,caderno,"você,"
656,caderno,confidente
657,caderno,fiel
658,caderno,Se
659,caderno,seu
660,caderno,pranto
661,caderno,molhar
662,caderno,meu
663,caderno,papel
664,caderno,Vou
665,caderno,lhe
666,caderno,dar
667,caderno,abrigo
668,caderno,Se
669,caderno,você
670,caderno,quiser
671,caderno,Quando
672,caderno,surgirem
673,caderno,Seus
674,caderno,primeiros
675,caderno,raios
676,caderno,de
677,caderno,mulher
678,caderno,A
679,caderno,vida
680,caderno,se
681,caderno,abrirá
682,caderno,Num
683,caderno,feroz
684,caderno,carrossel
685,caderno,E
686,caderno,você
687,caderno,vai
688,caderno,rasgar
689,caderno,meu
690,caderno,papel
691,caderno,Comigo
692,caderno,ficará
693,caderno,guardado
694,caderno,Se
695,caderno,lhe
696,caderno,dá
697,caderno,prazer
698,caderno,A
699,caderno,vida
700,caderno,segue
701,caderno,sempre
702,caderno,em
703,caderno,frente
704,caderno,O
705,caderno,que
706,caderno,se
707,caderno,há
708,caderno,de
709,caderno,fazer
710,caderno,Um
711,caderno,"favor,"
712,caderno,se
713,caderno,puder
714,caderno,Não
715,caderno,me
716,caderno,esqueça
717,caderno,Num
718,caderno,canto
719,caderno,qualquer
720,caderno,None
1224,tarde-em-itapua,O
1225,tarde-em-itapua,dia
1226,tarde-em-itapua,pra
1227,tarde-em-itapua,vadiar
1228,tarde-em-itapua,Um
1229,tarde-em-itapua,mar
1230,tarde-em-itapua,que
1231,tarde-em-itapua,não
1232,tarde-em-itapua,tem
1233,tarde-em-itapua,tamanho
1234,tarde-em-itapua,E
1235,tarde-em-itapua,um
1236,tarde-em-itapua,arco-íris
1237,tarde-em-itapua,no
1238,tarde-em-itapua,ar
1239,tarde-em-itapua,Sentir
1240,tarde-em-itapua,preguiça
1241,tarde-em-itapua,no
1242,tarde-em-itapua,corpo
1243,tarde-em-itapua,E
1244,tarde-em-itapua,numa
1245,tarde-em-itapua,esteira
1246,tarde-em-itapua,de
1247,tarde-em-itapua,vime
1248,tarde-em-itapua,Beber
1249,tarde-em-itapua,uma
1250,tarde-em-itapua,água
1251,tarde-em-itapua,de
1252,tarde-em-itapua,coco
1253,tarde-em-itapua,É
1254,tarde-em-itapua,bom!
1255,tarde-em-itapua,Ao
1256,tarde-em-itapua,Sol
1257,tarde-em-itapua,que
1258,tarde-em-itapua,arde
1259,tarde-em-itapua,em
1260,tarde-em-itapua,Itapuã
1261,tarde-em-itapua,Ouvindo
1262,tarde-em-itapua,o
1263,tarde-em-itapua,mar
1264,tarde-em-itapua,de
1265,tarde-em-itapua,Itapuã
1266,tarde-em-itapua,Falar
1267,tarde-em-itapua,de
1268,tarde-em-itapua,amor
1269,tarde-em-itapua,em
1270,tarde-em-itapua,Itapuã
1271,tarde-em-itapua,Um
1272,tarde-em-itapua,verde
1273,tarde-em-itapua,novinho
1274,tarde-em-itapua,em
1275,tarde-em-itapua,folha
1276,tarde-em-itapua,Argumentar
1277,tarde-em-itapua,com
1278,tarde-em-itapua,doçura
1279,tarde-em-itapua,Com
1280,tarde-em-itapua,uma
1281,tarde-em-itapua,cachaça
1282,tarde-em-itapua,de
1283,tarde-em-itapua,rolha
1284,tarde-em-itapua,No
1285,tarde-em-itapua,encontro
1286,tarde-em-itapua,de
1287,tarde-em-itapua,céu
1288,tarde-em-itapua,e
1289,tarde-em-itapua,mar
1290,tarde-em-itapua,Bem
1291,tarde-em-itapua,devagar
1292,tarde-em-itapua,ir
1293,tarde-em-itapua,sentindo
1294,tarde-em-itapua,A
1295,tarde-em-itapua,terra
1296,tarde-em-itapua,toda
1297,tarde-em-itapua,rodar
1298,tarde-em-itapua,É
1299,tarde-em-itapua,bom!
1300,tarde-em-itapua,Ao
1301,tarde-em-itapua,Sol
1302,tarde-em-itapua,que
1303,tarde-em-itapua,arde
1304,tarde-em-itapua,em
1305,tarde-em-itapua,Itapuã
1306,tarde-em-itapua,Ouvindo
1307,tarde-em-itapua,o
1308,tarde-em-itapua,mar
1309,tarde-em-itapua,de
1310,tarde-em-itapua,Itapuã
1311,tarde-em-itapua,Falar
1312,tarde-em-itapua,de
1313,tarde-em-itapua,amor
1314,tarde-em-itapua,em
1315,tarde-em-itapua,Itapuã
1316,tarde-em-itapua,Do
1317,tarde-em-itapua,vento
1318,tarde-em-itapua,que
1319,tarde-em-itapua,a
1320,tarde-em-itapua,noite
1321,tarde-em-itapua,traz
1322,tarde-em-itapua,E
1323,tarde-em-itapua,o
1324,tarde-em-itapua,diz-que-diz-que
1325,tarde-em-itapua,macio
1326,tarde-em-itapua,Que
1327,tarde-em-itapua,brota
1328,tarde-em-itapua,dos
1329,tarde-em-itapua,coqueirais
1330,tarde-em-itapua,Sem
1331,tarde-em-itapua,ontem
1332,tarde-em-itapua,nem
1333,tarde-em-itapua,amanhã
1334,tarde-em-itapua,Dormir
1335,tarde-em-itapua,nos
1336,tarde-em-itapua,braços
1337,tarde-em-itapua,morenos
1338,tarde-em-itapua,Da
1339,tarde-em-itapua,Lua
1340,tarde-em-itapua,de
1341,tarde-em-itapua,Itapuã
1342,tarde-em-itapua,É
1343,tarde-em-itapua,bom!
1344,tarde-em-itapua,Ao
1345,tarde-em-itapua,Sol
1346,tarde-em-itapua,que
1347,tarde-em-itapua,arde
1348,tarde-em-itapua,em
1349,tarde-em-itapua,Itapuã
1350,tarde-em-itapua,Ouvindo
1351,tarde-em-itapua,o
1352,tarde-em-itapua,mar
1353,tarde-em-itapua,de
1354,tarde-em-itapua,Itapuã
1355,tarde-em-itapua,Falar
1356,tarde-em-itapua,de
1357,tarde-em-itapua,amor
1358,tarde-em-itapua,em
1359,tarde-em-itapua,Itapuã
1360,tarde-em-itapua,None
2448,regra-tres,Porque
2449,regra-tres,"você,"
2450,regra-tres,rapaz
2451,regra-tres,Abusou
2452,regra-tres,da
2453,regra-tres,regra
2454,regra-tres,três
2455,regra-tres,Onde
2456,regra-tres,menos
2457,regra-tres,vale
2458,regra-tres,mais
2459,regra-tres,Mas
