,Musicas,Palavras
0,rebirth,Hearing
1,rebirth,echoes
2,rebirth,from
3,rebirth,your
4,rebirth,heart
5,rebirth,Learning
6,rebirth,how
7,rebirth,to
8,rebirth,recompose
9,rebirth,the
10,rebirth,words
11,rebirth,Let
12,rebirth,time
13,rebirth,just
14,rebirth,fly
15,rebirth,Not
16,rebirth,a
17,rebirth,single
18,rebirth,note
19,rebirth,will
20,rebirth,sound
21,rebirth,Raise
22,rebirth,my
23,rebirth,head
24,rebirth,after
25,rebirth,I
26,rebirth,dry
27,rebirth,my
28,rebirth,face
29,rebirth,Let
30,rebirth,time
31,rebirth,just
32,rebirth,fly
33,rebirth,"Returning,"
34,rebirth,retrieving
35,rebirth,A
36,rebirth,small
37,rebirth,talk
38,rebirth,you're
39,rebirth,missing
40,rebirth,More
41,rebirth,"clever,"
42,rebirth,but
43,rebirth,older
44,rebirth,now
45,rebirth,A
46,rebirth,lawful
47,rebirth,beginner
48,rebirth,A
49,rebirth,lodger
50,rebirth,of
51,rebirth,lunacy
52,rebirth,So
53,rebirth,lucid
54,rebirth,in
55,rebirth,the
56,rebirth,jungle
57,rebirth,A
58,rebirth,"helper,"
59,rebirth,a
60,rebirth,sinner
61,rebirth,A
62,rebirth,scarecrow's
63,rebirth,agonyzing
64,rebirth,smile
65,rebirth,"Oh,"
66,rebirth,my
67,rebirth,chest
68,rebirth,will
69,rebirth,now
70,rebirth,"explode,"
71,rebirth,falling
72,rebirth,into
73,rebirth,pieces
74,rebirth,Rain
75,rebirth,breaks
76,rebirth,on
77,rebirth,the
78,rebirth,ground
79,rebirth,Blood
80,rebirth,A
81,rebirth,sinner
82,rebirth,regretting
83,rebirth,My
84,rebirth,vulgar
85,rebirth,misery
86,rebirth,ends
87,rebirth,High
88,rebirth,where
89,rebirth,mountain's
90,rebirth,stand
91,rebirth,Found
92,rebirth,my
93,rebirth,hope
94,rebirth,and
95,rebirth,pride
96,rebirth,again
97,rebirth,Rebirth
98,rebirth,of
99,rebirth,a
100,rebirth,man
101,rebirth,High
102,rebirth,where
103,rebirth,mountain's
104,rebirth,stand
105,rebirth,Found
106,rebirth,my
107,rebirth,hope
108,rebirth,and
109,rebirth,pride
110,rebirth,again
111,rebirth,Rebirth
112,rebirth,of
113,rebirth,a
114,rebirth,man
115,rebirth,None
1224,bleeding-heart,You
1225,bleeding-heart,knew
1226,bleeding-heart,since
1227,bleeding-heart,the
1228,bleeding-heart,beginning
1229,bleeding-heart,Didn't
1230,bleeding-heart,want
1231,bleeding-heart,to
1232,bleeding-heart,believe
1233,bleeding-heart,it's
1234,bleeding-heart,true
1235,bleeding-heart,You
1236,bleeding-heart,are
1237,bleeding-heart,alone
1238,bleeding-heart,again
1239,bleeding-heart,My
1240,bleeding-heart,soul
1241,bleeding-heart,will
1242,bleeding-heart,be
1243,bleeding-heart,with
1244,bleeding-heart,you
1245,bleeding-heart,If
1246,bleeding-heart,my
1247,bleeding-heart,world
1248,bleeding-heart,isn't
1249,bleeding-heart,turning?
1250,bleeding-heart,Hear
1251,bleeding-heart,your
1252,bleeding-heart,voice
1253,bleeding-heart,in
1254,bleeding-heart,the
1255,bleeding-heart,doorway
1256,bleeding-heart,wind
1257,bleeding-heart,You
1258,bleeding-heart,are
1259,bleeding-heart,alone
1260,bleeding-heart,again
1261,bleeding-heart,I'm
1262,bleeding-heart,only
1263,bleeding-heart,waiting
1264,bleeding-heart,Before
1265,bleeding-heart,you
1266,bleeding-heart,leave
1267,bleeding-heart,with
1268,bleeding-heart,no
1269,bleeding-heart,repentance
1270,bleeding-heart,I
1271,bleeding-heart,cried
1272,bleeding-heart,to
1273,bleeding-heart,"you,"
1274,bleeding-heart,my
1275,bleeding-heart,tears
1276,bleeding-heart,turn
1277,bleeding-heart,into
