,Musicas,Palavras
0,meiga-e-abusada,Mas
1,meiga-e-abusada,foi
2,meiga-e-abusada,tão
3,meiga-e-abusada,fácil
4,meiga-e-abusada,pra
5,meiga-e-abusada,te
6,meiga-e-abusada,controlar
7,meiga-e-abusada,Com
8,meiga-e-abusada,jeito
9,meiga-e-abusada,de
10,meiga-e-abusada,menina
11,meiga-e-abusada,brincalhona
12,meiga-e-abusada,A
13,meiga-e-abusada,fórmula
14,meiga-e-abusada,perfeita
15,meiga-e-abusada,pra
16,meiga-e-abusada,poder
17,meiga-e-abusada,te
18,meiga-e-abusada,comandar
19,meiga-e-abusada,Que
20,meiga-e-abusada,tá
21,meiga-e-abusada,solteiro
22,meiga-e-abusada,e
23,meiga-e-abusada,agora
24,meiga-e-abusada,quer
25,meiga-e-abusada,parar
26,meiga-e-abusada,Eu
27,meiga-e-abusada,"finjo,"
28,meiga-e-abusada,vou
29,meiga-e-abusada,fazendo
30,meiga-e-abusada,meu
31,meiga-e-abusada,teatro
32,meiga-e-abusada,E
33,meiga-e-abusada,te
34,meiga-e-abusada,faço
35,meiga-e-abusada,de
36,meiga-e-abusada,"palhaço,"
37,meiga-e-abusada,pra
38,meiga-e-abusada,te
39,meiga-e-abusada,dominar
40,meiga-e-abusada,Achando
41,meiga-e-abusada,que
42,meiga-e-abusada,logo
43,meiga-e-abusada,vai
44,meiga-e-abusada,me
45,meiga-e-abusada,ter
46,meiga-e-abusada,Mas
47,meiga-e-abusada,no
48,meiga-e-abusada,fundo
49,meiga-e-abusada,eu
50,meiga-e-abusada,só
51,meiga-e-abusada,tô
52,meiga-e-abusada,brincando
53,meiga-e-abusada,com
54,meiga-e-abusada,você
55,meiga-e-abusada,"Hipnose,"
56,meiga-e-abusada,já
57,meiga-e-abusada,ganhei
58,meiga-e-abusada,você
59,meiga-e-abusada,Nesse
60,meiga-e-abusada,jogo
61,meiga-e-abusada,vamos
62,meiga-e-abusada,ver
63,meiga-e-abusada,quem
64,meiga-e-abusada,é
65,meiga-e-abusada,que
66,meiga-e-abusada,vai
67,meiga-e-abusada,vencer
68,meiga-e-abusada,Te
69,meiga-e-abusada,deixo
70,meiga-e-abusada,quente
71,meiga-e-abusada,Meiga
72,meiga-e-abusada,e
73,meiga-e-abusada,"abusada,"
74,meiga-e-abusada,faço
75,meiga-e-abusada,você
76,meiga-e-abusada,se
77,meiga-e-abusada,perder
78,meiga-e-abusada,E
79,meiga-e-abusada,quem
80,meiga-e-abusada,foi
81,meiga-e-abusada,que
82,meiga-e-abusada,disse
83,meiga-e-abusada,que
84,meiga-e-abusada,eu
85,meiga-e-abusada,estava
86,meiga-e-abusada,apaixonada
87,meiga-e-abusada,por
88,meiga-e-abusada,você
89,meiga-e-abusada,Eu
90,meiga-e-abusada,só
91,meiga-e-abusada,quero
92,meiga-e-abusada,saber
93,meiga-e-abusada,Na
94,meiga-e-abusada,tua
95,meiga-e-abusada,mente
96,meiga-e-abusada,Faz
97,meiga-e-abusada,o
98,meiga-e-abusada,que
99,meiga-e-abusada,quiser
100,meiga-e-abusada,comigo
101,meiga-e-abusada,na
102,meiga-e-abusada,imaginação
103,meiga-e-abusada,Homem
104,meiga-e-abusada,do
105,meiga-e-abusada,teu
106,meiga-e-abusada,tipo
107,meiga-e-abusada,eu
108,meiga-e-abusada,"uso,"
109,meiga-e-abusada,mas
110,meiga-e-abusada,se
111,meiga-e-abusada,chega
112,meiga-e-abusada,lá
113,meiga-e-abusada,eu
114,meiga-e-abusada,digo
115,meiga-e-abusada,não
116,meiga-e-abusada,Mas
117,meiga-e-abusada,foi
118,meiga-e-abusada,tão
119,meiga-e-abusada,fácil
120,meiga-e-abusada,pra
121,meiga-e-abusada,te
122,meiga-e-abusada,controlar
123,meiga-e-abusada,Com
124,meiga-e-abusada,jeito
125,meiga-e-abusada,de
126,meiga-e-abusada,menina
127,meiga-e-abusada,brincalhona
128,meiga-e-abusada,A
129,meiga-e-abusada,fórmula
130,meiga-e-abusada,perfeita
131,meiga-e-abusada,pra
132,meiga-e-abusada,poder
133,meiga-e-abusada,te
134,meiga-e-abusada,comandar
135,meiga-e-abusada,Que
136,meiga-e-abusada,tá
137,meiga-e-abusada,solteiro
138,meiga-e-abusada,e
139,meiga-e-abusada,agora
140,meiga-e-abusada,quer
141,meiga-e-abusada,parar
142,meiga-e-abusada,Eu
143,meiga-e-abusada,"finjo,"
144,meiga-e-abusada,vou
145,meiga-e-abusada,fazendo
146,meiga-e-abusada,meu
147,meiga-e-abusada,teatro
148,meiga-e-abusada,E
149,meiga-e-abusada,te
150,meiga-e-abusada,faço
151,meiga-e-abusada,de
152,meiga-e-abusada,"palhaço,"
153,meiga-e-abusada,pra
154,meiga-e-abusada,te
155,meiga-e-abusada,dominar
156,meiga-e-abusada,Achando
157,meiga-e-abusada,que
158,meiga-e-abusada,logo
159,meiga-e-abusada,vai
160,meiga-e-abusada,me
161,meiga-e-abusada,ter
162,meiga-e-abusada,Mas
163,meiga-e-abusada,no
164,meiga-e-abusada,fundo
165,meiga-e-abusada,eu
166,meiga-e-abusada,só
167,meiga-e-abusada,tô
168,meiga-e-abusada,brincando
169,meiga-e-abusada,com
170,meiga-e-abusada,você
171,meiga-e-abusada,"Hipnose,"
172,meiga-e-abusada,já
173,meiga-e-abusada,ganhei
174,meiga-e-abusada,você
175,meiga-e-abusada,Nesse
176,meiga-e-abusada,jogo
177,meiga-e-abusada,vamos
178,meiga-e-abusada,ver
179,meiga-e-abusada,quem
180,meiga-e-abusada,é
181,meiga-e-abusada,que
182,meiga-e-abusada,vai
183,meiga-e-abusada,vencer
184,meiga-e-abusada,Te
185,meiga-e-abusada,deixo
186,meiga-e-abusada,quente
187,meiga-e-abusada,Meiga
188,meiga-e-abusada,e
189,meiga-e-abusada,"abusada,"
190,meiga-e-abusada,faço
