,Musicas,Palavras
0,1967,E
1,1967,a
2,1967,minha
3,1967,história
4,1967,reduzida
5,1967,é
6,1967,mais
7,1967,ou
8,1967,menos
9,1967,assim
10,1967,Nascido
11,1967,em
12,1967,São
13,1967,"Cristóvão,"
14,1967,morador
15,1967,de
16,1967,Madureira
17,1967,Desde
18,1967,pequeno
19,1967,acostumado
20,1967,a
21,1967,subir
22,1967,ladeira
23,1967,Me
24,1967,lembro
25,1967,muito
26,1967,bem
27,1967,dos
28,1967,meus
29,1967,tempos
30,1967,de
31,1967,moleque
32,1967,Que
33,1967,sempre
34,1967,passava
35,1967,as
36,1967,férias
37,1967,no
38,1967,final
39,1967,do
40,1967,77
41,1967,Saudoso
42,1967,Mestre
43,1967,"André,"
44,1967,sempre
45,1967,soube
46,1967,o
47,1967,que
48,1967,queria
49,1967,Futebol
50,1967,na
51,1967,rua
52,1967,F
53,1967,ou
54,1967,no
55,1967,campo
56,1967,de
57,1967,baixo
58,1967,Você
59,1967,"sabe,"
60,1967,meu
61,1967,tio
62,1967,gentil
63,1967,era
64,1967,um
65,1967,esculacho
66,1967,Andava
67,1967,pelas
68,1967,ruas
69,1967,vestindo
70,1967,o
71,1967,meu
72,1967,bate
73,1967,bola
74,1967,Se
75,1967,tu
76,1967,passasse
77,1967,em
78,1967,minha
79,1967,frente
80,1967,era
81,1967,melhor
82,1967,tu
83,1967,sair
84,1967,fora
85,1967,Mas
86,1967,passei
87,1967,por
88,1967,tudo
89,1967,isso
90,1967,entre
91,1967,mortos
92,1967,e
93,1967,feridos
94,1967,Graças
95,1967,ao
96,1967,meu
97,1967,"pai,"
98,1967,o
99,1967,pessoal
100,1967,da
101,1967,tramela
102,1967,Sérgio
103,1967,"Cabrito,"
104,1967,meu
105,1967,padrinho
106,1967,não
107,1967,dava
108,1967,trégua
109,1967,Lembra
110,1967,do
111,1967,Cassino
112,1967,"Bangu,"
113,1967,de
114,1967,vez
115,1967,em
116,1967,quando
117,1967,eu
118,1967,ia
119,1967,lá
120,1967,Curtir
121,1967,um
122,1967,"funk,"
123,1967,ver
124,1967,a
125,1967,mulherada
126,1967,rebolar
127,1967,Kool
128,1967,and
129,1967,the
130,1967,"Gang,"
131,1967,Gap
132,1967,Band
133,1967,Outro
134,1967,"mestre,"
135,1967,James
136,1967,Brown
137,1967,Era
138,1967,só
139,1967,"alegria,"
140,1967,não
141,1967,tinha
142,1967,pau
143,1967,Do
144,1967,jeito
145,1967,que
146,1967,eu
147,1967,fui
148,1967,e
149,1967,que
150,1967,eu
151,1967,sou
152,1967,Eu
153,1967,quero
154,1967,ver
155,1967,se
156,1967,tu
157,1967,é
158,1967,"homem,"
159,1967,mané
160,1967,Que
161,1967,nem
162,1967,a
163,1967,parteira
164,1967,falou
165,1967,Quando
166,1967,pichava
167,1967,muro
168,1967,sempre
169,1967,tinha
170,1967,um
171,1967,correndo
172,1967,atrás
173,1967,Carlos
174,1967,"Peixe,"
175,1967,meu
176,1967,camarada
177,1967,De
178,1967,vez
179,1967,em
180,1967,quando
181,1967,no
182,1967,"piche,"
183,1967,outras
184,1967,na
185,1967,baforada
186,1967,Vida
187,1967,de
188,1967,moleque
189,1967,sempre
190,1967,sangue
191,1967,bom
192,1967,Calote
193,1967,no
194,1967,ônibus
195,1967,pra
196,1967,ir
197,1967,à
198,1967,praia
199,1967,no
200,1967,verão
201,1967,"Foda-se,"
202,1967,pra
203,1967,mim
204,1967,isso
205,1967,nunca
206,1967,foi
207,1967,pecado
208,1967,Sempre
209,1967,no
210,1967,Maraca
211,1967,vendo
212,1967,o
213,1967,Mengão
214,1967,jogar
215,1967,"Zico,"
216,1967,"Adílio,"
217,1967,"Júnior,"
218,1967,fazendo
219,1967,a
220,1967,bola
221,1967,rolar
222,1967,Como
223,1967,já
224,1967,dizia
225,1967,o
226,1967,"hino,"
227,1967,vou
228,1967,repetir
229,1967,com
230,1967,vocês
231,1967,Uma
232,1967,vez
233,1967,"Flamengo,"
234,1967,Flamengo
235,1967,até
236,1967,morrer
237,1967,Me
238,1967,orgulho
239,1967,de
240,1967,ser
241,1967,"carioca,"
242,1967,me
243,1967,orgulho
244,1967,de
245,1967,ser
246,1967,brasileiro
247,1967,Skate
248,1967,na
249,1967,"veia,"
250,1967,só
251,1967,quem
252,1967,tem
253,1967,sabe
254,1967,como
255,1967,é
256,1967,que
257,1967,é
