,Musicas,Palavras
0,agua-com-acucar,Quer
1,agua-com-acucar,água
2,agua-com-acucar,com
3,agua-com-acucar,açúcar
4,agua-com-acucar,ou
5,agua-com-acucar,o
6,agua-com-acucar,meu
7,agua-com-acucar,amor?
8,agua-com-acucar,E
9,agua-com-acucar,se
10,agua-com-acucar,eu
11,agua-com-acucar,te
12,agua-com-acucar,contar
13,agua-com-acucar,que
14,agua-com-acucar,a
15,agua-com-acucar,água
16,agua-com-acucar,acabou?
17,agua-com-acucar,O
18,agua-com-acucar,açúcar
19,agua-com-acucar,que
20,agua-com-acucar,tem
21,agua-com-acucar,é
22,agua-com-acucar,só
23,agua-com-acucar,o
24,agua-com-acucar,meu
25,agua-com-acucar,amor
26,agua-com-acucar,Eu
27,agua-com-acucar,sozinho
28,agua-com-acucar,e
29,agua-com-acucar,você
30,agua-com-acucar,só
31,agua-com-acucar,Por
32,agua-com-acucar,que
33,agua-com-acucar,que
34,agua-com-acucar,a
35,agua-com-acucar,gente
36,agua-com-acucar,não
37,agua-com-acucar,se
38,agua-com-acucar,amarra
39,agua-com-acucar,Um
40,agua-com-acucar,no
41,agua-com-acucar,outro
42,agua-com-acucar,e
43,agua-com-acucar,dá
44,agua-com-acucar,um
45,agua-com-acucar,nó?
46,agua-com-acucar,Mas
47,agua-com-acucar,tem
48,agua-com-acucar,uma
49,agua-com-acucar,opção
50,agua-com-acucar,melhor
51,agua-com-acucar,Tenta
52,agua-com-acucar,o
53,agua-com-acucar,"meu,"
54,agua-com-acucar,por
55,agua-com-acucar,favor
56,agua-com-acucar,Se
57,agua-com-acucar,não
58,agua-com-acucar,"servir,"
59,agua-com-acucar,cê
60,agua-com-acucar,joga
61,agua-com-acucar,"fora,"
62,agua-com-acucar,vai
63,agua-com-acucar,embora
64,agua-com-acucar,e
65,agua-com-acucar,diz
66,agua-com-acucar,que
67,agua-com-acucar,não
68,agua-com-acucar,deu
69,agua-com-acucar,"Mas,"
70,agua-com-acucar,antes
71,agua-com-acucar,"disso,"
72,agua-com-acucar,prova
73,agua-com-acucar,um
74,agua-com-acucar,beijo
75,agua-com-acucar,meu
76,agua-com-acucar,Eu
77,agua-com-acucar,sozinho
78,agua-com-acucar,e
79,agua-com-acucar,você
80,agua-com-acucar,só
81,agua-com-acucar,Por
82,agua-com-acucar,que
83,agua-com-acucar,que
84,agua-com-acucar,a
85,agua-com-acucar,gente
86,agua-com-acucar,não
87,agua-com-acucar,se
88,agua-com-acucar,amarra
89,agua-com-acucar,Um
90,agua-com-acucar,no
91,agua-com-acucar,outro
92,agua-com-acucar,e
93,agua-com-acucar,dá
94,agua-com-acucar,um
95,agua-com-acucar,nó?
96,agua-com-acucar,Mas
97,agua-com-acucar,tem
98,agua-com-acucar,uma
99,agua-com-acucar,opção
100,agua-com-acucar,melhor
101,agua-com-acucar,Tenta
102,agua-com-acucar,o
103,agua-com-acucar,"meu,"
104,agua-com-acucar,por
105,agua-com-acucar,favor
106,agua-com-acucar,Se
107,agua-com-acucar,não
108,agua-com-acucar,"servir,"
109,agua-com-acucar,cê
110,agua-com-acucar,joga
111,agua-com-acucar,"fora,"
112,agua-com-acucar,vai
113,agua-com-acucar,embora
114,agua-com-acucar,e
115,agua-com-acucar,diz
116,agua-com-acucar,que
117,agua-com-acucar,não
118,agua-com-acucar,"deu,"
119,agua-com-acucar,não
120,agua-com-acucar,deu
121,agua-com-acucar,"Mas,"
122,agua-com-acucar,antes
123,agua-com-acucar,"disso,"
124,agua-com-acucar,prova
125,agua-com-acucar,um
126,agua-com-acucar,beijo
127,agua-com-acucar,meu
128,agua-com-acucar,Tenta
129,agua-com-acucar,o
130,agua-com-acucar,"meu,"
131,agua-com-acucar,por
132,agua-com-acucar,favor
133,agua-com-acucar,Se
134,agua-com-acucar,não
135,agua-com-acucar,"servir,"
136,agua-com-acucar,cê
137,agua-com-acucar,joga
138,agua-com-acucar,"fora,"
139,agua-com-acucar,vai
140,agua-com-acucar,embora
141,agua-com-acucar,e
142,agua-com-acucar,diz
143,agua-com-acucar,que
144,agua-com-acucar,não
145,agua-com-acucar,"deu,"
146,agua-com-acucar,não
147,agua-com-acucar,deu
148,agua-com-acucar,"Mas,"
149,agua-com-acucar,antes
150,agua-com-acucar,"disso,"
151,agua-com-acucar,prova
152,agua-com-acucar,um
153,agua-com-acucar,beijo
154,agua-com-acucar,meu
155,agua-com-acucar,Não
156,agua-com-acucar,vai
157,agua-com-acucar,embora
158,agua-com-acucar,sem
159,agua-com-acucar,None
665,te-esperando,Mesmo
666,te-esperando,que
667,te-esperando,você
668,te-esperando,conheça
669,te-esperando,outro
670,te-esperando,cara
671,te-esperando,Na
672,te-esperando,fila
673,te-esperando,de
674,te-esperando,um
675,te-esperando,banco
676,te-esperando,Um
677,te-esperando,tal
678,te-esperando,de
679,te-esperando,Fernando
680,te-esperando,Um
681,te-esperando,"lance,"
682,te-esperando,assim
683,te-esperando,Sem
684,te-esperando,graça
685,te-esperando,Mesmo
686,te-esperando,que
687,te-esperando,vocês
688,te-esperando,casem
689,te-esperando,sem
690,te-esperando,se
691,te-esperando,amar
692,te-esperando,E
693,te-esperando,depois
694,te-esperando,de
695,te-esperando,seis
696,te-esperando,meses
697,te-esperando,Um
698,te-esperando,olhe
699,te-esperando,pro
700,te-esperando,outro
701,te-esperando,E
702,te-esperando,"aí,"
703,te-esperando,pois
704,te-esperando,é
705,te-esperando,Sei
706,te-esperando,lá
707,te-esperando,Por
708,te-esperando,causa
709,te-esperando,dos
710,te-esperando,"filhos,"
711,te-esperando,por
712,te-esperando,muito
713,te-esperando,tempo
714,te-esperando,"Dez,"
715,te-esperando,"vinte,"
716,te-esperando,trinta
717,te-esperando,anos
718,te-esperando,Até
719,te-esperando,se
720,te-esperando,assustar
721,te-esperando,com
722,te-esperando,os
723,te-esperando,seus
724,te-esperando,cabelos
725,te-esperando,brancos
726,te-esperando,Vai
727,te-esperando,lembrar
728,te-esperando,do
729,te-esperando,tempo
730,te-esperando,em
731,te-esperando,que
732,te-esperando,tinha
733,te-esperando,vinte
734,te-esperando,anos
735,te-esperando,Vai
736,te-esperando,lembrar
737,te-esperando,de
738,te-esperando,mim
739,te-esperando,e
740,te-esperando,se
741,te-esperando,perguntar
742,te-esperando,Por
743,te-esperando,onde
744,te-esperando,esse
745,te-esperando,cara
746,te-esperando,deve
747,te-esperando,estar?
748,te-esperando,Te
749,te-esperando,esperando
750,te-esperando,Nem
751,te-esperando,que
752,te-esperando,já
753,te-esperando,esteja
754,te-esperando,velhinha
755,te-esperando,gagá
756,te-esperando,Com
757,te-esperando,"noventa,"
758,te-esperando,"viúva,"
759,te-esperando,sozinha
760,te-esperando,Não
761,te-esperando,vou
762,te-esperando,me
763,te-esperando,importar
764,te-esperando,Vou
765,te-esperando,"ligar,"
766,te-esperando,te
767,te-esperando,chamar
768,te-esperando,pra
769,te-esperando,sair
770,te-esperando,Namorar
771,te-esperando,no
772,te-esperando,sofá
773,te-esperando,Nem
774,te-esperando,que
775,te-esperando,seja
776,te-esperando,além
777,te-esperando,dessa
778,te-esperando,vida
779,te-esperando,Eu
780,te-esperando,vou
781,te-esperando,estar
782,te-esperando,Te
783,te-esperando,esperando
784,te-esperando,None
1330,boa-memoria,Não
1331,boa-memoria,pense
1332,boa-memoria,que
1333,boa-memoria,eu
1334,boa-memoria,te
1335,boa-memoria,quero
1336,boa-memoria,mal
1337,boa-memoria,Tô
1338,boa-memoria,aqui
1339,boa-memoria,na
1340,boa-memoria,torcida
1341,boa-memoria,Que
1342,boa-memoria,vocês
1343,boa-memoria,viajem
1344,boa-memoria,o
1345,boa-memoria,mundo
1346,boa-memoria,Conheçam
1347,boa-memoria,um
1348,boa-memoria,pouco
1349,boa-memoria,de
1350,boa-memoria,tudo
1351,boa-memoria,Banho
1352,boa-memoria,de
1353,boa-memoria,chuva
1354,boa-memoria,e
1355,boa-memoria,vento
1356,boa-memoria,na
1357,boa-memoria,cara
1358,boa-memoria,Faz
1359,boa-memoria,amor
1360,boa-memoria,no
1361,boa-memoria,meio
1362,boa-memoria,da
1363,boa-memoria,estrada
1364,boa-memoria,Eu
1365,boa-memoria,te
1366,boa-memoria,desejo
1367,boa-memoria,tudo
1368,boa-memoria,isso
1369,boa-memoria,e
1370,boa-memoria,muito
1371,boa-memoria,mais
1372,boa-memoria,E
1373,boa-memoria,muito
1374,boa-memoria,mais
1375,boa-memoria,É
1376,boa-memoria,ficar
1377,boa-memoria,longe
1378,boa-memoria,pra
1379,boa-memoria,não
1380,boa-memoria,te
1381,boa-memoria,causar
1382,boa-memoria,nenhum
1383,boa-memoria,problema
1384,boa-memoria,Amar
1385,boa-memoria,é
1386,boa-memoria,deixar
1387,boa-memoria,"ir,"
1388,boa-memoria,te
1389,boa-memoria,desejo
1390,boa-memoria,o
1391,boa-memoria,bem
1392,boa-memoria,e
1393,boa-memoria,só
1394,boa-memoria,"Ah,"
1395,boa-memoria,e
1396,boa-memoria,que
1397,boa-memoria,tenha
1398,boa-memoria,uma
1399,boa-memoria,boa
1400,boa-memoria,memória
1401,boa-memoria,Só
1402,boa-memoria,pra
1403,boa-memoria,você
1404,boa-memoria,lembrar
1405,boa-memoria,que
1406,boa-memoria,comigo
1407,boa-memoria,ia
1408,boa-memoria,ser
1409,boa-memoria,bem
1410,boa-memoria,melhor
1411,boa-memoria,Não
1412,boa-memoria,pense
1413,boa-memoria,que
1414,boa-memoria,eu
1415,boa-memoria,te
1416,boa-memoria,quero
1417,boa-memoria,mal
1418,boa-memoria,Tô
1419,boa-memoria,aqui
1420,boa-memoria,na
1421,boa-memoria,torcida
1422,boa-memoria,Que
1423,boa-memoria,vocês
1424,boa-memoria,viajem
1425,boa-memoria,o
1426,boa-memoria,mundo
1427,boa-memoria,Conheçam
1428,boa-memoria,um
1429,boa-memoria,pouco
1430,boa-memoria,de
1431,boa-memoria,tudo
1432,boa-memoria,Banho
1433,boa-memoria,de
1434,boa-memoria,chuva
1435,boa-memoria,e
1436,boa-memoria,vento
1437,boa-memoria,na
1438,boa-memoria,cara
1439,boa-memoria,Faz
1440,boa-memoria,amor
1441,boa-memoria,no
1442,boa-memoria,meio
1443,boa-memoria,da
1444,boa-memoria,estrada
1445,boa-memoria,Eu
1446,boa-memoria,te
1447,boa-memoria,desejo
1448,boa-memoria,tudo
1449,boa-memoria,isso
1450,boa-memoria,e
1451,boa-memoria,muito
1452,boa-memoria,mais
1453,boa-memoria,E
1454,boa-memoria,muito
1455,boa-memoria,mais
1456,boa-memoria,É
1457,boa-memoria,ficar
1458,boa-memoria,longe
1459,boa-memoria,pra
1460,boa-memoria,não
1461,boa-memoria,te
1462,boa-memoria,causar
1463,boa-memoria,nenhum
1464,boa-memoria,problema
1465,boa-memoria,Amar
1466,boa-memoria,é
1467,boa-memoria,deixar
1468,boa-memoria,"ir,"
1469,boa-memoria,te
1470,boa-memoria,desejo
1471,boa-memoria,o
1472,boa-memoria,bem
1473,boa-memoria,e
1474,boa-memoria,só
1475,boa-memoria,"Ah,"
1476,boa-memoria,e
1477,boa-memoria,que
1478,boa-memoria,tenha
1479,boa-memoria,uma
1480,boa-memoria,boa
1481,boa-memoria,memória
1482,boa-memoria,Só
1483,boa-memoria,pra
1484,boa-memoria,você
1485,boa-memoria,lembrar
1486,boa-memoria,que
1487,boa-memoria,comigo
1488,boa-memoria,ia
1489,boa-memoria,ser
1490,boa-memoria,bem
1491,boa-memoria,melhor
1492,boa-memoria,None
1995,tudo-que-voce-quiser,Em
1996,tudo-que-voce-quiser,fração
1997,tudo-que-voce-quiser,de
1998,tudo-que-voce-quiser,segundos
1999,tudo-que-voce-quiser,vejo
2000,tudo-que-voce-quiser,o
2001,tudo-que-voce-quiser,mundo
2002,tudo-que-voce-quiser,desabar
2003,tudo-que-voce-quiser,Aí
2004,tudo-que-voce-quiser,que
2005,tudo-que-voce-quiser,cai
2006,tudo-que-voce-quiser,a
2007,tudo-que-voce-quiser,ficha
2008,tudo-que-voce-quiser,que
2009,tudo-que-voce-quiser,eu
2010,tudo-que-voce-quiser,não
2011,tudo-que-voce-quiser,vou
2012,tudo-que-voce-quiser,te
2013,tudo-que-voce-quiser,ver
2014,tudo-que-voce-quiser,Será
2015,tudo-que-voce-quiser,que
2016,tudo-que-voce-quiser,esse
2017,tudo-que-voce-quiser,vazio
2018,tudo-que-voce-quiser,um
2019,tudo-que-voce-quiser,dia
2020,tudo-que-voce-quiser,vai
2021,tudo-que-voce-quiser,me
2022,tudo-que-voce-quiser,abandonar?
2023,tudo-que-voce-quiser,Tem
2024,tudo-que-voce-quiser,o
2025,tudo-que-voce-quiser,perfume
2026,tudo-que-voce-quiser,doce
2027,tudo-que-voce-quiser,de
2028,tudo-que-voce-quiser,toda
2029,tudo-que-voce-quiser,manhã
2030,tudo-que-voce-quiser,Você
2031,tudo-que-voce-quiser,tem
2032,tudo-que-voce-quiser,"tudo,"
