,Musicas,Palavras
0,canto-de-ossanha,O
1,canto-de-ossanha,homem
2,canto-de-ossanha,que
3,canto-de-ossanha,diz
4,canto-de-ossanha,"""vou"""
5,canto-de-ossanha,não
6,canto-de-ossanha,"vai,"
7,canto-de-ossanha,porque
8,canto-de-ossanha,quando
9,canto-de-ossanha,foi
10,canto-de-ossanha,já
11,canto-de-ossanha,não
12,canto-de-ossanha,quis
13,canto-de-ossanha,O
14,canto-de-ossanha,homem
15,canto-de-ossanha,que
16,canto-de-ossanha,diz
17,canto-de-ossanha,"""sou"""
18,canto-de-ossanha,não
19,canto-de-ossanha,"é,"
20,canto-de-ossanha,porque
21,canto-de-ossanha,quem
22,canto-de-ossanha,é
23,canto-de-ossanha,mesmo
24,canto-de-ossanha,é
25,canto-de-ossanha,"""não"
26,canto-de-ossanha,"sou"""
27,canto-de-ossanha,O
28,canto-de-ossanha,homem
29,canto-de-ossanha,que
30,canto-de-ossanha,diz
31,canto-de-ossanha,"""tô"""
32,canto-de-ossanha,não
33,canto-de-ossanha,"tá,"
34,canto-de-ossanha,porque
35,canto-de-ossanha,ninguém
36,canto-de-ossanha,tá
37,canto-de-ossanha,quando
38,canto-de-ossanha,quer
39,canto-de-ossanha,Coitado
40,canto-de-ossanha,do
41,canto-de-ossanha,homem
42,canto-de-ossanha,que
43,canto-de-ossanha,cai
44,canto-de-ossanha,no
45,canto-de-ossanha,canto
46,canto-de-ossanha,de
47,canto-de-ossanha,"Ossanha,"
48,canto-de-ossanha,traidor
49,canto-de-ossanha,Coitado
50,canto-de-ossanha,do
51,canto-de-ossanha,homem
52,canto-de-ossanha,que
53,canto-de-ossanha,vai
54,canto-de-ossanha,atrás
55,canto-de-ossanha,de
56,canto-de-ossanha,mandinga
57,canto-de-ossanha,de
58,canto-de-ossanha,amor
59,canto-de-ossanha,"Vai,"
60,canto-de-ossanha,"vai,"
61,canto-de-ossanha,"vai,"
62,canto-de-ossanha,"vai,"
63,canto-de-ossanha,não
64,canto-de-ossanha,vou
65,canto-de-ossanha,"Vai,"
66,canto-de-ossanha,"vai,"
67,canto-de-ossanha,"vai,"
68,canto-de-ossanha,"vai,"
69,canto-de-ossanha,não
70,canto-de-ossanha,vou
71,canto-de-ossanha,"Vai,"
72,canto-de-ossanha,"vai,"
73,canto-de-ossanha,"vai,"
74,canto-de-ossanha,"vai,"
75,canto-de-ossanha,não
76,canto-de-ossanha,vou
77,canto-de-ossanha,Que
78,canto-de-ossanha,eu
79,canto-de-ossanha,não
80,canto-de-ossanha,sou
81,canto-de-ossanha,ninguém
82,canto-de-ossanha,de
83,canto-de-ossanha,ir
84,canto-de-ossanha,em
85,canto-de-ossanha,conversa
86,canto-de-ossanha,de
87,canto-de-ossanha,esquecer
88,canto-de-ossanha,A
89,canto-de-ossanha,tristeza
90,canto-de-ossanha,de
91,canto-de-ossanha,um
92,canto-de-ossanha,amor
93,canto-de-ossanha,que
94,canto-de-ossanha,passou
95,canto-de-ossanha,"Não,"
96,canto-de-ossanha,eu
97,canto-de-ossanha,só
98,canto-de-ossanha,vou
99,canto-de-ossanha,se
100,canto-de-ossanha,for
101,canto-de-ossanha,pra
102,canto-de-ossanha,ver
103,canto-de-ossanha,uma
104,canto-de-ossanha,estrela
105,canto-de-ossanha,aparecer
106,canto-de-ossanha,Na
107,canto-de-ossanha,manhã
108,canto-de-ossanha,de
109,canto-de-ossanha,um
110,canto-de-ossanha,novo
111,canto-de-ossanha,amor
112,canto-de-ossanha,Se
113,canto-de-ossanha,é
114,canto-de-ossanha,canto
115,canto-de-ossanha,de
116,canto-de-ossanha,"Ossanha,"
117,canto-de-ossanha,não
118,canto-de-ossanha,"vá,"
119,canto-de-ossanha,que
120,canto-de-ossanha,muito
121,canto-de-ossanha,vai
122,canto-de-ossanha,se
123,canto-de-ossanha,arrepender
124,canto-de-ossanha,Pergunte
125,canto-de-ossanha,ao
126,canto-de-ossanha,seu
127,canto-de-ossanha,"Orixá,"
128,canto-de-ossanha,o
129,canto-de-ossanha,amor
130,canto-de-ossanha,só
131,canto-de-ossanha,é
132,canto-de-ossanha,bom
133,canto-de-ossanha,pra
134,canto-de-ossanha,valer
135,canto-de-ossanha,Pergunte
136,canto-de-ossanha,ao
137,canto-de-ossanha,seu
138,canto-de-ossanha,"Orixá,"
139,canto-de-ossanha,o
140,canto-de-ossanha,amor
141,canto-de-ossanha,só
142,canto-de-ossanha,é
143,canto-de-ossanha,bom
144,canto-de-ossanha,se
145,canto-de-ossanha,doer
146,canto-de-ossanha,"Vai,"
147,canto-de-ossanha,"vai,"
148,canto-de-ossanha,"vai,"
149,canto-de-ossanha,sofrer
150,canto-de-ossanha,"Vai,"
151,canto-de-ossanha,"vai,"
152,canto-de-ossanha,"vai,"
153,canto-de-ossanha,"vai,"
154,canto-de-ossanha,chorar
155,canto-de-ossanha,"Vai,"
156,canto-de-ossanha,"vai,"
157,canto-de-ossanha,"vai,"
158,canto-de-ossanha,dizer
159,canto-de-ossanha,Que
160,canto-de-ossanha,eu
161,canto-de-ossanha,não
162,canto-de-ossanha,sou
163,canto-de-ossanha,ninguém
164,canto-de-ossanha,de
165,canto-de-ossanha,ir
166,canto-de-ossanha,em
167,canto-de-ossanha,conversa
168,canto-de-ossanha,de
169,canto-de-ossanha,esquecer
170,canto-de-ossanha,A
171,canto-de-ossanha,tristeza
172,canto-de-ossanha,de
173,canto-de-ossanha,um
174,canto-de-ossanha,amor
175,canto-de-ossanha,que
176,canto-de-ossanha,passou
177,canto-de-ossanha,"Não,"
178,canto-de-ossanha,eu
179,canto-de-ossanha,só
180,canto-de-ossanha,vou
181,canto-de-ossanha,se
182,canto-de-ossanha,for
183,canto-de-ossanha,pra
184,canto-de-ossanha,ver
185,canto-de-ossanha,uma
186,canto-de-ossanha,estrela
187,canto-de-ossanha,aparecer
188,canto-de-ossanha,Na
189,canto-de-ossanha,manhã
190,canto-de-ossanha,de
