,Musicas,Palavras
0,anna-julia,Não
1,anna-julia,sabe
2,anna-julia,o
3,anna-julia,que
4,anna-julia,é
5,anna-julia,sofrer
6,anna-julia,Ter
7,anna-julia,que
8,anna-julia,ver
9,anna-julia,"você,"
10,anna-julia,"assim,"
11,anna-julia,sempre
12,anna-julia,tão
13,anna-julia,linda
14,anna-julia,Contemplar
15,anna-julia,o
16,anna-julia,Sol
17,anna-julia,do
18,anna-julia,teu
19,anna-julia,"olhar,"
20,anna-julia,perder
21,anna-julia,você
22,anna-julia,no
23,anna-julia,ar
24,anna-julia,Na
25,anna-julia,certeza
26,anna-julia,de
27,anna-julia,um
28,anna-julia,amor
29,anna-julia,Me
30,anna-julia,achar
31,anna-julia,um
32,anna-julia,nada
33,anna-julia,Pois
34,anna-julia,sem
35,anna-julia,ter
36,anna-julia,teu
37,anna-julia,carinho
38,anna-julia,Eu
39,anna-julia,me
40,anna-julia,sinto
41,anna-julia,sozinho
42,anna-julia,Eu
43,anna-julia,me
44,anna-julia,afogo
45,anna-julia,em
46,anna-julia,solidão
47,anna-julia,"Oh,"
48,anna-julia,Anna
49,anna-julia,Júlia
50,anna-julia,Me
51,anna-julia,atormenta
52,anna-julia,a
53,anna-julia,previsão
54,anna-julia,do
55,anna-julia,nosso
56,anna-julia,destino
57,anna-julia,Eu
58,anna-julia,passando
59,anna-julia,o
60,anna-julia,dia
61,anna-julia,a
62,anna-julia,te
63,anna-julia,esperar
64,anna-julia,Você
65,anna-julia,sem
66,anna-julia,me
67,anna-julia,notar
68,anna-julia,Quando
69,anna-julia,tudo
70,anna-julia,tiver
71,anna-julia,"fim,"
72,anna-julia,você
73,anna-julia,vai
74,anna-julia,estar
75,anna-julia,com
76,anna-julia,um
77,anna-julia,cara
78,anna-julia,Um
79,anna-julia,alguém
80,anna-julia,sem
81,anna-julia,carinho
82,anna-julia,Será
83,anna-julia,sempre
84,anna-julia,um
85,anna-julia,espinho
86,anna-julia,Dentro
87,anna-julia,do
88,anna-julia,meu
89,anna-julia,coração
90,anna-julia,"Oh,"
91,anna-julia,Anna
92,anna-julia,Júlia
93,anna-julia,Sei
94,anna-julia,que
95,anna-julia,você
96,anna-julia,já
97,anna-julia,não
98,anna-julia,gosta
99,anna-julia,de
100,anna-julia,mim
101,anna-julia,Eu
102,anna-julia,sei
103,anna-julia,que
104,anna-julia,eu
105,anna-julia,não
106,anna-julia,sou
107,anna-julia,quem
108,anna-julia,você
109,anna-julia,sempre
110,anna-julia,sonhou
111,anna-julia,Mas
112,anna-julia,vou
113,anna-julia,reconquistar
114,anna-julia,o
115,anna-julia,seu
116,anna-julia,amor
117,anna-julia,todo
118,anna-julia,pra
119,anna-julia,mim
120,anna-julia,"Oh,"
121,anna-julia,Anna
122,anna-julia,Júlia
123,anna-julia,"Oh,"
124,anna-julia,Anna
125,anna-julia,Júlia
126,anna-julia,"Oh,"
127,anna-julia,Anna
128,anna-julia,"Júlia,"
129,anna-julia,"Júlia,"
130,anna-julia,Júlia
131,anna-julia,None
232,ultimo-romance,Mais
233,ultimo-romance,procurar
234,ultimo-romance,o
235,ultimo-romance,meu
236,ultimo-romance,amor
237,ultimo-romance,E
238,ultimo-romance,quanto
239,ultimo-romance,levou
240,ultimo-romance,foi
241,ultimo-romance,pr'eu
242,ultimo-romance,merecer
243,ultimo-romance,Antes
244,ultimo-romance,um
245,ultimo-romance,mês
246,ultimo-romance,e
247,ultimo-romance,eu
248,ultimo-romance,já
249,ultimo-romance,não
250,ultimo-romance,sei
251,ultimo-romance,Na
252,ultimo-romance,fila
253,ultimo-romance,do
254,ultimo-romance,"pão,"
255,ultimo-romance,sabe
256,ultimo-romance,que
257,ultimo-romance,eu
258,ultimo-romance,te
259,ultimo-romance,encontrei
260,ultimo-romance,E
261,ultimo-romance,ninguém
262,ultimo-romance,dirá
263,ultimo-romance,que
264,ultimo-romance,é
265,ultimo-romance,tarde
266,ultimo-romance,demais
267,ultimo-romance,Que
268,ultimo-romance,é
269,ultimo-romance,tão
270,ultimo-romance,diferente
271,ultimo-romance,assim
272,ultimo-romance,Do
273,ultimo-romance,nosso
274,ultimo-romance,amor
275,ultimo-romance,a
276,ultimo-romance,gente
277,ultimo-romance,é
278,ultimo-romance,que
279,ultimo-romance,"sabe,"
280,ultimo-romance,pequena
281,ultimo-romance,Me
282,ultimo-romance,diz
283,ultimo-romance,o
284,ultimo-romance,que
285,ultimo-romance,é
286,ultimo-romance,o
287,ultimo-romance,sufoco
288,ultimo-romance,Que
289,ultimo-romance,eu
290,ultimo-romance,te
291,ultimo-romance,mostro
292,ultimo-romance,alguém
293,ultimo-romance,A
294,ultimo-romance,fim
295,ultimo-romance,de
296,ultimo-romance,te
297,ultimo-romance,acompanhar
298,ultimo-romance,E
299,ultimo-romance,se
300,ultimo-romance,o
301,ultimo-romance,caso
302,ultimo-romance,for
303,ultimo-romance,de
304,ultimo-romance,ir
305,ultimo-romance,à
306,ultimo-romance,praia
307,ultimo-romance,Eu
308,ultimo-romance,levo
309,ultimo-romance,essa
310,ultimo-romance,casa
311,ultimo-romance,numa
312,ultimo-romance,sacola
313,ultimo-romance,Tanto
314,ultimo-romance,"clichê,"
315,ultimo-romance,deve
316,ultimo-romance,não
317,ultimo-romance,ser
318,ultimo-romance,Você
319,ultimo-romance,me
320,ultimo-romance,falou
321,ultimo-romance,pr'eu
322,ultimo-romance,não
323,ultimo-romance,me
324,ultimo-romance,preocupar
325,ultimo-romance,Ter
326,ultimo-romance,fé
327,ultimo-romance,e
328,ultimo-romance,ver
329,ultimo-romance,coragem
330,ultimo-romance,no
331,ultimo-romance,amor
332,ultimo-romance,A
333,ultimo-romance,minha
334,ultimo-romance,"TV,"
335,ultimo-romance,num
336,ultimo-romance,jeito
337,ultimo-romance,de
338,ultimo-romance,te
339,ultimo-romance,levar
340,ultimo-romance,A
341,ultimo-romance,qualquer
342,ultimo-romance,lugar
343,ultimo-romance,que
344,ultimo-romance,você
345,ultimo-romance,queira
346,ultimo-romance,E
347,ultimo-romance,ir
