,Musicas,Palavras
0,anjos,"Lord,"
1,anjos,"Lord,"
2,anjos,"Lord,"
3,anjos,"Lord,"
4,anjos,"Lord,"
5,anjos,Lord
6,anjos,Ô
7,anjos,"Lord,"
8,anjos,ô
9,anjos,"Lord,"
10,anjos,ô
11,anjos,"Lord,"
12,anjos,ô
13,anjos,"Lord,"
14,anjos,ô
15,anjos,Lord
16,anjos,"Lord,"
17,anjos,"Lord,"
18,anjos,"Lord,"
19,anjos,"Lord,"
20,anjos,Lord
21,anjos,Eu
22,anjos,vou
23,anjos,pedir
24,anjos,pros
25,anjos,anjos
26,anjos,cantarem
27,anjos,por
28,anjos,mim
29,anjos,Pra
30,anjos,quem
31,anjos,tem
32,anjos,fé
33,anjos,A
34,anjos,vida
35,anjos,nunca
36,anjos,tem
37,anjos,fim
38,anjos,Não
39,anjos,tem
40,anjos,fim
41,anjos,É
42,anjos,Resolveu
43,anjos,"seguir,"
44,anjos,ir
45,anjos,"atrás,"
46,anjos,cara
47,anjos,e
48,anjos,coragem
49,anjos,Só
50,anjos,que
51,anjos,você
52,anjos,sai
53,anjos,em
54,anjos,desvantagem
55,anjos,se
56,anjos,você
57,anjos,não
58,anjos,tem
59,anjos,fé
60,anjos,Se
61,anjos,você
62,anjos,não
63,anjos,tem
64,anjos,fé
65,anjos,Pra
66,anjos,te
67,anjos,provar
68,anjos,e
69,anjos,mostrar
70,anjos,que
71,anjos,a
72,anjos,vida
73,anjos,é
74,anjos,linda
75,anjos,"Dura,"
76,anjos,"sofrida,"
77,anjos,carente
78,anjos,em
79,anjos,qualquer
80,anjos,continente
81,anjos,Mas
82,anjos,boa
83,anjos,de
84,anjos,se
85,anjos,viver
86,anjos,em
87,anjos,qualquer
88,anjos,lugar
89,anjos,É
90,anjos,Um
91,anjos,"vinho,"
92,anjos,um
93,anjos,pão
94,anjos,e
95,anjos,uma
96,anjos,reza
97,anjos,Uma
98,anjos,lua
99,anjos,e
100,anjos,um
101,anjos,"sol,"
102,anjos,sua
103,anjos,"vida,"
104,anjos,portas
105,anjos,abertas
106,anjos,Eu
107,anjos,vou
108,anjos,pedir
109,anjos,pros
110,anjos,anjos
111,anjos,cantarem
112,anjos,por
113,anjos,mim
114,anjos,Pra
115,anjos,quem
116,anjos,tem
117,anjos,fé
118,anjos,A
119,anjos,vida
120,anjos,nunca
121,anjos,tem
122,anjos,fim
123,anjos,Não
124,anjos,tem
125,anjos,fim
126,anjos,Eu
127,anjos,vou
128,anjos,pedir
129,anjos,pros
130,anjos,anjos
131,anjos,cantarem
132,anjos,por
133,anjos,mim
134,anjos,Pra
135,anjos,quem
136,anjos,tem
137,anjos,fé
138,anjos,A
139,anjos,vida
140,anjos,nunca
141,anjos,tem
142,anjos,fim
143,anjos,"Lord,"
144,anjos,"Lord,"
145,anjos,"Lord,"
146,anjos,Lord...
147,anjos,"Lord,"
148,anjos,Lord
149,anjos,Ô
150,anjos,"Lord,"
151,anjos,ô
152,anjos,"Lord,"
153,anjos,ô
154,anjos,"Lord,"
155,anjos,ô
156,anjos,"Lord,"
157,anjos,ô
158,anjos,Lord
