,Musicas,Palavras
0,eu-te-devoro,Mas
1,eu-te-devoro,por
2,eu-te-devoro,dentro
3,eu-te-devoro,eu
4,eu-te-devoro,te
5,eu-te-devoro,devoro
6,eu-te-devoro,Teu
7,eu-te-devoro,olhar
8,eu-te-devoro,não
9,eu-te-devoro,me
10,eu-te-devoro,diz
11,eu-te-devoro,exato
12,eu-te-devoro,quem
13,eu-te-devoro,tu
14,eu-te-devoro,és
15,eu-te-devoro,Mesmo
16,eu-te-devoro,assim
17,eu-te-devoro,eu
18,eu-te-devoro,te
19,eu-te-devoro,devoro
20,eu-te-devoro,Porque
21,eu-te-devoro,te
22,eu-te-devoro,ignoro
23,eu-te-devoro,ou
24,eu-te-devoro,te
25,eu-te-devoro,conheço
26,eu-te-devoro,Quando
27,eu-te-devoro,chove
28,eu-te-devoro,ou
29,eu-te-devoro,quando
30,eu-te-devoro,faz
31,eu-te-devoro,frio
32,eu-te-devoro,Noutro
33,eu-te-devoro,"plano,"
34,eu-te-devoro,te
35,eu-te-devoro,devoraria
36,eu-te-devoro,tal
37,eu-te-devoro,Caetano
38,eu-te-devoro,A
39,eu-te-devoro,Leonardo
40,eu-te-devoro,DiCaprio
41,eu-te-devoro,Tudo
42,eu-te-devoro,que
43,eu-te-devoro,Deus
44,eu-te-devoro,criou
45,eu-te-devoro,pensando
46,eu-te-devoro,em
47,eu-te-devoro,você
48,eu-te-devoro,Fez
49,eu-te-devoro,a
50,eu-te-devoro,"Via-Láctea,"
51,eu-te-devoro,fez
52,eu-te-devoro,os
53,eu-te-devoro,dinossauros
54,eu-te-devoro,Sem
55,eu-te-devoro,pensar
56,eu-te-devoro,em
57,eu-te-devoro,"nada,"
58,eu-te-devoro,fez
59,eu-te-devoro,a
60,eu-te-devoro,minha
61,eu-te-devoro,vida
62,eu-te-devoro,E
63,eu-te-devoro,te
64,eu-te-devoro,deu
65,eu-te-devoro,Sem
66,eu-te-devoro,saber
67,eu-te-devoro,de
68,eu-te-devoro,"ti,"
69,eu-te-devoro,jogado
70,eu-te-devoro,à
71,eu-te-devoro,solidão
72,eu-te-devoro,Mas
73,eu-te-devoro,se
74,eu-te-devoro,quer
75,eu-te-devoro,saber
76,eu-te-devoro,se
77,eu-te-devoro,eu
78,eu-te-devoro,quero
