,Musicas,Palavras
0,cafe-e-amor,A
1,cafe-e-amor,ficar
2,cafe-e-amor,aqui
3,cafe-e-amor,Tá
4,cafe-e-amor,ruim
5,cafe-e-amor,pra
6,cafe-e-amor,você
7,cafe-e-amor,E
8,cafe-e-amor,não
9,cafe-e-amor,tá
10,cafe-e-amor,bom
11,cafe-e-amor,pra
12,cafe-e-amor,mim
13,cafe-e-amor,Que
14,cafe-e-amor,quando
15,cafe-e-amor,cê
16,cafe-e-amor,sorri
17,cafe-e-amor,o
18,cafe-e-amor,motivo
19,cafe-e-amor,não
20,cafe-e-amor,é
21,cafe-e-amor,mais
22,cafe-e-amor,eu?
23,cafe-e-amor,Que
24,cafe-e-amor,quando
25,cafe-e-amor,eu
26,cafe-e-amor,tô
27,cafe-e-amor,"feliz,"
28,cafe-e-amor,é
29,cafe-e-amor,porque
30,cafe-e-amor,o
31,cafe-e-amor,meu
32,cafe-e-amor,time
33,cafe-e-amor,venceu?
34,cafe-e-amor,Ou
35,cafe-e-amor,coisa
36,cafe-e-amor,parecida
37,cafe-e-amor,Não
38,cafe-e-amor,tem
39,cafe-e-amor,nada
40,cafe-e-amor,a
41,cafe-e-amor,ver
42,cafe-e-amor,com
43,cafe-e-amor,a
44,cafe-e-amor,nossa
45,cafe-e-amor,vida
46,cafe-e-amor,Cada
47,cafe-e-amor,um
48,cafe-e-amor,por
49,cafe-e-amor,si
50,cafe-e-amor,Um
51,cafe-e-amor,ponto
52,cafe-e-amor,final
53,cafe-e-amor,Ás
54,cafe-e-amor,vezes
55,cafe-e-amor,é
56,cafe-e-amor,o
57,cafe-e-amor,começo
58,cafe-e-amor,e
59,cafe-e-amor,não
60,cafe-e-amor,o
61,cafe-e-amor,fim
62,cafe-e-amor,Não
63,cafe-e-amor,tem
64,cafe-e-amor,mais
65,cafe-e-amor,arrepio
66,cafe-e-amor,Café
67,cafe-e-amor,e
68,cafe-e-amor,amor
69,cafe-e-amor,São
70,cafe-e-amor,duas
71,cafe-e-amor,coisas
72,cafe-e-amor,que
73,cafe-e-amor,não
74,cafe-e-amor,servem
75,cafe-e-amor,frio
76,cafe-e-amor,Cada
77,cafe-e-amor,um
78,cafe-e-amor,por
79,cafe-e-amor,si
80,cafe-e-amor,Um
81,cafe-e-amor,ponto
82,cafe-e-amor,final
83,cafe-e-amor,Ás
84,cafe-e-amor,vezes
85,cafe-e-amor,é
86,cafe-e-amor,o
87,cafe-e-amor,começo
88,cafe-e-amor,e
89,cafe-e-amor,não
90,cafe-e-amor,o
91,cafe-e-amor,fim
92,cafe-e-amor,Não
93,cafe-e-amor,tem
94,cafe-e-amor,mais
95,cafe-e-amor,arrepio
96,cafe-e-amor,Café
97,cafe-e-amor,e
98,cafe-e-amor,amor
99,cafe-e-amor,São
100,cafe-e-amor,duas
101,cafe-e-amor,coisas
102,cafe-e-amor,que
103,cafe-e-amor,não
104,cafe-e-amor,servem
105,cafe-e-amor,frio
106,cafe-e-amor,Que
107,cafe-e-amor,quando
108,cafe-e-amor,cê
109,cafe-e-amor,sorri
110,cafe-e-amor,o
111,cafe-e-amor,motivo
112,cafe-e-amor,não
113,cafe-e-amor,é
114,cafe-e-amor,mais
115,cafe-e-amor,eu?
116,cafe-e-amor,Que
117,cafe-e-amor,quando
118,cafe-e-amor,eu
119,cafe-e-amor,tô
120,cafe-e-amor,"feliz,"
121,cafe-e-amor,é
122,cafe-e-amor,porque
123,cafe-e-amor,o
124,cafe-e-amor,meu
125,cafe-e-amor,time
126,cafe-e-amor,venceu?
127,cafe-e-amor,Ou
128,cafe-e-amor,coisa
129,cafe-e-amor,parecida
130,cafe-e-amor,Não
131,cafe-e-amor,tem
132,cafe-e-amor,nada
133,cafe-e-amor,a
134,cafe-e-amor,ver
135,cafe-e-amor,com
136,cafe-e-amor,a
137,cafe-e-amor,nossa
138,cafe-e-amor,vida
139,cafe-e-amor,Cada
140,cafe-e-amor,um
141,cafe-e-amor,por
142,cafe-e-amor,si
143,cafe-e-amor,Um
144,cafe-e-amor,ponto
145,cafe-e-amor,final
146,cafe-e-amor,Ás
147,cafe-e-amor,vezes
148,cafe-e-amor,é
149,cafe-e-amor,o
150,cafe-e-amor,começo
151,cafe-e-amor,e
152,cafe-e-amor,não
153,cafe-e-amor,o
154,cafe-e-amor,fim
155,cafe-e-amor,Não
156,cafe-e-amor,tem
157,cafe-e-amor,mais
158,cafe-e-amor,arrepio
159,cafe-e-amor,Café
160,cafe-e-amor,e
161,cafe-e-amor,amor
162,cafe-e-amor,São
163,cafe-e-amor,duas
164,cafe-e-amor,coisas
165,cafe-e-amor,que
166,cafe-e-amor,não
167,cafe-e-amor,servem
168,cafe-e-amor,frio
169,cafe-e-amor,Cada
170,cafe-e-amor,um
171,cafe-e-amor,por
172,cafe-e-amor,si
173,cafe-e-amor,Um
174,cafe-e-amor,ponto
175,cafe-e-amor,final
176,cafe-e-amor,Ás
177,cafe-e-amor,vezes
178,cafe-e-amor,é
179,cafe-e-amor,o
180,cafe-e-amor,começo
181,cafe-e-amor,e
182,cafe-e-amor,não
183,cafe-e-amor,o
184,cafe-e-amor,fim
185,cafe-e-amor,Não
186,cafe-e-amor,tem
187,cafe-e-amor,mais
188,cafe-e-amor,arrepio
189,cafe-e-amor,Café
190,cafe-e-amor,e
