,Musicas,Palavras
0,boate-azul,Com
1,boate-azul,a
2,boate-azul,flor
3,boate-azul,da
4,boate-azul,noite
5,boate-azul,em
6,boate-azul,uma
7,boate-azul,boate
8,boate-azul,aqui
9,boate-azul,na
10,boate-azul,zona
11,boate-azul,sul
12,boate-azul,A
13,boate-azul,dor
14,boate-azul,do
15,boate-azul,amor
16,boate-azul,é
17,boate-azul,com
18,boate-azul,outro
19,boate-azul,amor
20,boate-azul,que
21,boate-azul,a
22,boate-azul,gente
23,boate-azul,cura
24,boate-azul,Vim
25,boate-azul,curar
26,boate-azul,a
27,boate-azul,dor
28,boate-azul,desse
29,boate-azul,mal
30,boate-azul,de
31,boate-azul,amor
32,boate-azul,na
33,boate-azul,boate
34,boate-azul,azul
35,boate-azul,Os
36,boate-azul,integrantes
37,boate-azul,da
38,boate-azul,vida
39,boate-azul,noturna
40,boate-azul,se
41,boate-azul,foram
42,boate-azul,dormir
43,boate-azul,E
44,boate-azul,a
45,boate-azul,dama
46,boate-azul,da
47,boate-azul,noite
48,boate-azul,que
49,boate-azul,estava
50,boate-azul,comigo
51,boate-azul,também
52,boate-azul,foi
53,boate-azul,embora
54,boate-azul,Fecharam-se
55,boate-azul,as
56,boate-azul,"portas,"
57,boate-azul,sozinho
58,boate-azul,de
59,boate-azul,novo
60,boate-azul,tive
61,boate-azul,que
62,boate-azul,sair
63,boate-azul,Muito
64,boate-azul,vagamente
65,boate-azul,me
66,boate-azul,lembro
67,boate-azul,que
68,boate-azul,estou
69,boate-azul,Em
70,boate-azul,uma
71,boate-azul,boate
72,boate-azul,aqui
73,boate-azul,na
74,boate-azul,zona
75,boate-azul,sul
76,boate-azul,Eu
77,boate-azul,bebi
78,boate-azul,demais
79,boate-azul,e
80,boate-azul,não
81,boate-azul,consigo
82,boate-azul,me
83,boate-azul,lembrar
84,boate-azul,sequer
85,boate-azul,Qual
86,boate-azul,era
87,boate-azul,o
88,boate-azul,nome
89,boate-azul,daquela
90,boate-azul,mulher
91,boate-azul,A
92,boate-azul,flor
93,boate-azul,da
94,boate-azul,noite
95,boate-azul,na
96,boate-azul,boate
97,boate-azul,azul
98,boate-azul,None
366,vida-vazia,A
367,vida-vazia,solidão
368,vida-vazia,"entrou,"
369,vida-vazia,trancou
370,vida-vazia,a
371,vida-vazia,porta
372,vida-vazia,E
373,vida-vazia,não
374,vida-vazia,me
375,vida-vazia,deixa
376,vida-vazia,mais
377,vida-vazia,Eu
378,vida-vazia,já
379,vida-vazia,tentei
380,vida-vazia,sair
381,vida-vazia,Tentei
382,vida-vazia,"fugir,"
383,vida-vazia,não
384,vida-vazia,consegui
385,vida-vazia,Eu
386,vida-vazia,já
387,vida-vazia,não
388,vida-vazia,tenho
389,vida-vazia,paz
390,vida-vazia,Não
391,vida-vazia,há
392,vida-vazia,nada
393,vida-vazia,que
394,vida-vazia,desfaça
395,vida-vazia,Essa
396,vida-vazia,tristeza
397,vida-vazia,em
398,vida-vazia,meu
399,vida-vazia,olhar
400,vida-vazia,O
401,vida-vazia,que
402,vida-vazia,é
403,vida-vazia,que
404,vida-vazia,eu
405,vida-vazia,vou
406,vida-vazia,fazer
407,vida-vazia,pra
408,vida-vazia,não
409,vida-vazia,sofrer?
410,vida-vazia,O
411,vida-vazia,que
412,vida-vazia,é
413,vida-vazia,que
414,vida-vazia,eu
415,vida-vazia,faço
416,vida-vazia,pra
417,vida-vazia,você
418,vida-vazia,voltar
419,vida-vazia,Pra
420,vida-vazia,minha
421,vida-vazia,vida?
422,vida-vazia,Dia
423,vida-vazia,"nublado,"
424,vida-vazia,vento
425,vida-vazia,gelado
426,vida-vazia,Noite
427,vida-vazia,sem
428,vida-vazia,lua
429,vida-vazia,Vida
430,vida-vazia,vazia
431,vida-vazia,de
432,vida-vazia,sentimento
433,vida-vazia,Noite
434,vida-vazia,sem
435,vida-vazia,"sono,"
436,vida-vazia,no
437,vida-vazia,abandono
438,vida-vazia,Eu
439,vida-vazia,não
440,vida-vazia,aguento
441,vida-vazia,Não
442,vida-vazia,há
443,vida-vazia,nada
444,vida-vazia,que
445,vida-vazia,disfarça
446,vida-vazia,Essa
447,vida-vazia,tristeza
448,vida-vazia,em
449,vida-vazia,meu
450,vida-vazia,olhar
451,vida-vazia,O
452,vida-vazia,que
453,vida-vazia,é
454,vida-vazia,que
455,vida-vazia,eu
456,vida-vazia,vou
457,vida-vazia,fazer
458,vida-vazia,pra
459,vida-vazia,não
460,vida-vazia,sofrer?
461,vida-vazia,O
462,vida-vazia,que
463,vida-vazia,é
464,vida-vazia,que
465,vida-vazia,eu
466,vida-vazia,faço
467,vida-vazia,pra
468,vida-vazia,você
469,vida-vazia,voltar
470,vida-vazia,Pra
471,vida-vazia,minha
472,vida-vazia,vida?
473,vida-vazia,Dia
474,vida-vazia,"nublado,"
475,vida-vazia,vento
476,vida-vazia,gelado
477,vida-vazia,Noite
478,vida-vazia,sem
479,vida-vazia,lua
480,vida-vazia,Vida
481,vida-vazia,vazia
482,vida-vazia,de
483,vida-vazia,sentimento
484,vida-vazia,Noite
485,vida-vazia,sem
486,vida-vazia,"sono,"
487,vida-vazia,no
488,vida-vazia,abandono
489,vida-vazia,Eu
490,vida-vazia,não
491,vida-vazia,aguento
492,vida-vazia,Dia
493,vida-vazia,"nublado,"
494,vida-vazia,vento
495,vida-vazia,gelado
496,vida-vazia,Noite
497,vida-vazia,sem
498,vida-vazia,lua
499,vida-vazia,Vida
500,vida-vazia,vazia
501,vida-vazia,de
502,vida-vazia,sentimento
503,vida-vazia,Noite
