,Musicas,Palavras
0,o-meu-lugar,É
1,o-meu-lugar,caminho
2,o-meu-lugar,de
3,o-meu-lugar,Ogum
4,o-meu-lugar,e
5,o-meu-lugar,Iansã
6,o-meu-lugar,Lá
7,o-meu-lugar,tem
8,o-meu-lugar,samba
9,o-meu-lugar,até
10,o-meu-lugar,de
11,o-meu-lugar,manhã
12,o-meu-lugar,Uma
13,o-meu-lugar,ginga
14,o-meu-lugar,em
15,o-meu-lugar,cada
16,o-meu-lugar,andar
17,o-meu-lugar,É
18,o-meu-lugar,cercado
19,o-meu-lugar,de
20,o-meu-lugar,luta
21,o-meu-lugar,e
22,o-meu-lugar,suor
23,o-meu-lugar,Esperança
24,o-meu-lugar,num
25,o-meu-lugar,mundo
26,o-meu-lugar,melhor
27,o-meu-lugar,E
28,o-meu-lugar,cerveja
29,o-meu-lugar,pra
30,o-meu-lugar,comemorar
31,o-meu-lugar,Tem
32,o-meu-lugar,seus
33,o-meu-lugar,mitos
34,o-meu-lugar,e
35,o-meu-lugar,Seres
36,o-meu-lugar,de
37,o-meu-lugar,Luz
38,o-meu-lugar,É
39,o-meu-lugar,bem
40,o-meu-lugar,perto
41,o-meu-lugar,de
42,o-meu-lugar,Osvaldo
43,o-meu-lugar,Cruz
44,o-meu-lugar,"Cascadura,"
45,o-meu-lugar,Vaz
46,o-meu-lugar,Lobo
47,o-meu-lugar,e
48,o-meu-lugar,Irajá
49,o-meu-lugar,É
50,o-meu-lugar,"sorriso,"
51,o-meu-lugar,é
52,o-meu-lugar,paz
53,o-meu-lugar,e
54,o-meu-lugar,prazer
55,o-meu-lugar,O
56,o-meu-lugar,seu
57,o-meu-lugar,nome
58,o-meu-lugar,é
59,o-meu-lugar,doce
60,o-meu-lugar,dizer
61,o-meu-lugar,"Madureira,"
62,o-meu-lugar,iá
63,o-meu-lugar,laiá
64,o-meu-lugar,"Madureira,"
65,o-meu-lugar,iá
66,o-meu-lugar,laiá
67,o-meu-lugar,É
68,o-meu-lugar,caminho
69,o-meu-lugar,de
70,o-meu-lugar,Ogum
71,o-meu-lugar,e
72,o-meu-lugar,Iansã
73,o-meu-lugar,Lá
74,o-meu-lugar,tem
75,o-meu-lugar,samba
76,o-meu-lugar,até
77,o-meu-lugar,de
78,o-meu-lugar,manhã
79,o-meu-lugar,Uma
80,o-meu-lugar,ginga
81,o-meu-lugar,em
82,o-meu-lugar,cada
83,o-meu-lugar,andar
84,o-meu-lugar,É
85,o-meu-lugar,cercado
86,o-meu-lugar,de
87,o-meu-lugar,luta
88,o-meu-lugar,e
89,o-meu-lugar,suor
90,o-meu-lugar,Esperança
91,o-meu-lugar,num
92,o-meu-lugar,mundo
93,o-meu-lugar,melhor
94,o-meu-lugar,E
95,o-meu-lugar,cerveja
96,o-meu-lugar,pra
97,o-meu-lugar,comemorar
98,o-meu-lugar,Tem
99,o-meu-lugar,seus
100,o-meu-lugar,mitos
101,o-meu-lugar,e
102,o-meu-lugar,Seres
103,o-meu-lugar,de
104,o-meu-lugar,Luz
105,o-meu-lugar,É
106,o-meu-lugar,bem
107,o-meu-lugar,perto
108,o-meu-lugar,de
109,o-meu-lugar,Osvaldo
110,o-meu-lugar,Cruz
111,o-meu-lugar,"Cascadura,"
112,o-meu-lugar,Vaz
113,o-meu-lugar,Lobo
114,o-meu-lugar,e
115,o-meu-lugar,Irajá
116,o-meu-lugar,É
117,o-meu-lugar,"sorriso,"
