,Musicas,Palavras
0,joao-maria,E
1,joao-maria,o
2,joao-maria,meu
3,joao-maria,cavalo
4,joao-maria,só
5,joao-maria,falava
6,joao-maria,inglês
7,joao-maria,A
8,joao-maria,noiva
9,joao-maria,do
10,joao-maria,cowboy
11,joao-maria,Era
12,joao-maria,você
13,joao-maria,além
14,joao-maria,das
15,joao-maria,outras
16,joao-maria,três
17,joao-maria,Eu
18,joao-maria,enfrentava
19,joao-maria,os
20,joao-maria,batalhões
21,joao-maria,Os
22,joao-maria,alemães
23,joao-maria,e
24,joao-maria,seus
25,joao-maria,canhões
26,joao-maria,Guardava
27,joao-maria,o
28,joao-maria,meu
29,joao-maria,bodoque
30,joao-maria,E
31,joao-maria,ensaiava
32,joao-maria,o
33,joao-maria,rock
34,joao-maria,para
35,joao-maria,as
36,joao-maria,matinês
37,joao-maria,Era
38,joao-maria,o
39,joao-maria,bedel
40,joao-maria,e
41,joao-maria,era
42,joao-maria,também
43,joao-maria,juiz
44,joao-maria,E
45,joao-maria,pela
46,joao-maria,minha
47,joao-maria,lei
48,joao-maria,A
49,joao-maria,gente
50,joao-maria,era
51,joao-maria,obrigado
52,joao-maria,a
53,joao-maria,ser
54,joao-maria,feliz
55,joao-maria,E
56,joao-maria,você
57,joao-maria,era
58,joao-maria,a
59,joao-maria,princesa
60,joao-maria,que
61,joao-maria,eu
62,joao-maria,fiz
63,joao-maria,coroar
64,joao-maria,E
65,joao-maria,era
66,joao-maria,tão
67,joao-maria,linda
68,joao-maria,de
69,joao-maria,se
70,joao-maria,admirar
71,joao-maria,Que
72,joao-maria,andava
73,joao-maria,nua
74,joao-maria,pelo
75,joao-maria,meu
76,joao-maria,país
77,joao-maria,Finja
78,joao-maria,que
79,joao-maria,agora
80,joao-maria,eu
81,joao-maria,era
82,joao-maria,o
83,joao-maria,seu
84,joao-maria,brinquedo
85,joao-maria,Eu
86,joao-maria,era
87,joao-maria,o
88,joao-maria,seu
89,joao-maria,pião
90,joao-maria,O
91,joao-maria,seu
92,joao-maria,bicho
93,joao-maria,preferido
94,joao-maria,"Sim,"
95,joao-maria,me
96,joao-maria,dê
97,joao-maria,a
98,joao-maria,"mão,"
99,joao-maria,a
100,joao-maria,gente
101,joao-maria,agora
102,joao-maria,já
103,joao-maria,não
104,joao-maria,tinha
105,joao-maria,medo
106,joao-maria,No
107,joao-maria,tempo
108,joao-maria,da
109,joao-maria,maldade
110,joao-maria,acho
111,joao-maria,que
112,joao-maria,a
113,joao-maria,gente
114,joao-maria,nem
115,joao-maria,tinha
116,joao-maria,nascido
117,joao-maria,Que
118,joao-maria,o
119,joao-maria,faz-de-conta
120,joao-maria,terminasse
121,joao-maria,assim
122,joao-maria,Pra
123,joao-maria,lá
124,joao-maria,deste
125,joao-maria,quintal
126,joao-maria,Era
127,joao-maria,uma
128,joao-maria,noite
129,joao-maria,que
130,joao-maria,não
131,joao-maria,tem
132,joao-maria,mais
133,joao-maria,fim
134,joao-maria,Pois
135,joao-maria,você
136,joao-maria,sumiu
137,joao-maria,no
138,joao-maria,mundo
139,joao-maria,sem
140,joao-maria,me
141,joao-maria,avisar
142,joao-maria,E
143,joao-maria,agora
144,joao-maria,eu
145,joao-maria,era
146,joao-maria,um
147,joao-maria,louco
148,joao-maria,a
149,joao-maria,perguntar
150,joao-maria,O
151,joao-maria,que
152,joao-maria,é
153,joao-maria,que
154,joao-maria,a
155,joao-maria,vida
156,joao-maria,vai
157,joao-maria,fazer
158,joao-maria,de
159,joao-maria,mim?
160,joao-maria,None
857,roda-viva,Como
858,roda-viva,quem
859,roda-viva,partiu
860,roda-viva,ou
861,roda-viva,morreu
862,roda-viva,A
863,roda-viva,gente
864,roda-viva,estancou
865,roda-viva,de
866,roda-viva,repente
867,roda-viva,Ou
868,roda-viva,foi
869,roda-viva,o
870,roda-viva,mundo
871,roda-viva,então
