,Musicas,Palavras
0,pequena-eva,É
1,pequena-eva,o
2,pequena-eva,fim
3,pequena-eva,da
4,pequena-eva,aventura
5,pequena-eva,humana
6,pequena-eva,na
7,pequena-eva,Terra
8,pequena-eva,Meu
9,pequena-eva,"planeta,"
10,pequena-eva,adeus
11,pequena-eva,Fugiremos
12,pequena-eva,nós
13,pequena-eva,dois
14,pequena-eva,na
15,pequena-eva,arca
16,pequena-eva,de
17,pequena-eva,Noé
18,pequena-eva,Olha
19,pequena-eva,"bem,"
20,pequena-eva,meu
21,pequena-eva,"amor,"
22,pequena-eva,é
23,pequena-eva,o
24,pequena-eva,final
25,pequena-eva,da
26,pequena-eva,odisseia
27,pequena-eva,terrestre
28,pequena-eva,Minha
29,pequena-eva,pequena
30,pequena-eva,Eva
31,pequena-eva,(Eva)
32,pequena-eva,O
33,pequena-eva,nosso
34,pequena-eva,amor
35,pequena-eva,na
36,pequena-eva,última
37,pequena-eva,astronave
38,pequena-eva,(Eva)
39,pequena-eva,Além
40,pequena-eva,do
41,pequena-eva,infinito
42,pequena-eva,eu
43,pequena-eva,vou
44,pequena-eva,voar
45,pequena-eva,Sozinho
46,pequena-eva,com
47,pequena-eva,você
48,pequena-eva,E
49,pequena-eva,voando
50,pequena-eva,bem
51,pequena-eva,alto
52,pequena-eva,(Eva)
53,pequena-eva,Me
54,pequena-eva,abraça
55,pequena-eva,pelo
56,pequena-eva,espaço
57,pequena-eva,de
58,pequena-eva,um
59,pequena-eva,instante
60,pequena-eva,(Eva)
61,pequena-eva,Me
62,pequena-eva,cobre
63,pequena-eva,com
64,pequena-eva,teu
65,pequena-eva,corpo
66,pequena-eva,e
67,pequena-eva,me
68,pequena-eva,dá
69,pequena-eva,A
70,pequena-eva,força
71,pequena-eva,pra
72,pequena-eva,viver
73,pequena-eva,É
74,pequena-eva,o
75,pequena-eva,fim
76,pequena-eva,da
77,pequena-eva,aventura
78,pequena-eva,humana
79,pequena-eva,na
80,pequena-eva,Terra
81,pequena-eva,Meu
82,pequena-eva,"planeta,"
83,pequena-eva,"adeus,"
84,pequena-eva,Fugiremos
85,pequena-eva,nós
86,pequena-eva,dois
87,pequena-eva,na
88,pequena-eva,arca
89,pequena-eva,de
90,pequena-eva,Noé
91,pequena-eva,Olha
92,pequena-eva,"bem,"
93,pequena-eva,meu
94,pequena-eva,"amor,"
95,pequena-eva,é
96,pequena-eva,o
97,pequena-eva,final
98,pequena-eva,da
99,pequena-eva,odisseia
100,pequena-eva,terrestre
101,pequena-eva,Minha
102,pequena-eva,pequena
103,pequena-eva,Eva
104,pequena-eva,(Eva)
105,pequena-eva,O
106,pequena-eva,nosso
107,pequena-eva,amor
108,pequena-eva,na
109,pequena-eva,última
110,pequena-eva,astronave
111,pequena-eva,(Eva)
112,pequena-eva,Além
113,pequena-eva,do
114,pequena-eva,infinito
115,pequena-eva,eu
116,pequena-eva,vou
117,pequena-eva,voar
118,pequena-eva,Sozinho
119,pequena-eva,com
120,pequena-eva,você
121,pequena-eva,E
122,pequena-eva,voando
123,pequena-eva,bem
124,pequena-eva,alto
125,pequena-eva,(Eva)
126,pequena-eva,Me
127,pequena-eva,abraça
128,pequena-eva,pelo
129,pequena-eva,espaço
130,pequena-eva,de
131,pequena-eva,um
132,pequena-eva,instante
133,pequena-eva,(Eva)
134,pequena-eva,Me
135,pequena-eva,cobre
136,pequena-eva,com
137,pequena-eva,teu
138,pequena-eva,corpo
139,pequena-eva,e
140,pequena-eva,me
141,pequena-eva,dá
142,pequena-eva,A
143,pequena-eva,força
144,pequena-eva,pra
145,pequena-eva,viver
146,pequena-eva,"Afinal,"
147,pequena-eva,não
148,pequena-eva,há
149,pequena-eva,nada
150,pequena-eva,mais
151,pequena-eva,que
152,pequena-eva,o
153,pequena-eva,céu
154,pequena-eva,azul
155,pequena-eva,Pra
156,pequena-eva,gente
157,pequena-eva,voar
158,pequena-eva,Sobre
159,pequena-eva,o
160,pequena-eva,"Rio,"
161,pequena-eva,Beirute
162,pequena-eva,ou
163,pequena-eva,Madagascar
164,pequena-eva,Toda
165,pequena-eva,a
166,pequena-eva,Terra
167,pequena-eva,reduzida
168,pequena-eva,a
169,pequena-eva,"nada,"
170,pequena-eva,nada
171,pequena-eva,mais
172,pequena-eva,E
173,pequena-eva,minha
174,pequena-eva,vida
175,pequena-eva,é
176,pequena-eva,um
177,pequena-eva,flash
178,pequena-eva,(flash)
179,pequena-eva,De
180,pequena-eva,"controles,"
181,pequena-eva,botões
182,pequena-eva,anti-atômicos
183,pequena-eva,É
184,pequena-eva,o
185,pequena-eva,final
186,pequena-eva,da
187,pequena-eva,odisseia
188,pequena-eva,terrestre
189,pequena-eva,Sou
190,pequena-eva,Adão
191,pequena-eva,e
192,pequena-eva,você
193,pequena-eva,será
194,pequena-eva,O
195,pequena-eva,nosso
196,pequena-eva,amor
197,pequena-eva,na
198,pequena-eva,última
199,pequena-eva,astronave
200,pequena-eva,(Eva)
201,pequena-eva,Além
202,pequena-eva,do
203,pequena-eva,infinito
204,pequena-eva,eu
205,pequena-eva,vou
206,pequena-eva,voar
207,pequena-eva,Sozinho
208,pequena-eva,com
209,pequena-eva,você
210,pequena-eva,E
211,pequena-eva,voando
212,pequena-eva,bem
213,pequena-eva,alto
214,pequena-eva,(Eva)
215,pequena-eva,Me
216,pequena-eva,abraça
217,pequena-eva,pelo
218,pequena-eva,espaço
219,pequena-eva,de
220,pequena-eva,um
221,pequena-eva,instante
222,pequena-eva,(Eva)
223,pequena-eva,Me
224,pequena-eva,cobre
225,pequena-eva,com
226,pequena-eva,teu
227,pequena-eva,corpo
228,pequena-eva,e
229,pequena-eva,me
230,pequena-eva,dá
231,pequena-eva,A
232,pequena-eva,força
233,pequena-eva,pra
234,pequena-eva,viver
235,pequena-eva,O
236,pequena-eva,nosso
237,pequena-eva,amor
238,pequena-eva,na
239,pequena-eva,ultima
240,pequena-eva,astronave
241,pequena-eva,(Eva)
242,pequena-eva,Alem
243,pequena-eva,do
244,pequena-eva,infinito
245,pequena-eva,eu
246,pequena-eva,vou
247,pequena-eva,voar
248,pequena-eva,Sozinho
249,pequena-eva,com
250,pequena-eva,você
251,pequena-eva,None
252,beleza-rara,Pois
253,beleza-rara,o
254,beleza-rara,nosso
255,beleza-rara,romance
256,beleza-rara,minha
257,beleza-rara,vida
258,beleza-rara,é
259,beleza-rara,tão
260,beleza-rara,lindo
261,beleza-rara,És
262,beleza-rara,quem
263,beleza-rara,manda
264,beleza-rara,e
265,beleza-rara,desmanda
266,beleza-rara,nesse
267,beleza-rara,coração
268,beleza-rara,que
269,beleza-rara,só
270,beleza-rara,Bate
271,beleza-rara,em
272,beleza-rara,razão
273,beleza-rara,de
274,beleza-rara,te
275,beleza-rara,amar
276,beleza-rara,Daria
277,beleza-rara,o
278,beleza-rara,mundo
279,beleza-rara,a
280,beleza-rara,você
281,beleza-rara,se
282,beleza-rara,preciso
283,beleza-rara,Me
284,beleza-rara,envolve
285,beleza-rara,em
286,beleza-rara,teu
287,beleza-rara,cheiro
288,beleza-rara,e
289,beleza-rara,assim
290,beleza-rara,faz
291,beleza-rara,ninar
292,beleza-rara,A
293,beleza-rara,imensa
294,beleza-rara,vontade
295,beleza-rara,de
296,beleza-rara,estar
297,beleza-rara,ao
298,beleza-rara,seu
299,beleza-rara,lado
300,beleza-rara,Nem
301,beleza-rara,o
302,beleza-rara,mar
303,beleza-rara,tem
304,beleza-rara,o
305,beleza-rara,brilho
306,beleza-rara,encantante
307,beleza-rara,como
308,beleza-rara,o
309,beleza-rara,dos
310,beleza-rara,teus
311,beleza-rara,olhos
312,beleza-rara,Minha
313,beleza-rara,pedra
314,beleza-rara,rara
315,beleza-rara,Eu
316,beleza-rara,não
317,beleza-rara,vou
318,beleza-rara,negar
319,beleza-rara,sem
320,beleza-rara,você
321,beleza-rara,meu
322,beleza-rara,mundo
323,beleza-rara,para
324,beleza-rara,Alguém
325,beleza-rara,que
326,beleza-rara,levasse
327,beleza-rara,a
328,beleza-rara,sério
329,beleza-rara,amar
330,beleza-rara,Mil
331,beleza-rara,voltas
332,beleza-rara,e
333,beleza-rara,voltas
334,beleza-rara,que
335,beleza-rara,"dei,"
336,beleza-rara,querendo
337,beleza-rara,de
338,beleza-rara,uma
339,beleza-rara,vez
340,beleza-rara,encontrar
341,beleza-rara,Um
342,beleza-rara,alguém
343,beleza-rara,igual
344,beleza-rara,a
345,beleza-rara,você
346,beleza-rara,beleza
347,beleza-rara,rara
348,beleza-rara,Só
349,beleza-rara,por
350,beleza-rara,causa
351,beleza-rara,de
352,beleza-rara,você
353,beleza-rara,Hoje
354,beleza-rara,sou
355,beleza-rara,"feliz,"
356,beleza-rara,feliz
357,beleza-rara,e
358,beleza-rara,canto
359,beleza-rara,Só
360,beleza-rara,porque
361,beleza-rara,"amo,"
362,beleza-rara,"amor,"
363,beleza-rara,você
364,beleza-rara,None
756,me-abraca,Eu
757,me-abraca,sinto
758,me-abraca,o
759,me-abraca,seu
760,me-abraca,cheiro
761,me-abraca,Aguça
762,me-abraca,meu
763,me-abraca,faro
764,me-abraca,E
765,me-abraca,disparo
766,me-abraca,em
767,me-abraca,sua
768,me-abraca,"caça,"
769,me-abraca,"iá,"
770,me-abraca,iá
771,me-abraca,O
772,me-abraca,tempo
773,me-abraca,inteiro
774,me-abraca,a
775,me-abraca,te
776,me-abraca,admirar
777,me-abraca,Perco
778,me-abraca,o
779,me-abraca,"tino,"
780,me-abraca,paro
781,me-abraca,de
782,me-abraca,pensar
783,me-abraca,Seguindo
784,me-abraca,os
785,me-abraca,seus
786,me-abraca,passos
787,me-abraca,Aonde
788,me-abraca,quer
789,me-abraca,que
790,me-abraca,vá
791,me-abraca,Eu
792,me-abraca,sinto
793,me-abraca,o
794,me-abraca,seu
795,me-abraca,cheiro
796,me-abraca,Aguça
797,me-abraca,meu
798,me-abraca,faro
799,me-abraca,E
800,me-abraca,disparo
801,me-abraca,em
802,me-abraca,sua
803,me-abraca,"caça,"
804,me-abraca,"iá,"
805,me-abraca,iá
806,me-abraca,O
807,me-abraca,tempo
808,me-abraca,inteiro
809,me-abraca,a
810,me-abraca,te
811,me-abraca,admirar
812,me-abraca,Perco
813,me-abraca,o
814,me-abraca,"tino,"
815,me-abraca,páro
816,me-abraca,de
817,me-abraca,pensar
818,me-abraca,Seguindo
819,me-abraca,os
820,me-abraca,seus
821,me-abraca,passos
822,me-abraca,Aonde
823,me-abraca,quer
824,me-abraca,que
825,me-abraca,vá
826,me-abraca,Me
827,me-abraca,chama
828,me-abraca,de
829,me-abraca,meu
830,me-abraca,amor
831,me-abraca,Me
832,me-abraca,abraça
833,me-abraca,e
834,me-abraca,deseja
835,me-abraca,Vem
836,me-abraca,mostrar
837,me-abraca,pra
838,me-abraca,mim
839,me-abraca,O
840,me-abraca,seu
841,me-abraca,calor
842,me-abraca,Me
843,me-abraca,chama
844,me-abraca,de
845,me-abraca,meu
846,me-abraca,amor
847,me-abraca,Me
848,me-abraca,abraça
849,me-abraca,e
850,me-abraca,deseja
851,me-abraca,Vem
852,me-abraca,mostrar
853,me-abraca,pra
854,me-abraca,mim
855,me-abraca,O
856,me-abraca,seu
857,me-abraca,calor
858,me-abraca,Um
859,me-abraca,laço
860,me-abraca,perfeito
861,me-abraca,Me
862,me-abraca,dá
863,me-abraca,essa
864,me-abraca,"chance,"
865,me-abraca,meu
866,me-abraca,bem
867,me-abraca,Me
868,me-abraca,veste
869,me-abraca,de
870,me-abraca,beijos
871,me-abraca,Me
872,me-abraca,dá
873,me-abraca,essa
874,me-abraca,chance
875,me-abraca,Me
876,me-abraca,chama
877,me-abraca,de
878,me-abraca,meu
879,me-abraca,amor
880,me-abraca,Me
881,me-abraca,abraça
882,me-abraca,e
883,me-abraca,deseja
884,me-abraca,Vem
885,me-abraca,mostrar
886,me-abraca,pra
887,me-abraca,mim
888,me-abraca,O
889,me-abraca,seu
890,me-abraca,calor
891,me-abraca,Me
892,me-abraca,chama
893,me-abraca,de
894,me-abraca,meu
895,me-abraca,amor
896,me-abraca,Me
897,me-abraca,abraça
898,me-abraca,e
899,me-abraca,deseja
900,me-abraca,Vem
901,me-abraca,mostrar
902,me-abraca,pra
903,me-abraca,mim
904,me-abraca,O
905,me-abraca,seu
906,me-abraca,calor
907,me-abraca,Me
908,me-abraca,chama
909,me-abraca,de
910,me-abraca,meu
911,me-abraca,amor
912,me-abraca,Me
913,me-abraca,abraça
914,me-abraca,e
915,me-abraca,deseja
916,me-abraca,Vem
917,me-abraca,mostrar
918,me-abraca,pra
919,me-abraca,mim
920,me-abraca,O
921,me-abraca,seu
922,me-abraca,calor
923,me-abraca,Calor
924,me-abraca,None
1008,tao-sonhada,Esperando
1009,tao-sonhada,sua
1010,tao-sonhada,chegada
1011,tao-sonhada,tão
1012,tao-sonhada,sonhada
1013,tao-sonhada,Vesti
1014,tao-sonhada,o
1015,tao-sonhada,melhor
1016,tao-sonhada,sorriso
1017,tao-sonhada,Espalhei
1018,tao-sonhada,pelo
1019,tao-sonhada,chão
1020,tao-sonhada,O
1021,tao-sonhada,perfume
1022,tao-sonhada,da
1023,tao-sonhada,rosa
1024,tao-sonhada,mais
1025,tao-sonhada,enfeitada
1026,tao-sonhada,Pra
1027,tao-sonhada,te
1028,tao-sonhada,colorir
1029,tao-sonhada,e
1030,tao-sonhada,te
1031,tao-sonhada,cobrir
1032,tao-sonhada,de
1033,tao-sonhada,bem
1034,tao-sonhada,querer!
1035,tao-sonhada,Esperando
1036,tao-sonhada,sua
1037,tao-sonhada,chegada
1038,tao-sonhada,tão
1039,tao-sonhada,sonhada
1040,tao-sonhada,Vesti
1041,tao-sonhada,o
1042,tao-sonhada,melhor
1043,tao-sonhada,sorriso
1044,tao-sonhada,Espalhei
1045,tao-sonhada,pelo
1046,tao-sonhada,chão
1047,tao-sonhada,O
1048,tao-sonhada,perfume
1049,tao-sonhada,da
1050,tao-sonhada,rosa
1051,tao-sonhada,mais
1052,tao-sonhada,enfeitada
1053,tao-sonhada,Pra
1054,tao-sonhada,te
1055,tao-sonhada,colorir
1056,tao-sonhada,e
1057,tao-sonhada,te
1058,tao-sonhada,cobrir
1059,tao-sonhada,de
1060,tao-sonhada,bem
