,Musicas,Palavras
0,folha-seca,Trazia
1,folha-seca,no
2,folha-seca,rosto
3,folha-seca,as
4,folha-seca,marcas
5,folha-seca,que
6,folha-seca,o
7,folha-seca,Sol
8,folha-seca,queimou
9,folha-seca,Disse
10,folha-seca,que
11,folha-seca,estava
12,folha-seca,cansada
13,folha-seca,sem
14,folha-seca,lugar
15,folha-seca,para
16,folha-seca,ficar
17,folha-seca,Tive
18,folha-seca,pena
19,folha-seca,do
20,folha-seca,seu
21,folha-seca,pranto
22,folha-seca,e
23,folha-seca,disse
24,folha-seca,pode
25,folha-seca,entrar
26,folha-seca,Seu
27,folha-seca,passado
28,folha-seca,de
29,folha-seca,aventuras
30,folha-seca,Onde
31,folha-seca,ela
32,folha-seca,passou
33,folha-seca,E
34,folha-seca,eu
35,folha-seca,sem
36,folha-seca,nem
37,folha-seca,um
38,folha-seca,preconceito
39,folha-seca,Com
40,folha-seca,amor
41,folha-seca,lhe
42,folha-seca,"aceitei,"
43,folha-seca,um
44,folha-seca,mês
45,folha-seca,e
46,folha-seca,pouco
47,folha-seca,mais
48,folha-seca,tarde
49,folha-seca,Com
50,folha-seca,ela
51,folha-seca,me
52,folha-seca,casei
53,folha-seca,Vou
54,folha-seca,me
55,folha-seca,embora
56,folha-seca,desta
57,folha-seca,casa
58,folha-seca,e
59,folha-seca,do
60,folha-seca,seu
61,folha-seca,amor
62,folha-seca,Pra
63,folha-seca,dizer
64,folha-seca,mesmo
65,folha-seca,a
66,folha-seca,verdade
67,folha-seca,eu
68,folha-seca,nunca
69,folha-seca,te
70,folha-seca,amei
71,folha-seca,Por
72,folha-seca,teu
73,folha-seca,pão
74,folha-seca,e
75,folha-seca,tua
76,folha-seca,casa
77,folha-seca,foi
78,folha-seca,que
79,folha-seca,eu
80,folha-seca,fiquei
81,folha-seca,Na
82,folha-seca,curva
83,folha-seca,daquela
84,folha-seca,estrada
85,folha-seca,ela
86,folha-seca,então
87,folha-seca,sumiu
88,folha-seca,Ela
89,folha-seca,como
90,folha-seca,folha
91,folha-seca,seca
92,folha-seca,que
93,folha-seca,vai
94,folha-seca,onde
95,folha-seca,o
96,folha-seca,vento
97,folha-seca,quer
98,folha-seca,Me
99,folha-seca,enganei
100,folha-seca,quando
101,folha-seca,dizia
102,folha-seca,tenho
103,folha-seca,uma
104,folha-seca,mulher
105,folha-seca,Era
106,folha-seca,uma
107,folha-seca,tarde
108,folha-seca,tão
109,folha-seca,triste
110,folha-seca,quando
111,folha-seca,ela
112,folha-seca,partiu
113,folha-seca,None
291,meu-ex-amor,Amor
292,meu-ex-amor,tão
293,meu-ex-amor,bonito
294,meu-ex-amor,Daqueles
295,meu-ex-amor,que
296,meu-ex-amor,matam
297,meu-ex-amor,Com
298,meu-ex-amor,sabor
299,meu-ex-amor,de
300,meu-ex-amor,saudade
301,meu-ex-amor,Meu
302,meu-ex-amor,ex-amor
303,meu-ex-amor,Tem
304,meu-ex-amor,coisas
305,meu-ex-amor,que
306,meu-ex-amor,a
307,meu-ex-amor,gente
308,meu-ex-amor,não
309,meu-ex-amor,esquece
310,meu-ex-amor,Mas
311,meu-ex-amor,você
312,meu-ex-amor,não
313,meu-ex-amor,merece
314,meu-ex-amor,Tanta
315,meu-ex-amor,dor
316,meu-ex-amor,Foi
317,meu-ex-amor,bonito
318,meu-ex-amor,demais
319,meu-ex-amor,Mas
320,meu-ex-amor,eu
321,meu-ex-amor,estou
322,meu-ex-amor,sozinho
323,meu-ex-amor,Foi
324,meu-ex-amor,rico
325,meu-ex-amor,de
326,meu-ex-amor,amor
327,meu-ex-amor,E
328,meu-ex-amor,hoje
329,meu-ex-amor,estou
330,meu-ex-amor,tão
331,meu-ex-amor,só
332,meu-ex-amor,Amor
333,meu-ex-amor,tão
334,meu-ex-amor,bonito
335,meu-ex-amor,Daqueles
336,meu-ex-amor,que
337,meu-ex-amor,matam
338,meu-ex-amor,Com
339,meu-ex-amor,sabor
340,meu-ex-amor,de
341,meu-ex-amor,saudade
342,meu-ex-amor,Meu
343,meu-ex-amor,ex-amor
344,meu-ex-amor,Tem
345,meu-ex-amor,coisas
346,meu-ex-amor,que
347,meu-ex-amor,a
348,meu-ex-amor,gente
349,meu-ex-amor,não
350,meu-ex-amor,esquece
351,meu-ex-amor,Mas
352,meu-ex-amor,você
353,meu-ex-amor,não
354,meu-ex-amor,merece
355,meu-ex-amor,Tanta
356,meu-ex-amor,dor
357,meu-ex-amor,Foi
358,meu-ex-amor,bonito
359,meu-ex-amor,demais
360,meu-ex-amor,Mas
361,meu-ex-amor,eu
362,meu-ex-amor,estou
363,meu-ex-amor,sozinho
364,meu-ex-amor,Foi
365,meu-ex-amor,rico
366,meu-ex-amor,de
367,meu-ex-amor,amor
368,meu-ex-amor,E
369,meu-ex-amor,hoje
370,meu-ex-amor,estou
