,Musicas,Palavras
0,mal-acostumado,Foi
1,mal-acostumado,com
2,mal-acostumado,você
3,mal-acostumado,meu
4,mal-acostumado,bem
5,mal-acostumado,Comigo?
6,mal-acostumado,E
7,mal-acostumado,todas
8,mal-acostumado,as
9,mal-acostumado,loucuras
10,mal-acostumado,Desse
11,mal-acostumado,nosso
12,mal-acostumado,amor
13,mal-acostumado,Você
14,mal-acostumado,me
15,mal-acostumado,deu
16,mal-acostumado,também...
17,mal-acostumado,Da
18,mal-acostumado,minha
19,mal-acostumado,vida
20,mal-acostumado,E
21,mal-acostumado,fica
22,mal-acostumado,tão
23,mal-acostumado,difícil
24,mal-acostumado,Dividir
25,mal-acostumado,você
26,mal-acostumado,de
27,mal-acostumado,mim
28,mal-acostumado,E
29,mal-acostumado,quando
30,mal-acostumado,faz
31,mal-acostumado,carinho
32,mal-acostumado,Me
33,mal-acostumado,abraça
34,mal-acostumado,Aí
35,mal-acostumado,eu
36,mal-acostumado,fico
37,mal-acostumado,de
38,mal-acostumado,graça
39,mal-acostumado,Te
40,mal-acostumado,chamando
41,mal-acostumado,pra
42,mal-acostumado,me
43,mal-acostumado,amar...
44,mal-acostumado,Você
45,mal-acostumado,me
46,mal-acostumado,deixou
47,mal-acostumado,Mal
48,mal-acostumado,acostumado
49,mal-acostumado,Com
50,mal-acostumado,o
51,mal-acostumado,seu
52,mal-acostumado,amor
53,mal-acostumado,Então
54,mal-acostumado,volta
55,mal-acostumado,Traz
56,mal-acostumado,de
57,mal-acostumado,volta
58,mal-acostumado,meu
59,mal-acostumado,sorriso
60,mal-acostumado,Sem
61,mal-acostumado,você
62,mal-acostumado,não
63,mal-acostumado,posso
64,mal-acostumado,ser
65,mal-acostumado,feliz...(2x)
66,mal-acostumado,Foi
67,mal-acostumado,com
68,mal-acostumado,você
69,mal-acostumado,meu
70,mal-acostumado,bem
71,mal-acostumado,E
72,mal-acostumado,todas
73,mal-acostumado,as
74,mal-acostumado,loucuras
75,mal-acostumado,Desse
76,mal-acostumado,nosso
77,mal-acostumado,amor
78,mal-acostumado,Você
79,mal-acostumado,me
80,mal-acostumado,deu
81,mal-acostumado,também...
82,mal-acostumado,Da
83,mal-acostumado,minha
84,mal-acostumado,vida
85,mal-acostumado,E
86,mal-acostumado,fica
87,mal-acostumado,tão
88,mal-acostumado,difícil
89,mal-acostumado,Dividir
90,mal-acostumado,você
91,mal-acostumado,de
92,mal-acostumado,mim
93,mal-acostumado,E
94,mal-acostumado,quando
95,mal-acostumado,faz
96,mal-acostumado,carinho
97,mal-acostumado,Me
98,mal-acostumado,abraça
99,mal-acostumado,Aí
100,mal-acostumado,eu
101,mal-acostumado,fico
102,mal-acostumado,de
103,mal-acostumado,graça
104,mal-acostumado,Te
105,mal-acostumado,chamando
106,mal-acostumado,pra
107,mal-acostumado,me
108,mal-acostumado,amar...
109,mal-acostumado,Você
110,mal-acostumado,me
111,mal-acostumado,deixou
112,mal-acostumado,Mal
113,mal-acostumado,acostumado
114,mal-acostumado,Com
115,mal-acostumado,o
116,mal-acostumado,seu
117,mal-acostumado,amor
118,mal-acostumado,Então
119,mal-acostumado,volta
120,mal-acostumado,Traz
121,mal-acostumado,de
122,mal-acostumado,volta
123,mal-acostumado,meu
124,mal-acostumado,sorriso
125,mal-acostumado,Sem
126,mal-acostumado,você
127,mal-acostumado,não
128,mal-acostumado,posso
129,mal-acostumado,ser
130,mal-acostumado,feliz...(3x)
131,mal-acostumado,None
305,amantes,Pensando
306,amantes,em
307,amantes,você
308,amantes,Nesses
309,amantes,momentos
310,amantes,Que
311,amantes,a
312,amantes,gente
313,amantes,consegue
314,amantes,se
315,amantes,ver
316,amantes,Você
317,amantes,me
318,amantes,diz
319,amantes,Que
320,amantes,o
321,amantes,seu
322,amantes,casamento
323,amantes,vai
324,amantes,mal
325,amantes,Por
326,amantes,isso
327,amantes,"trai,"
328,amantes,já
329,amantes,não
330,amantes,quer
331,amantes,mais
332,amantes,Mas
333,amantes,não
334,amantes,se
335,amantes,vai
336,amantes,Eu
337,amantes,me
338,amantes,"pergunto,"
339,amantes,afinal
340,amantes,O
341,amantes,que
342,amantes,sou
343,amantes,pra
344,amantes,você
345,amantes,Simples
346,amantes,amante
347,amantes,Ou
348,amantes,nada
349,amantes,além
350,amantes,de
351,amantes,um
352,amantes,prazer!
353,amantes,Você
354,amantes,se
355,amantes,entrega
356,amantes,pra
357,amantes,mim
358,amantes,Com
359,amantes,hora
360,amantes,certa
361,amantes,do
362,amantes,fim
363,amantes,Depois
364,amantes,me
365,amantes,diz
366,amantes,"""Até"
367,amantes,"amanhã"""
368,amantes,e
369,amantes,vai
370,amantes,Eu
371,amantes,queria
372,amantes,ser
373,amantes,bem
374,amantes,mais
375,amantes,Que
376,amantes,amante
377,amantes,Quero
378,amantes,ter
379,amantes,você
380,amantes,O
381,amantes,tempo
382,amantes,todo
383,amantes,Eu
384,amantes,queria
385,amantes,ser
386,amantes,bem
387,amantes,mais
388,amantes,Que
389,amantes,amante
390,amantes,Quero
391,amantes,ter
392,amantes,você
393,amantes,Aqui
394,amantes,Eu
395,amantes,conto
396,amantes,as
397,amantes,horas
398,amantes,Que
399,amantes,faltam
400,amantes,para
401,amantes,o
402,amantes,dia
403,amantes,que
404,amantes,vem
405,amantes,Não
406,amantes,quero
407,amantes,mais
408,amantes,Dividir
