,Musicas,Palavras
0,xote-dos-milagres,O
1,xote-dos-milagres,sangue
2,xote-dos-milagres,que
3,xote-dos-milagres,corre
4,xote-dos-milagres,em
5,xote-dos-milagres,mim
6,xote-dos-milagres,sai
7,xote-dos-milagres,da
8,xote-dos-milagres,tua
9,xote-dos-milagres,veia
10,xote-dos-milagres,Veja
11,xote-dos-milagres,"só,"
12,xote-dos-milagres,você
13,xote-dos-milagres,é
14,xote-dos-milagres,a
15,xote-dos-milagres,única
16,xote-dos-milagres,que
17,xote-dos-milagres,não
18,xote-dos-milagres,me
19,xote-dos-milagres,dá
20,xote-dos-milagres,valor
21,xote-dos-milagres,Então
22,xote-dos-milagres,por
23,xote-dos-milagres,que
24,xote-dos-milagres,será
25,xote-dos-milagres,que
26,xote-dos-milagres,este
27,xote-dos-milagres,valor
28,xote-dos-milagres,é
29,xote-dos-milagres,o
30,xote-dos-milagres,que
31,xote-dos-milagres,eu
32,xote-dos-milagres,ainda
33,xote-dos-milagres,quero
34,xote-dos-milagres,ter
35,xote-dos-milagres,Tenho
36,xote-dos-milagres,tudo
37,xote-dos-milagres,nas
38,xote-dos-milagres,"mãos,"
39,xote-dos-milagres,mas
40,xote-dos-milagres,não
41,xote-dos-milagres,tenho
42,xote-dos-milagres,nada
43,xote-dos-milagres,Então
44,xote-dos-milagres,melhor
45,xote-dos-milagres,ter
46,xote-dos-milagres,nada
47,xote-dos-milagres,e
48,xote-dos-milagres,lutar
49,xote-dos-milagres,pelo
50,xote-dos-milagres,que
51,xote-dos-milagres,eu
52,xote-dos-milagres,quiser
53,xote-dos-milagres,Ouça
54,xote-dos-milagres,o
55,xote-dos-milagres,forró
56,xote-dos-milagres,tocando
57,xote-dos-milagres,e
58,xote-dos-milagres,muita
59,xote-dos-milagres,gente
60,xote-dos-milagres,aê
61,xote-dos-milagres,Não
62,xote-dos-milagres,é
63,xote-dos-milagres,hora
64,xote-dos-milagres,pra
65,xote-dos-milagres,chorar
66,xote-dos-milagres,Porém
67,xote-dos-milagres,não
68,xote-dos-milagres,é
69,xote-dos-milagres,pecado
70,xote-dos-milagres,se
71,xote-dos-milagres,eu
72,xote-dos-milagres,falar
73,xote-dos-milagres,de
74,xote-dos-milagres,amor
75,xote-dos-milagres,Se
76,xote-dos-milagres,eu
77,xote-dos-milagres,canto
78,xote-dos-milagres,sentimento
79,xote-dos-milagres,seja
80,xote-dos-milagres,ele
81,xote-dos-milagres,qual
82,xote-dos-milagres,for
83,xote-dos-milagres,Se
84,xote-dos-milagres,quiser
85,xote-dos-milagres,também
86,xote-dos-milagres,pode
87,xote-dos-milagres,vir
88,xote-dos-milagres,Escuta
89,xote-dos-milagres,o
90,xote-dos-milagres,meu
91,xote-dos-milagres,coração
92,xote-dos-milagres,Que
93,xote-dos-milagres,bate
94,xote-dos-milagres,no
95,xote-dos-milagres,compasso
96,xote-dos-milagres,da
97,xote-dos-milagres,zabumba
98,xote-dos-milagres,de
99,xote-dos-milagres,paixão
100,xote-dos-milagres,Que
101,xote-dos-milagres,este
102,xote-dos-milagres,xote
103,xote-dos-milagres,faz
104,xote-dos-milagres,milagre
105,xote-dos-milagres,acontecer
106,xote-dos-milagres,Ê
107,xote-dos-milagres,pra
108,xote-dos-milagres,surdo
109,xote-dos-milagres,"ouvir,"
110,xote-dos-milagres,pra
111,xote-dos-milagres,cego
112,xote-dos-milagres,ver
113,xote-dos-milagres,Que
114,xote-dos-milagres,este
115,xote-dos-milagres,xote
116,xote-dos-milagres,faz
117,xote-dos-milagres,milagre
118,xote-dos-milagres,acontecer
119,xote-dos-milagres,Ê
120,xote-dos-milagres,pra
121,xote-dos-milagres,surdo
122,xote-dos-milagres,"ouvir,"
123,xote-dos-milagres,pra
124,xote-dos-milagres,cego
125,xote-dos-milagres,ver
126,xote-dos-milagres,Que
127,xote-dos-milagres,este
128,xote-dos-milagres,xote
129,xote-dos-milagres,faz
130,xote-dos-milagres,milagre
131,xote-dos-milagres,acontecer
132,xote-dos-milagres,Ê
133,xote-dos-milagres,pra
134,xote-dos-milagres,surdo
135,xote-dos-milagres,"ouvir,"
136,xote-dos-milagres,pra
137,xote-dos-milagres,cego
138,xote-dos-milagres,ver
139,xote-dos-milagres,Falamansa
140,xote-dos-milagres,faz
141,xote-dos-milagres,milagre
142,xote-dos-milagres,acontecer
143,xote-dos-milagres,None
481,oh-chuva,Você
482,oh-chuva,não
483,oh-chuva,é
484,oh-chuva,nem
485,oh-chuva,de
486,oh-chuva,papel
487,oh-chuva,Muito
488,oh-chuva,menos
489,oh-chuva,feito
490,oh-chuva,de
491,oh-chuva,açúcar
492,oh-chuva,Ou
493,oh-chuva,algo
494,oh-chuva,parecido
495,oh-chuva,com
496,oh-chuva,mel
497,oh-chuva,E
498,oh-chuva,conhecer
499,oh-chuva,a
500,oh-chuva,energia
501,oh-chuva,do
502,oh-chuva,céu
503,oh-chuva,A
504,oh-chuva,energia
505,oh-chuva,dessa
506,oh-chuva,água
507,oh-chuva,sagrada
508,oh-chuva,Nos
509,oh-chuva,abençoa
510,oh-chuva,da
511,oh-chuva,cabeça
512,oh-chuva,aos
513,oh-chuva,pés
514,oh-chuva,Eu
515,oh-chuva,peço
516,oh-chuva,que
517,oh-chuva,caia
518,oh-chuva,devagar
519,oh-chuva,Só
520,oh-chuva,molhe
521,oh-chuva,esse
522,oh-chuva,povo
523,oh-chuva,de
524,oh-chuva,alegria
525,oh-chuva,Para
526,oh-chuva,nunca
527,oh-chuva,mais
528,oh-chuva,chorar
529,oh-chuva,Eu
530,oh-chuva,peço
531,oh-chuva,que
532,oh-chuva,caia
533,oh-chuva,devagar
534,oh-chuva,Só
535,oh-chuva,molhe
536,oh-chuva,esse
537,oh-chuva,povo
538,oh-chuva,de
539,oh-chuva,alegria
540,oh-chuva,Para
541,oh-chuva,nunca
542,oh-chuva,mais
543,oh-chuva,chorar
544,oh-chuva,None
962,xote-da-alegria,Ser
963,xote-da-alegria,o
964,xote-da-alegria,que
965,xote-da-alegria,sou
966,xote-da-alegria,e
967,xote-da-alegria,o
968,xote-da-alegria,que
969,xote-da-alegria,gostar
970,xote-da-alegria,Não
971,xote-da-alegria,sei
972,xote-da-alegria,quem
973,xote-da-alegria,sou
974,xote-da-alegria,e
975,xote-da-alegria,vou
976,xote-da-alegria,mudar
977,xote-da-alegria,Pra
978,xote-da-alegria,ser
979,xote-da-alegria,aquilo
980,xote-da-alegria,que
981,xote-da-alegria,eu
982,xote-da-alegria,sempre
983,xote-da-alegria,quis
984,xote-da-alegria,E
985,xote-da-alegria,se
986,xote-da-alegria,acaso
987,xote-da-alegria,você
988,xote-da-alegria,diz
989,xote-da-alegria,Que
990,xote-da-alegria,sonha
991,xote-da-alegria,um
992,xote-da-alegria,dia
