,Musicas,Palavras
347,cavalo-manco,A
348,cavalo-manco,nossa
349,cavalo-manco,dança
350,cavalo-manco,do
351,cavalo-manco,estado
352,cavalo-manco,do
353,cavalo-manco,"pará,"
354,cavalo-manco,É
355,cavalo-manco,o
356,cavalo-manco,calypso
357,cavalo-manco,que
358,cavalo-manco,chegou
359,cavalo-manco,para
360,cavalo-manco,ficar
361,cavalo-manco,Nesse
362,cavalo-manco,swing
363,cavalo-manco,você
364,cavalo-manco,também
365,cavalo-manco,vai
366,cavalo-manco,entrar
367,cavalo-manco,Depois
368,cavalo-manco,me
369,cavalo-manco,abraça
370,cavalo-manco,com
371,cavalo-manco,carinho
372,cavalo-manco,e
373,cavalo-manco,a
374,cavalo-manco,gente
375,cavalo-manco,pode
376,cavalo-manco,fazer
377,cavalo-manco,Tudo
378,cavalo-manco,outra
379,cavalo-manco,vez.
380,cavalo-manco,Que
381,cavalo-manco,essa
382,cavalo-manco,dança
383,cavalo-manco,vai
384,cavalo-manco,mexer
385,cavalo-manco,com
386,cavalo-manco,você
387,cavalo-manco,e
388,cavalo-manco,com
389,cavalo-manco,o
390,cavalo-manco,seu
391,cavalo-manco,coração.
392,cavalo-manco,Não
393,cavalo-manco,para
394,cavalo-manco,não
395,cavalo-manco,vem
396,cavalo-manco,cá
397,cavalo-manco,me
398,cavalo-manco,dá
399,cavalo-manco,a
400,cavalo-manco,sua
401,cavalo-manco,mão
402,cavalo-manco,Quero
403,cavalo-manco,que
404,cavalo-manco,sinta
405,cavalo-manco,toda
406,cavalo-manco,essa
407,cavalo-manco,emoção.
408,cavalo-manco,Cavalo
409,cavalo-manco,manco
410,cavalo-manco,agora
411,cavalo-manco,eu
412,cavalo-manco,vou
413,cavalo-manco,te
414,cavalo-manco,ensinar
415,cavalo-manco,Isso
416,cavalo-manco,e
417,cavalo-manco,muito
418,cavalo-manco,mais
419,cavalo-manco,você
420,cavalo-manco,só
421,cavalo-manco,vai
422,cavalo-manco,encontrar
423,cavalo-manco,no
424,cavalo-manco,pará.
425,cavalo-manco,(2x)
426,cavalo-manco,Chega
427,cavalo-manco,pra
428,cavalo-manco,cá
429,cavalo-manco,meu
430,cavalo-manco,"bem,"
431,cavalo-manco,que
432,cavalo-manco,eu
433,cavalo-manco,vou
434,cavalo-manco,te
