,Musicas,Acordes
0,ceu-azul,Em7(9)
1,ceu-azul,D
2,ceu-azul,Bm
3,ceu-azul,A11
4,ceu-azul,Em7(9)
5,ceu-azul,D
6,ceu-azul,Bm
7,ceu-azul,A11
8,ceu-azul,Em7(9)
9,ceu-azul,D
10,ceu-azul,Bm
11,ceu-azul,A11
12,ceu-azul,Em7(9)
13,ceu-azul,D
14,ceu-azul,Bm
15,ceu-azul,A11
16,ceu-azul,Em7(9)
17,ceu-azul,D
18,ceu-azul,Bm
19,ceu-azul,A11
20,ceu-azul,Em7(9)
21,ceu-azul,D
22,ceu-azul,Bm
23,ceu-azul,A11
24,ceu-azul,Em
25,ceu-azul,Bm11
26,ceu-azul,A9
27,ceu-azul,G
28,ceu-azul,A9
29,ceu-azul,Em
30,ceu-azul,Bm11
31,ceu-azul,A9
32,ceu-azul,G
33,ceu-azul,A9
34,ceu-azul,A9
35,ceu-azul,Em7(9)
36,ceu-azul,D
37,ceu-azul,Bm
38,ceu-azul,A11
39,ceu-azul,Em7(9)
40,ceu-azul,D
41,ceu-azul,Bm
42,ceu-azul,A11
43,ceu-azul,Em7(9)
44,ceu-azul,D
45,ceu-azul,Bm
46,ceu-azul,A11
47,ceu-azul,Em7(9)
48,ceu-azul,D
49,ceu-azul,Bm
50,ceu-azul,A11
51,ceu-azul,Em7(9)
52,ceu-azul,D
53,ceu-azul,Bm
54,ceu-azul,A11
55,ceu-azul,Em7(9)
56,ceu-azul,D
57,ceu-azul,Bm
58,ceu-azul,A11
59,ceu-azul,Em
60,ceu-azul,Bm11
61,ceu-azul,A9
62,ceu-azul,G
63,ceu-azul,A9
64,ceu-azul,Em
65,ceu-azul,Bm11
66,ceu-azul,A9
67,ceu-azul,G
68,ceu-azul,A9
69,ceu-azul,Em7(9)
70,ceu-azul,D
71,ceu-azul,Bm
72,ceu-azul,A11
73,ceu-azul,Em7(9)
74,ceu-azul,D
75,ceu-azul,Bm
76,ceu-azul,A11
77,ceu-azul,Em7(9)
78,ceu-azul,D
79,ceu-azul,Bm
80,ceu-azul,A11
81,ceu-azul,Em7(9)
82,ceu-azul,D
83,ceu-azul,Bm
84,ceu-azul,A11
85,ceu-azul,Em7(9)
216,so-os-loucos-sabem,C#m7
217,so-os-loucos-sabem,A9
218,so-os-loucos-sabem,C#m
219,so-os-loucos-sabem,A9
220,so-os-loucos-sabem,E
221,so-os-loucos-sabem,C#m
222,so-os-loucos-sabem,E
223,so-os-loucos-sabem,B4
224,so-os-loucos-sabem,C#m
225,so-os-loucos-sabem,A9
226,so-os-loucos-sabem,E
227,so-os-loucos-sabem,F#m
228,so-os-loucos-sabem,E/G#
229,so-os-loucos-sabem,A9
230,so-os-loucos-sabem,C#m
231,so-os-loucos-sabem,A9
232,so-os-loucos-sabem,E
233,so-os-loucos-sabem,C#m
234,so-os-loucos-sabem,E
235,so-os-loucos-sabem,B4
236,so-os-loucos-sabem,C#m
237,so-os-loucos-sabem,A9
238,so-os-loucos-sabem,E
239,so-os-loucos-sabem,F#m
240,so-os-loucos-sabem,E/G#
241,so-os-loucos-sabem,A9
242,so-os-loucos-sabem,C#m
243,so-os-loucos-sabem,A9
244,so-os-loucos-sabem,E
245,so-os-loucos-sabem,C#m
246,so-os-loucos-sabem,E
247,so-os-loucos-sabem,B4
248,so-os-loucos-sabem,C#m
249,so-os-loucos-sabem,A9
250,so-os-loucos-sabem,E
251,so-os-loucos-sabem,F#m
252,so-os-loucos-sabem,E/G#
253,so-os-loucos-sabem,A9
254,so-os-loucos-sabem,C#m
255,so-os-loucos-sabem,A9
256,so-os-loucos-sabem,E
257,so-os-loucos-sabem,C#m
258,so-os-loucos-sabem,E
259,so-os-loucos-sabem,B4
260,so-os-loucos-sabem,C#m
261,so-os-loucos-sabem,A9
262,so-os-loucos-sabem,E
263,so-os-loucos-sabem,F#m
264,so-os-loucos-sabem,E/G#
265,so-os-loucos-sabem,A9
266,so-os-loucos-sabem,C#m
267,so-os-loucos-sabem,A9
268,so-os-loucos-sabem,E
269,so-os-loucos-sabem,C#m
270,so-os-loucos-sabem,E
271,so-os-loucos-sabem,B4
272,so-os-loucos-sabem,C#m
273,so-os-loucos-sabem,A9
274,so-os-loucos-sabem,E
275,so-os-loucos-sabem,F#m
276,so-os-loucos-sabem,E/G#
277,so-os-loucos-sabem,A9
278,so-os-loucos-sabem,E5
279,so-os-loucos-sabem,E7M
280,so-os-loucos-sabem,E5
281,so-os-loucos-sabem,E7M
282,so-os-loucos-sabem,E5
283,so-os-loucos-sabem,C#m
284,so-os-loucos-sabem,C#9
285,so-os-loucos-sabem,C#m
286,so-os-loucos-sabem,C#9
287,so-os-loucos-sabem,C#m
288,so-os-loucos-sabem,C#m
289,so-os-loucos-sabem,A9
290,so-os-loucos-sabem,E
291,so-os-loucos-sabem,C#m
292,so-os-loucos-sabem,E
293,so-os-loucos-sabem,B4
294,so-os-loucos-sabem,C#m
295,so-os-loucos-sabem,A9
296,so-os-loucos-sabem,E
297,so-os-loucos-sabem,F#m
298,so-os-loucos-sabem,E/G#
299,so-os-loucos-sabem,A9
432,lugar-ao-sol,F#m
433,lugar-ao-sol,E5
434,lugar-ao-sol,D7M
435,lugar-ao-sol,F#m
436,lugar-ao-sol,E5
437,lugar-ao-sol,D7M
438,lugar-ao-sol,F#m
439,lugar-ao-sol,E5
440,lugar-ao-sol,D7M
441,lugar-ao-sol,F#m
442,lugar-ao-sol,D7M
443,lugar-ao-sol,F#m
444,lugar-ao-sol,E5
445,lugar-ao-sol,D7M
446,lugar-ao-sol,F#m
447,lugar-ao-sol,E5
448,lugar-ao-sol,D7M
449,lugar-ao-sol,F#m
450,lugar-ao-sol,E5
451,lugar-ao-sol,D7M
452,lugar-ao-sol,F#m
453,lugar-ao-sol,E5
454,lugar-ao-sol,D7M
455,lugar-ao-sol,F#m
456,lugar-ao-sol,E5
457,lugar-ao-sol,D7M
458,lugar-ao-sol,F#m
459,lugar-ao-sol,E5
460,lugar-ao-sol,D7M
461,lugar-ao-sol,F#m
462,lugar-ao-sol,E5
463,lugar-ao-sol,D7M
464,lugar-ao-sol,F#m
465,lugar-ao-sol,E5
466,lugar-ao-sol,D7M
467,lugar-ao-sol,A7M
468,lugar-ao-sol,A9
469,lugar-ao-sol,F#m9
470,lugar-ao-sol,D5
471,lugar-ao-sol,A7M
472,lugar-ao-sol,A9
473,lugar-ao-sol,D5
474,lugar-ao-sol,Dm7
475,lugar-ao-sol,F5/E
476,lugar-ao-sol,F5
477,lugar-ao-sol,A7M
478,lugar-ao-sol,A9
479,lugar-ao-sol,F#m9
480,lugar-ao-sol,D5
481,lugar-ao-sol,A7M
482,lugar-ao-sol,A9
483,lugar-ao-sol,D5
484,lugar-ao-sol,Dm7
485,lugar-ao-sol,F5/E
486,lugar-ao-sol,F5
487,lugar-ao-sol,A7M
488,lugar-ao-sol,A9
489,lugar-ao-sol,F#m9
490,lugar-ao-sol,D5
491,lugar-ao-sol,A7M
492,lugar-ao-sol,A9
493,lugar-ao-sol,D5
494,lugar-ao-sol,Dm7
495,lugar-ao-sol,F5/E
496,lugar-ao-sol,F5
497,lugar-ao-sol,A7M
498,lugar-ao-sol,A9
499,lugar-ao-sol,F#m9
500,lugar-ao-sol,D5
501,lugar-ao-sol,A7M
502,lugar-ao-sol,A9
503,lugar-ao-sol,D5
504,lugar-ao-sol,Dm7
505,lugar-ao-sol,F5/E
506,lugar-ao-sol,F5
507,lugar-ao-sol,F#m
508,lugar-ao-sol,E5
509,lugar-ao-sol,D7M
510,lugar-ao-sol,F#m
511,lugar-ao-sol,E5
512,lugar-ao-sol,D7M
513,lugar-ao-sol,F#m
514,lugar-ao-sol,E5
515,lugar-ao-sol,D7M
516,lugar-ao-sol,F#m
517,lugar-ao-sol,E5
518,lugar-ao-sol,D7M
519,lugar-ao-sol,F#m
520,lugar-ao-sol,E5
521,lugar-ao-sol,D7M
522,lugar-ao-sol,F#m
523,lugar-ao-sol,E5
524,lugar-ao-sol,D7M
525,lugar-ao-sol,F#m
526,lugar-ao-sol,E5
527,lugar-ao-sol,D7M
528,lugar-ao-sol,F#m
529,lugar-ao-sol,E5
530,lugar-ao-sol,D7M
531,lugar-ao-sol,A7M
532,lugar-ao-sol,A9
533,lugar-ao-sol,F#m9
534,lugar-ao-sol,D5
535,lugar-ao-sol,A7M
536,lugar-ao-sol,A9
537,lugar-ao-sol,D5
538,lugar-ao-sol,Dm7
539,lugar-ao-sol,F5/E
540,lugar-ao-sol,F5
541,lugar-ao-sol,A7M
542,lugar-ao-sol,A9
543,lugar-ao-sol,F#m9
544,lugar-ao-sol,D5
545,lugar-ao-sol,A7M
546,lugar-ao-sol,A9
547,lugar-ao-sol,D5
548,lugar-ao-sol,Dm7
549,lugar-ao-sol,F5/E
550,lugar-ao-sol,F5
551,lugar-ao-sol,A7M
552,lugar-ao-sol,A9
553,lugar-ao-sol,F#m9
554,lugar-ao-sol,D5
555,lugar-ao-sol,A7M
556,lugar-ao-sol,A9
557,lugar-ao-sol,D5
558,lugar-ao-sol,Dm7
559,lugar-ao-sol,F5/E
560,lugar-ao-sol,F5
561,lugar-ao-sol,A7M
562,lugar-ao-sol,A9
563,lugar-ao-sol,F#m9
564,lugar-ao-sol,D5
565,lugar-ao-sol,A7M
566,lugar-ao-sol,A9
567,lugar-ao-sol,D5
568,lugar-ao-sol,Dm7
569,lugar-ao-sol,F5/E
570,lugar-ao-sol,F5
571,lugar-ao-sol,F#m
572,lugar-ao-sol,E5
573,lugar-ao-sol,D7M
574,lugar-ao-sol,F#m
575,lugar-ao-sol,E5
576,lugar-ao-sol,D7M
577,lugar-ao-sol,F#m
578,lugar-ao-sol,E5
579,lugar-ao-sol,D7M
580,lugar-ao-sol,F#m
581,lugar-ao-sol,E5
582,lugar-ao-sol,D7M
583,lugar-ao-sol,F#m
584,lugar-ao-sol,E5
585,lugar-ao-sol,D7M
586,lugar-ao-sol,F#m
587,lugar-ao-sol,E5
588,lugar-ao-sol,D7M
589,lugar-ao-sol,F#m
590,lugar-ao-sol,E5
591,lugar-ao-sol,D7M
592,lugar-ao-sol,F#m
593,lugar-ao-sol,E5
594,lugar-ao-sol,D7M
595,lugar-ao-sol,B5
596,lugar-ao-sol,A5
597,lugar-ao-sol,B5
598,lugar-ao-sol,D5
599,lugar-ao-sol,B5
600,lugar-ao-sol,A5
601,lugar-ao-sol,B5
602,lugar-ao-sol,D5
603,lugar-ao-sol,B5
604,lugar-ao-sol,A5
605,lugar-ao-sol,B5
606,lugar-ao-sol,A5
607,lugar-ao-sol,B5
608,lugar-ao-sol,D5
609,lugar-ao-sol,F#m
610,lugar-ao-sol,F#5
611,lugar-ao-sol,F5
612,lugar-ao-sol,E5
613,lugar-ao-sol,F#m
614,lugar-ao-sol,E5
615,lugar-ao-sol,D7M
616,lugar-ao-sol,F#m
617,lugar-ao-sol,E5
618,lugar-ao-sol,D7M
619,lugar-ao-sol,F#m
620,lugar-ao-sol,E5
621,lugar-ao-sol,D7M
622,lugar-ao-sol,F#m
623,lugar-ao-sol,E5
624,lugar-ao-sol,D7M
625,lugar-ao-sol,F#m
626,lugar-ao-sol,E5
627,lugar-ao-sol,D7M
628,lugar-ao-sol,F#m
629,lugar-ao-sol,E5
630,lugar-ao-sol,D7M
631,lugar-ao-sol,F#m
632,lugar-ao-sol,E5
633,lugar-ao-sol,D7M
634,lugar-ao-sol,F#m
635,lugar-ao-sol,E5
636,lugar-ao-sol,D7M
637,lugar-ao-sol,F#m
638,lugar-ao-sol,E5
639,lugar-ao-sol,D7M
640,lugar-ao-sol,F#m
641,lugar-ao-sol,E5
642,lugar-ao-sol,D7M
648,zoio-de-lula,C#m
649,zoio-de-lula,G#m
650,zoio-de-lula,C#m
651,zoio-de-lula,G#m
652,zoio-de-lula,C#m
653,zoio-de-lula,G#m
654,zoio-de-lula,C#m
655,zoio-de-lula,G#m
656,zoio-de-lula,C#m
657,zoio-de-lula,G#m
658,zoio-de-lula,C#m
659,zoio-de-lula,G#m
660,zoio-de-lula,C#m
661,zoio-de-lula,G#m
662,zoio-de-lula,C#m
663,zoio-de-lula,G#m
664,zoio-de-lula,C#m
665,zoio-de-lula,G#m
666,zoio-de-lula,C#m
667,zoio-de-lula,G#m
668,zoio-de-lula,C#m
669,zoio-de-lula,G#m
670,zoio-de-lula,C#m
671,zoio-de-lula,G#m
672,zoio-de-lula,C#m
673,zoio-de-lula,B5(9)
674,zoio-de-lula,C#m
675,zoio-de-lula,B5(9)
676,zoio-de-lula,C#m
677,zoio-de-lula,B5(9)
678,zoio-de-lula,C#m
679,zoio-de-lula,B5(9)
680,zoio-de-lula,C#m
681,zoio-de-lula,B5(9)
682,zoio-de-lula,C#m
683,zoio-de-lula,B5(9)
684,zoio-de-lula,C#m
685,zoio-de-lula,B5(9)
686,zoio-de-lula,C#m
687,zoio-de-lula,B5(9)
688,zoio-de-lula,C#m
689,zoio-de-lula,B5(9)
690,zoio-de-lula,C#m
691,zoio-de-lula,B5(9)
692,zoio-de-lula,C#m
693,zoio-de-lula,B5(9)
694,zoio-de-lula,C#m
695,zoio-de-lula,B5(9)
696,zoio-de-lula,C#m
697,zoio-de-lula,G#m
698,zoio-de-lula,C#m
699,zoio-de-lula,G#m
700,zoio-de-lula,C#m
701,zoio-de-lula,G#m
702,zoio-de-lula,C#m
703,zoio-de-lula,G#m
704,zoio-de-lula,C#m
705,zoio-de-lula,G#m
706,zoio-de-lula,C#m
707,zoio-de-lula,G#m
708,zoio-de-lula,C#m
709,zoio-de-lula,G#m
710,zoio-de-lula,C#m
711,zoio-de-lula,G#m
712,zoio-de-lula,C#m
713,zoio-de-lula,B5(9)
714,zoio-de-lula,C#m
715,zoio-de-lula,B5(9)
716,zoio-de-lula,C#m
717,zoio-de-lula,B5(9)
718,zoio-de-lula,C#m
719,zoio-de-lula,B5(9)
720,zoio-de-lula,C#m
721,zoio-de-lula,B5(9)
722,zoio-de-lula,C#m
723,zoio-de-lula,B5(9)
724,zoio-de-lula,C#m
725,zoio-de-lula,B5(9)
726,zoio-de-lula,C#m
727,zoio-de-lula,B5(9)
728,zoio-de-lula,C#m
729,zoio-de-lula,G#m
730,zoio-de-lula,C#m
731,zoio-de-lula,G#m
732,zoio-de-lula,C#m
733,zoio-de-lula,G#m
734,zoio-de-lula,C#m
735,zoio-de-lula,G#m
736,zoio-de-lula,C#m
737,zoio-de-lula,G#m
738,zoio-de-lula,C#m
739,zoio-de-lula,G#m
740,zoio-de-lula,C#m
741,zoio-de-lula,G#m
742,zoio-de-lula,C#m
743,zoio-de-lula,G#m
744,zoio-de-lula,C#m
745,zoio-de-lula,G#m
746,zoio-de-lula,C#m
747,zoio-de-lula,G#m
748,zoio-de-lula,C#m
749,zoio-de-lula,G#m
750,zoio-de-lula,C#m
751,zoio-de-lula,G#m
752,zoio-de-lula,C#m
753,zoio-de-lula,B5(9)
754,zoio-de-lula,C#m
755,zoio-de-lula,B5(9)
756,zoio-de-lula,C#m
757,zoio-de-lula,B5(9)
758,zoio-de-lula,C#m
759,zoio-de-lula,B5(9)
760,zoio-de-lula,C#m
761,zoio-de-lula,B5(9)
762,zoio-de-lula,C#m
763,zoio-de-lula,B5(9)
764,zoio-de-lula,C#m
765,zoio-de-lula,B5(9)
766,zoio-de-lula,C#m
767,zoio-de-lula,B5(9)
768,zoio-de-lula,C#m
769,zoio-de-lula,B5(9)
770,zoio-de-lula,C#m
771,zoio-de-lula,B5(9)
772,zoio-de-lula,C#m
773,zoio-de-lula,B5(9)
774,zoio-de-lula,C#m
775,zoio-de-lula,B5(9)
776,zoio-de-lula,C#m
777,zoio-de-lula,B5(9)
778,zoio-de-lula,C#m
779,zoio-de-lula,B5(9)
780,zoio-de-lula,C#m
781,zoio-de-lula,B5(9)
782,zoio-de-lula,C#m
783,zoio-de-lula,B5(9)
864,dias-de-luta-dias-de-gloria,C7M
865,dias-de-luta-dias-de-gloria,Am9
866,dias-de-luta-dias-de-gloria,C7M
867,dias-de-luta-dias-de-gloria,Em
868,dias-de-luta-dias-de-gloria,G
869,dias-de-luta-dias-de-gloria,C7M
870,dias-de-luta-dias-de-gloria,Am9
871,dias-de-luta-dias-de-gloria,Em
872,dias-de-luta-dias-de-gloria,C7M
873,dias-de-luta-dias-de-gloria,Am9
874,dias-de-luta-dias-de-gloria,Em
875,dias-de-luta-dias-de-gloria,C7M
876,dias-de-luta-dias-de-gloria,Em
877,dias-de-luta-dias-de-gloria,G
878,dias-de-luta-dias-de-gloria,C7M
879,dias-de-luta-dias-de-gloria,Am9
880,dias-de-luta-dias-de-gloria,Em
881,dias-de-luta-dias-de-gloria,C7M
882,dias-de-luta-dias-de-gloria,Am9
883,dias-de-luta-dias-de-gloria,Em
884,dias-de-luta-dias-de-gloria,G
885,dias-de-luta-dias-de-gloria,C7M
