,Musicas,Palavras
0,tempo-perdido,Não
1,tempo-perdido,tenho
2,tempo-perdido,mais
3,tempo-perdido,o
4,tempo-perdido,tempo
5,tempo-perdido,que
6,tempo-perdido,passou
7,tempo-perdido,Mas
8,tempo-perdido,tenho
9,tempo-perdido,muito
10,tempo-perdido,tempo
11,tempo-perdido,Temos
12,tempo-perdido,todo
13,tempo-perdido,o
14,tempo-perdido,tempo
15,tempo-perdido,do
16,tempo-perdido,mundo
17,tempo-perdido,Lembro
18,tempo-perdido,e
19,tempo-perdido,esqueço
20,tempo-perdido,como
21,tempo-perdido,foi
22,tempo-perdido,o
23,tempo-perdido,dia
24,tempo-perdido,Sempre
25,tempo-perdido,em
26,tempo-perdido,frente
27,tempo-perdido,Não
28,tempo-perdido,temos
29,tempo-perdido,tempo
30,tempo-perdido,a
31,tempo-perdido,perder
32,tempo-perdido,É
33,tempo-perdido,bem
34,tempo-perdido,mais
35,tempo-perdido,belo
36,tempo-perdido,que
37,tempo-perdido,esse
38,tempo-perdido,sangue
39,tempo-perdido,amargo
40,tempo-perdido,E
41,tempo-perdido,tão
42,tempo-perdido,sério
43,tempo-perdido,Selvagem
44,tempo-perdido,Selvagem
45,tempo-perdido,A
46,tempo-perdido,tempestade
47,tempo-perdido,que
48,tempo-perdido,chega
49,tempo-perdido,é
50,tempo-perdido,da
51,tempo-perdido,cor
52,tempo-perdido,dos
53,tempo-perdido,teus
54,tempo-perdido,olhos
55,tempo-perdido,Castanhos
56,tempo-perdido,Me
57,tempo-perdido,diz
58,tempo-perdido,mais
59,tempo-perdido,uma
60,tempo-perdido,vez
61,tempo-perdido,que
62,tempo-perdido,já
63,tempo-perdido,estamos
64,tempo-perdido,Distantes
65,tempo-perdido,de
66,tempo-perdido,tudo
67,tempo-perdido,Temos
68,tempo-perdido,nosso
69,tempo-perdido,próprio
70,tempo-perdido,tempo
71,tempo-perdido,Temos
72,tempo-perdido,nosso
73,tempo-perdido,próprio
74,tempo-perdido,tempo
75,tempo-perdido,Mas
76,tempo-perdido,deixe
77,tempo-perdido,as
78,tempo-perdido,luzes
79,tempo-perdido,Acesas
80,tempo-perdido,agora
81,tempo-perdido,É
82,tempo-perdido,o
83,tempo-perdido,que
84,tempo-perdido,se
85,tempo-perdido,escondeu
86,tempo-perdido,E
87,tempo-perdido,o
88,tempo-perdido,que
89,tempo-perdido,foi
90,tempo-perdido,prometido
91,tempo-perdido,Ninguém
92,tempo-perdido,prometeu
93,tempo-perdido,Nem
94,tempo-perdido,foi
95,tempo-perdido,tempo
96,tempo-perdido,perdido
97,tempo-perdido,Tão
98,tempo-perdido,jovens
99,tempo-perdido,Tão
100,tempo-perdido,jovens
101,tempo-perdido,None
934,pais-filhos,Ninguém
935,pais-filhos,sabe
936,pais-filhos,o
937,pais-filhos,que
938,pais-filhos,aconteceu
939,pais-filhos,Ela
940,pais-filhos,se
941,pais-filhos,jogou
942,pais-filhos,da
943,pais-filhos,janela
944,pais-filhos,do
945,pais-filhos,quinto
946,pais-filhos,andar
947,pais-filhos,Nada
948,pais-filhos,é
949,pais-filhos,fácil
950,pais-filhos,de
951,pais-filhos,entender
952,pais-filhos,É
953,pais-filhos,só
954,pais-filhos,o
955,pais-filhos,vento
956,pais-filhos,lá
957,pais-filhos,fora
958,pais-filhos,Posso
959,pais-filhos,dormir
960,pais-filhos,aqui
961,pais-filhos,com
962,pais-filhos,vocês?
963,pais-filhos,Estou
964,pais-filhos,com
965,pais-filhos,"medo,"
966,pais-filhos,tive
967,pais-filhos,um
968,pais-filhos,pesadelo
969,pais-filhos,Só
970,pais-filhos,vou
971,pais-filhos,voltar
972,pais-filhos,depois
973,pais-filhos,das
974,pais-filhos,três
975,pais-filhos,Quero
976,pais-filhos,o
977,pais-filhos,nome
978,pais-filhos,mais
979,pais-filhos,bonito
980,pais-filhos,Como
981,pais-filhos,se
982,pais-filhos,não
983,pais-filhos,houvesse
984,pais-filhos,amanhã
985,pais-filhos,Porque
986,pais-filhos,se
987,pais-filhos,você
988,pais-filhos,parar
989,pais-filhos,pra
990,pais-filhos,pensar
991,pais-filhos,Na
992,pais-filhos,verdade
993,pais-filhos,não
994,pais-filhos,há
995,pais-filhos,Explica
996,pais-filhos,a
997,pais-filhos,grande
998,pais-filhos,fúria
999,pais-filhos,do
1000,pais-filhos,mundo
1001,pais-filhos,São
1002,pais-filhos,meus
1003,pais-filhos,filhos
1004,pais-filhos,Que
1005,pais-filhos,tomam
1006,pais-filhos,conta
1007,pais-filhos,de
1008,pais-filhos,mim
1009,pais-filhos,Mas
1010,pais-filhos,meu
1011,pais-filhos,pai
1012,pais-filhos,vem
1013,pais-filhos,me
1014,pais-filhos,visitar
1015,pais-filhos,Eu
1016,pais-filhos,moro
1017,pais-filhos,na
1018,pais-filhos,"rua,"
1019,pais-filhos,não
1020,pais-filhos,tenho
1021,pais-filhos,ninguém
1022,pais-filhos,Eu
1023,pais-filhos,moro
1024,pais-filhos,em
1025,pais-filhos,qualquer
1026,pais-filhos,lugar
1027,pais-filhos,Que
1028,pais-filhos,nem
1029,pais-filhos,me
1030,pais-filhos,lembro
1031,pais-filhos,mais
1032,pais-filhos,Eu
1033,pais-filhos,moro
1034,pais-filhos,com
1035,pais-filhos,meus
1036,pais-filhos,pais
1037,pais-filhos,Como
1038,pais-filhos,se
1039,pais-filhos,não
1040,pais-filhos,houvesse
1041,pais-filhos,amanhã
1042,pais-filhos,Porque
1043,pais-filhos,se
1044,pais-filhos,você
1045,pais-filhos,parar
1046,pais-filhos,pra
1047,pais-filhos,pensar
1048,pais-filhos,Na
1049,pais-filhos,verdade
1050,pais-filhos,não
1051,pais-filhos,há
1052,pais-filhos,Sou
1053,pais-filhos,um
1054,pais-filhos,grão
1055,pais-filhos,de
1056,pais-filhos,areia
1057,pais-filhos,Você
