,Musicas,Palavras
0,diga-que-valeu,Saudade
1,diga-que-valeu,presa
2,diga-que-valeu,no
3,diga-que-valeu,meu
4,diga-que-valeu,coração
5,diga-que-valeu,Eu
6,diga-que-valeu,ando
7,diga-que-valeu,louco
8,diga-que-valeu,alucinado
9,diga-que-valeu,Muito
10,diga-que-valeu,doido
11,diga-que-valeu,e
12,diga-que-valeu,apaixonado
13,diga-que-valeu,por
14,diga-que-valeu,você
15,diga-que-valeu,Não
16,diga-que-valeu,possa
17,diga-que-valeu,mais
18,diga-que-valeu,ficar
19,diga-que-valeu,É
20,diga-que-valeu,pena
21,diga-que-valeu,que
22,diga-que-valeu,esse
23,diga-que-valeu,amor
24,diga-que-valeu,Não
25,diga-que-valeu,vai
26,diga-que-valeu,poder
27,diga-que-valeu,se
28,diga-que-valeu,eternizar
29,diga-que-valeu,O
30,diga-que-valeu,nosso
31,diga-que-valeu,amor
32,diga-que-valeu,valeu
33,diga-que-valeu,demais
34,diga-que-valeu,Foi
35,diga-que-valeu,"lindo,"
36,diga-que-valeu,ficou
37,diga-que-valeu,pra
38,diga-que-valeu,trás
39,diga-que-valeu,Então
40,diga-que-valeu,diga
41,diga-que-valeu,que
42,diga-que-valeu,valeu
43,diga-que-valeu,O
44,diga-que-valeu,nosso
45,diga-que-valeu,amor
46,diga-que-valeu,valeu
47,diga-que-valeu,demais
48,diga-que-valeu,Que
49,diga-que-valeu,"pena,"
50,diga-que-valeu,ficou
51,diga-que-valeu,pra
52,diga-que-valeu,trás
53,diga-que-valeu,Mas
54,diga-que-valeu,você
55,diga-que-valeu,mudou
56,diga-que-valeu,comigo
57,diga-que-valeu,Faz
58,diga-que-valeu,tanto
59,diga-que-valeu,tempo
60,diga-que-valeu,que
61,diga-que-valeu,eu
62,diga-que-valeu,te
63,diga-que-valeu,conheço
64,diga-que-valeu,Mas
65,diga-que-valeu,você
66,diga-que-valeu,mudou
67,diga-que-valeu,comigo
68,diga-que-valeu,Minha
69,diga-que-valeu,flor
70,diga-que-valeu,"bonita,"
71,diga-que-valeu,minha
72,diga-que-valeu,linda
73,diga-que-valeu,flor
74,diga-que-valeu,Minha
75,diga-que-valeu,flor
76,diga-que-valeu,"bonita,"
77,diga-que-valeu,minha
78,diga-que-valeu,linda
79,diga-que-valeu,flor
80,diga-que-valeu,Saudade
81,diga-que-valeu,presa
82,diga-que-valeu,no
83,diga-que-valeu,meu
84,diga-que-valeu,coração
85,diga-que-valeu,Eu
86,diga-que-valeu,ando
87,diga-que-valeu,louco
88,diga-que-valeu,alucinado
89,diga-que-valeu,Muito
90,diga-que-valeu,doido
91,diga-que-valeu,e
92,diga-que-valeu,apaixonado
93,diga-que-valeu,por
94,diga-que-valeu,você
95,diga-que-valeu,Não
96,diga-que-valeu,possa
97,diga-que-valeu,mais
98,diga-que-valeu,ficar
99,diga-que-valeu,É
100,diga-que-valeu,pena
101,diga-que-valeu,que
102,diga-que-valeu,esse
103,diga-que-valeu,amor
104,diga-que-valeu,Não
105,diga-que-valeu,vai
106,diga-que-valeu,poder
107,diga-que-valeu,se
108,diga-que-valeu,eternizar
109,diga-que-valeu,O
110,diga-que-valeu,nosso
111,diga-que-valeu,amor
112,diga-que-valeu,valeu
113,diga-que-valeu,demais
114,diga-que-valeu,Foi
115,diga-que-valeu,"lindo,"
116,diga-que-valeu,ficou
117,diga-que-valeu,pra
118,diga-que-valeu,trás
119,diga-que-valeu,Então
120,diga-que-valeu,diga
121,diga-que-valeu,que
122,diga-que-valeu,valeu
123,diga-que-valeu,O
124,diga-que-valeu,nosso
125,diga-que-valeu,amor
126,diga-que-valeu,valeu
127,diga-que-valeu,demais
128,diga-que-valeu,Que
129,diga-que-valeu,"pena,"
130,diga-que-valeu,ficou
131,diga-que-valeu,pra
132,diga-que-valeu,trás
133,diga-que-valeu,None
261,voa-voa,"Pararararará,"
262,voa-voa,eô
263,voa-voa,"Pararararará,"
264,voa-voa,eô
265,voa-voa,Pararararará
266,voa-voa,(2X)
267,voa-voa,Vem
268,voa-voa,me
269,voa-voa,ensina
270,voa-voa,a
271,voa-voa,perceber
272,voa-voa,Os
273,voa-voa,segredos
274,voa-voa,desse
275,voa-voa,amor
276,voa-voa,Que
277,voa-voa,eu
278,voa-voa,não
279,voa-voa,vivo
280,voa-voa,sem
281,voa-voa,você
282,voa-voa,um
283,voa-voa,segundo
284,voa-voa,É
285,voa-voa,você
286,voa-voa,que
287,voa-voa,faz
288,voa-voa,virar
289,voa-voa,meu
290,voa-voa,mundo
291,voa-voa,Prá
292,voa-voa,aquecer
293,voa-voa,meu
294,voa-voa,coração
295,voa-voa,Já
296,voa-voa,não
297,voa-voa,temos
298,voa-voa,mais
299,voa-voa,saída
300,voa-voa,Não
301,voa-voa,me
302,voa-voa,diga
303,voa-voa,não
304,voa-voa,Vem
305,voa-voa,viver
306,voa-voa,essa
307,voa-voa,paixão
308,voa-voa,Uma
309,voa-voa,andorinha
310,voa-voa,só
