,Musicas,Palavras
0,asa-branca,Igual
1,asa-branca,fogueira
2,asa-branca,de
3,asa-branca,São
4,asa-branca,João
5,asa-branca,Eu
6,asa-branca,perguntei
7,asa-branca,a
8,asa-branca,Deus
9,asa-branca,do
10,asa-branca,"céu,"
11,asa-branca,ai
12,asa-branca,Por
13,asa-branca,que
14,asa-branca,tamanha
15,asa-branca,judiação
16,asa-branca,Eu
17,asa-branca,perguntei
18,asa-branca,a
19,asa-branca,Deus
20,asa-branca,do
21,asa-branca,"céu,"
22,asa-branca,ai
23,asa-branca,Por
24,asa-branca,que
25,asa-branca,tamanha
26,asa-branca,judiação?
27,asa-branca,Nem
28,asa-branca,um
29,asa-branca,pé
30,asa-branca,de
31,asa-branca,plantação
32,asa-branca,Por
33,asa-branca,falta
34,asa-branca,d'água
35,asa-branca,perdi
36,asa-branca,meu
37,asa-branca,gado
38,asa-branca,Morreu
39,asa-branca,de
40,asa-branca,sede
41,asa-branca,meu
42,asa-branca,alazão
43,asa-branca,Morreu
44,asa-branca,de
45,asa-branca,sede
46,asa-branca,meu
47,asa-branca,alazão
48,asa-branca,Bateu
49,asa-branca,asas
50,asa-branca,do
51,asa-branca,sertão
52,asa-branca,Entonce
53,asa-branca,eu
54,asa-branca,"disse,"
55,asa-branca,adeus
56,asa-branca,Rosinha
57,asa-branca,Guarda
58,asa-branca,contigo
59,asa-branca,meu
60,asa-branca,coração
61,asa-branca,Guarda
62,asa-branca,contigo
63,asa-branca,meu
64,asa-branca,coração
65,asa-branca,Numa
66,asa-branca,triste
67,asa-branca,solidão
68,asa-branca,Espero
69,asa-branca,a
70,asa-branca,chuva
71,asa-branca,cair
72,asa-branca,de
73,asa-branca,novo
74,asa-branca,Pra
75,asa-branca,mim
76,asa-branca,voltar
77,asa-branca,pro
78,asa-branca,meu
79,asa-branca,sertão
80,asa-branca,Pra
81,asa-branca,mim
82,asa-branca,voltar
83,asa-branca,pro
84,asa-branca,meu
85,asa-branca,sertão
86,asa-branca,Se
87,asa-branca,espalhar
88,asa-branca,na
89,asa-branca,plantação
90,asa-branca,Eu
91,asa-branca,te
92,asa-branca,asseguro
93,asa-branca,não
94,asa-branca,chore
95,asa-branca,"não,"
96,asa-branca,viu
97,asa-branca,Que
98,asa-branca,eu
99,asa-branca,"voltarei,"
100,asa-branca,viu
101,asa-branca,Meu
102,asa-branca,coração
103,asa-branca,Que
104,asa-branca,eu
105,asa-branca,"voltarei,"
106,asa-branca,viu
107,asa-branca,Meu
108,asa-branca,coração
109,asa-branca,None
560,xote-das-meninas,É
561,xote-das-meninas,o
562,xote-das-meninas,sinal
563,xote-das-meninas,que
564,xote-das-meninas,a
565,xote-das-meninas,chuva
566,xote-das-meninas,chega
567,xote-das-meninas,no
568,xote-das-meninas,sertão
569,xote-das-meninas,Toda
570,xote-das-meninas,menina
571,xote-das-meninas,que
572,xote-das-meninas,enjoa
573,xote-das-meninas,da
574,xote-das-meninas,boneca
575,xote-das-meninas,É
576,xote-das-meninas,sinal
577,xote-das-meninas,que
