,Musicas,Palavras
0,arrumacao,Olha
1,arrumacao,os
2,arrumacao,forro
3,arrumacao,ramiado
4,arrumacao,vai
5,arrumacao,chuvê
6,arrumacao,Vai
7,arrumacao,trimina
8,arrumacao,riduzi
9,arrumacao,toda
10,arrumacao,criação
11,arrumacao,Das
12,arrumacao,bandas
13,arrumacao,de
14,arrumacao,lá
15,arrumacao,do
16,arrumacao,ri
17,arrumacao,gavião
18,arrumacao,Chiquera
19,arrumacao,pra
20,arrumacao,cá
21,arrumacao,já
22,arrumacao,roncô
23,arrumacao,o
24,arrumacao,truvão
25,arrumacao,Vamo
26,arrumacao,plantá
27,arrumacao,o
28,arrumacao,feijão
29,arrumacao,no
30,arrumacao,pó
31,arrumacao,Futuca
32,arrumacao,a
33,arrumacao,"tuia,"
34,arrumacao,pega
35,arrumacao,o
36,arrumacao,catadô
37,arrumacao,Vamo
38,arrumacao,plantá
39,arrumacao,o
40,arrumacao,feijão
41,arrumacao,no
42,arrumacao,pó
43,arrumacao,O
44,arrumacao,ai
45,arrumacao,roxo
46,arrumacao,dessa
47,arrumacao,lavora
48,arrumacao,tardã
49,arrumacao,Diligença
50,arrumacao,pega
51,arrumacao,o
52,arrumacao,pano
53,arrumacao,e
54,arrumacao,cum
55,arrumacao,balai
56,arrumacao,Vai
57,arrumacao,cum
58,arrumacao,tua
59,arrumacao,"irmã,"
60,arrumacao,vai
61,arrumacao,num
62,arrumacao,rumo
63,arrumacao,só
64,arrumacao,Vai
65,arrumacao,cuiê
66,arrumacao,o
67,arrumacao,"ai,"
68,arrumacao,o
69,arrumacao,ai
70,arrumacao,da
71,arrumacao,tua
72,arrumacao,avó
73,arrumacao,Sêda
74,arrumacao,"branca,"
75,arrumacao,na
76,arrumacao,passada
77,arrumacao,ela
78,arrumacao,levô
79,arrumacao,Ponta
80,arrumacao,"d´unha,"
81,arrumacao,lua
82,arrumacao,fina
83,arrumacao,risca
84,arrumacao,no
85,arrumacao,céu
86,arrumacao,A
87,arrumacao,onça
88,arrumacao,"prisunha,"
89,arrumacao,a
90,arrumacao,cara
91,arrumacao,de
92,arrumacao,réu
93,arrumacao,O
94,arrumacao,pai
95,arrumacao,do
96,arrumacao,chiquêro
97,arrumacao,a
98,arrumacao,gata
99,arrumacao,comeu
100,arrumacao,Foi
101,arrumacao,um
102,arrumacao,trovejo
103,arrumacao,c´ua
104,arrumacao,zagaia
105,arrumacao,só
106,arrumacao,Foi
107,arrumacao,tanto
108,arrumacao,sangue
109,arrumacao,de
110,arrumacao,dá
111,arrumacao,dó
112,arrumacao,É
113,arrumacao,só
114,arrumacao,"danos,"
115,arrumacao,todo
116,arrumacao,ano
117,arrumacao,nunca
118,arrumacao,vi
119,arrumacao,"Paciênca,"
120,arrumacao,já
121,arrumacao,num
122,arrumacao,guento
123,arrumacao,a
124,arrumacao,pirsiguição
125,arrumacao,Já
126,arrumacao,só
127,arrumacao,caco
128,arrumacao,véi
129,arrumacao,nesse
130,arrumacao,meu
131,arrumacao,sertão
132,arrumacao,Tudo
133,arrumacao,que
134,arrumacao,juntei
135,arrumacao,foi
136,arrumacao,só
137,arrumacao,pra
138,arrumacao,ladrão
139,arrumacao,None
986,cantiga-de-amigo,Vão
987,cantiga-de-amigo,cantar
988,cantiga-de-amigo,louvando
989,cantiga-de-amigo,você.
990,cantiga-de-amigo,Em
991,cantiga-de-amigo,cantigas
992,cantiga-de-amigo,de
993,cantiga-de-amigo,"amigo,"
994,cantiga-de-amigo,cantando
995,cantiga-de-amigo,"comigo,"
996,cantiga-de-amigo,Somente
997,cantiga-de-amigo,"porque,"
998,cantiga-de-amigo,você
999,cantiga-de-amigo,"é,"
1000,cantiga-de-amigo,Minha
1001,cantiga-de-amigo,amiga
1002,cantiga-de-amigo,"mulher,"
1003,cantiga-de-amigo,Lua
1004,cantiga-de-amigo,nova
1005,cantiga-de-amigo,do
1006,cantiga-de-amigo,céu
1007,cantiga-de-amigo,que
1008,cantiga-de-amigo,já
1009,cantiga-de-amigo,não
1010,cantiga-de-amigo,me
1011,cantiga-de-amigo,quer.
1012,cantiga-de-amigo,Dezessete
1013,cantiga-de-amigo,é
1014,cantiga-de-amigo,minha
1015,cantiga-de-amigo,"conta,"
1016,cantiga-de-amigo,Minha
1017,cantiga-de-amigo,amiga
1018,cantiga-de-amigo,conta
1019,cantiga-de-amigo,Uma
1020,cantiga-de-amigo,coisa
1021,cantiga-de-amigo,linda
1022,cantiga-de-amigo,pra
1023,cantiga-de-amigo,mim;
1024,cantiga-de-amigo,Conta
1025,cantiga-de-amigo,os
1026,cantiga-de-amigo,fios
1027,cantiga-de-amigo,dos
1028,cantiga-de-amigo,seus
1029,cantiga-de-amigo,"cabelos,"
1030,cantiga-de-amigo,Sonhos
1031,cantiga-de-amigo,e
1032,cantiga-de-amigo,"anelos,"
1033,cantiga-de-amigo,Conta-me
1034,cantiga-de-amigo,se
1035,cantiga-de-amigo,o
1036,cantiga-de-amigo,amor
1037,cantiga-de-amigo,não
1038,cantiga-de-amigo,tem
1039,cantiga-de-amigo,fim
1040,cantiga-de-amigo,Madre
1041,cantiga-de-amigo,amiga
1042,cantiga-de-amigo,é
1043,cantiga-de-amigo,ruim
1044,cantiga-de-amigo,Me
1045,cantiga-de-amigo,mentiu
1046,cantiga-de-amigo,jurando
1047,cantiga-de-amigo,amor
1048,cantiga-de-amigo,que
1049,cantiga-de-amigo,não
1050,cantiga-de-amigo,tem
1051,cantiga-de-amigo,fim.
1052,cantiga-de-amigo,Iluminam
1053,cantiga-de-amigo,a
1054,cantiga-de-amigo,sala
1055,cantiga-de-amigo,de
1056,cantiga-de-amigo,amor;
1057,cantiga-de-amigo,Sete
1058,cantiga-de-amigo,violas
1059,cantiga-de-amigo,em
1060,cantiga-de-amigo,"clamores,"
1061,cantiga-de-amigo,sete
1062,cantiga-de-amigo,cantadores
1063,cantiga-de-amigo,São
1064,cantiga-de-amigo,sete
1065,cantiga-de-amigo,tiranas
1066,cantiga-de-amigo,de
1067,cantiga-de-amigo,"amor,"
1068,cantiga-de-amigo,para
1069,cantiga-de-amigo,amiga
1070,cantiga-de-amigo,em
1071,cantiga-de-amigo,flor
1072,cantiga-de-amigo,Que
1073,cantiga-de-amigo,partiu
1074,cantiga-de-amigo,e
1075,cantiga-de-amigo,até
1076,cantiga-de-amigo,hoje
1077,cantiga-de-amigo,não
1078,cantiga-de-amigo,voltou.
1079,cantiga-de-amigo,Dezessete
1080,cantiga-de-amigo,é
1081,cantiga-de-amigo,minha
1082,cantiga-de-amigo,conta
1083,cantiga-de-amigo,Vem
1084,cantiga-de-amigo,amiga
1085,cantiga-de-amigo,e
1086,cantiga-de-amigo,conta
1087,cantiga-de-amigo,Uma
1088,cantiga-de-amigo,coisa
1089,cantiga-de-amigo,linda
1090,cantiga-de-amigo,pra
1091,cantiga-de-amigo,mim;
1092,cantiga-de-amigo,Pois
1093,cantiga-de-amigo,na
1094,cantiga-de-amigo,Casa
1095,cantiga-de-amigo,dos
1096,cantiga-de-amigo,"Carneiros,"
1097,cantiga-de-amigo,violas
1098,cantiga-de-amigo,e
1099,cantiga-de-amigo,"violeiros,"
1100,cantiga-de-amigo,Só
1101,cantiga-de-amigo,vivem
1102,cantiga-de-amigo,clamando
1103,cantiga-de-amigo,"assim,"
1104,cantiga-de-amigo,Madre
1105,cantiga-de-amigo,amiga
1106,cantiga-de-amigo,é
1107,cantiga-de-amigo,ruim
1108,cantiga-de-amigo,Me
1109,cantiga-de-amigo,mentiu
1110,cantiga-de-amigo,jurando
1111,cantiga-de-amigo,amor
1112,cantiga-de-amigo,que
1113,cantiga-de-amigo,não
1114,cantiga-de-amigo,tem
1115,cantiga-de-amigo,fim.
1116,cantiga-de-amigo,Vão
1117,cantiga-de-amigo,cantar
1118,cantiga-de-amigo,louvando
1119,cantiga-de-amigo,você.
1120,cantiga-de-amigo,Em
1121,cantiga-de-amigo,cantigas
1122,cantiga-de-amigo,de
1123,cantiga-de-amigo,"amigo,"
1124,cantiga-de-amigo,cantando
1125,cantiga-de-amigo,"comigo,"
1126,cantiga-de-amigo,Somente
1127,cantiga-de-amigo,"porque,"
1128,cantiga-de-amigo,você
