,Musicas,Palavras
0,ainda-bem,Que
1,ainda-bem,agora
2,ainda-bem,encontrei
3,ainda-bem,você
4,ainda-bem,Eu
5,ainda-bem,realmente
6,ainda-bem,não
7,ainda-bem,sei
8,ainda-bem,O
9,ainda-bem,que
10,ainda-bem,eu
11,ainda-bem,fiz
12,ainda-bem,pra
13,ainda-bem,merecer
14,ainda-bem,Você
15,ainda-bem,Dava
16,ainda-bem,nada
17,ainda-bem,por
18,ainda-bem,mim
19,ainda-bem,Quem
20,ainda-bem,"dava,"
21,ainda-bem,eu
22,ainda-bem,não
23,ainda-bem,tava
24,ainda-bem,a
25,ainda-bem,fim
26,ainda-bem,Até
27,ainda-bem,desacreditei
28,ainda-bem,De
29,ainda-bem,mim
30,ainda-bem,Já
31,ainda-bem,estava
32,ainda-bem,acostumado
33,ainda-bem,Com
34,ainda-bem,a
35,ainda-bem,solidão
36,ainda-bem,Quem
37,ainda-bem,diria
38,ainda-bem,que
39,ainda-bem,a
40,ainda-bem,meu
41,ainda-bem,lado
42,ainda-bem,Você
43,ainda-bem,iria
44,ainda-bem,ficar
45,ainda-bem,Você
46,ainda-bem,veio
47,ainda-bem,pra
48,ainda-bem,ficar
49,ainda-bem,Você
50,ainda-bem,que
51,ainda-bem,me
52,ainda-bem,faz
53,ainda-bem,feliz
54,ainda-bem,Você
55,ainda-bem,que
56,ainda-bem,me
57,ainda-bem,faz
58,ainda-bem,cantar
59,ainda-bem,Assim
60,ainda-bem,Já
61,ainda-bem,estava
62,ainda-bem,aposentado
63,ainda-bem,Sem
64,ainda-bem,nenhuma
65,ainda-bem,ilusão
66,ainda-bem,Tinha
67,ainda-bem,sido
68,ainda-bem,maltratado
69,ainda-bem,Tudo
70,ainda-bem,se
71,ainda-bem,transformou
72,ainda-bem,Agora
73,ainda-bem,você
74,ainda-bem,chegou
75,ainda-bem,Você
76,ainda-bem,que
77,ainda-bem,me
78,ainda-bem,faz
79,ainda-bem,feliz
80,ainda-bem,Você
81,ainda-bem,que
82,ainda-bem,me
83,ainda-bem,faz
84,ainda-bem,cantar
85,ainda-bem,Assim
86,ainda-bem,Já
87,ainda-bem,estava
88,ainda-bem,acostumado
89,ainda-bem,Com
90,ainda-bem,a
91,ainda-bem,solidão
92,ainda-bem,Quem
93,ainda-bem,diria
94,ainda-bem,que
95,ainda-bem,a
96,ainda-bem,meu
97,ainda-bem,lado
98,ainda-bem,Você
99,ainda-bem,iria
100,ainda-bem,ficar
101,ainda-bem,Você
102,ainda-bem,veio
103,ainda-bem,pra
104,ainda-bem,ficar
105,ainda-bem,Você
106,ainda-bem,que
107,ainda-bem,me
108,ainda-bem,faz
109,ainda-bem,feliz
110,ainda-bem,Você
111,ainda-bem,que
112,ainda-bem,me
113,ainda-bem,faz
114,ainda-bem,cantar
115,ainda-bem,Assim
116,ainda-bem,Já
117,ainda-bem,estava
118,ainda-bem,aposentado
119,ainda-bem,Sem
120,ainda-bem,nenhuma
121,ainda-bem,ilusão
122,ainda-bem,Tinha
123,ainda-bem,sido
124,ainda-bem,maltratado
125,ainda-bem,Tudo
126,ainda-bem,se
127,ainda-bem,transformou
128,ainda-bem,Agora
129,ainda-bem,você
130,ainda-bem,chegou
131,ainda-bem,Você
132,ainda-bem,que
133,ainda-bem,me
134,ainda-bem,faz
135,ainda-bem,feliz
136,ainda-bem,Você
137,ainda-bem,que
138,ainda-bem,me
139,ainda-bem,faz
140,ainda-bem,cantar
141,ainda-bem,Assim
142,ainda-bem,None
333,amor-love-you,Deixa
334,amor-love-you,eu
335,amor-love-you,pensar
336,amor-love-you,em
337,amor-love-you,você
338,amor-love-you,Isso
